updated_at,ticker,name,prebuy_gate,blocker_type,severity,check_item,current_value,pass_condition,action,deadline,status
2026/05/20 08:46,2802.T,味の素,確認待ち,PER,中,PER高めを確認,42.1倍,高PERでも利益成長で説明可能,成長率・決算見通し・過去PERレンジを確認,2026-06-10,未解消
2026/05/20 08:46,2802.T,味の素,確認待ち,保留条件,中,保留・確認待ち条件あり,3件,主要保留を解消,PER・未確認データ・イベント通過を確認,2026-06-18,未解消
2026/05/20 08:46,2802.T,味の素,確認待ち,6月イベント,高,主要イベント未通過,未通過,米CPI・日銀・FOMC通過,イベント結果を入力し、悪化条件がないか確認,2026-06-18,未解消
2026/05/20 08:46,8306.T,三菱UFJ,監視継続,データ充足,中,不足データを埋める,75点,80点以上,決算資料・IR・PER/FCF/EPS等を確認して入力,2026-05-31,未解消
2026/05/20 08:46,8306.T,三菱UFJ,監視継続,保留条件,中,保留・確認待ち条件あり,6件,主要保留を解消,PER・未確認データ・イベント通過を確認,2026-06-18,未解消
2026/05/20 08:46,8306.T,三菱UFJ,監視継続,6月イベント,高,主要イベント未通過,未通過,米CPI・日銀・FOMC通過,イベント結果を入力し、悪化条件がないか確認,2026-06-18,未解消
2026/05/20 08:46,8058.T,三菱商事,確認待ち,保留条件,中,保留・確認待ち条件あり,3件,主要保留を解消,PER・未確認データ・イベント通過を確認,2026-06-18,未解消
2026/05/20 08:46,8058.T,三菱商事,確認待ち,6月イベント,高,主要イベント未通過,未通過,米CPI・日銀・FOMC通過,イベント結果を入力し、悪化条件がないか確認,2026-06-18,未解消
2026/05/20 08:46,8035.T,東京エレクトロン,確認待ち,保留条件,中,保留・確認待ち条件あり,3件,主要保留を解消,PER・未確認データ・イベント通過を確認,2026-06-18,未解消
2026/05/20 08:46,8035.T,東京エレクトロン,確認待ち,6月イベント,高,主要イベント未通過,未通過,米CPI・日銀・FOMC通過,イベント結果を入力し、悪化条件がないか確認,2026-06-18,未解消
2026/05/20 08:46,7974.T,任天堂,初回除外,トレンド,高,60日トレンド悪化を確認,-17.2%,-10%より上に回復,初回テストから外し、回復まで監視,2026-06-18,未解消
2026/05/20 08:46,7974.T,任天堂,初回除外,下落耐性,高,20日最大下落が深い,-20.3%,-15%より浅く回復,ストップ安・急落リスク枠として初回除外寄り,2026-06-18,未解消
2026/05/20 08:46,7974.T,任天堂,初回除外,停止条件,高,停止条件あり,2件,0件,停止条件が残る限り購入候補にしない,2026-06-18,未解消
2026/05/20 08:46,7974.T,任天堂,初回除外,6月イベント,高,主要イベント未通過,未通過,米CPI・日銀・FOMC通過,イベント結果を入力し、悪化条件がないか確認,2026-06-18,未解消
2026/05/20 08:46,9433.T,KDDI,監視継続,データ充足,中,不足データを埋める,72点,80点以上,決算資料・IR・PER/FCF/EPS等を確認して入力,2026-05-31,未解消
2026/05/20 08:46,9433.T,KDDI,監視継続,スコア,高,参考スコア不足,57.7点,58点以上,追加データで改善しなければ初回除外,2026-06-18,未解消
2026/05/20 08:46,9433.T,KDDI,監視継続,保留条件,中,保留・確認待ち条件あり,4件,主要保留を解消,PER・未確認データ・イベント通過を確認,2026-06-18,未解消
2026/05/20 08:46,9433.T,KDDI,監視継続,6月イベント,高,主要イベント未通過,未通過,米CPI・日銀・FOMC通過,イベント結果を入力し、悪化条件がないか確認,2026-06-18,未解消
2026/05/20 08:46,6857.T,アドバンテスト,初回除外,データ充足,高,不足データを埋める,67点,80点以上,決算資料・IR・PER/FCF/EPS等を確認して入力,2026-05-31,未解消
2026/05/20 08:46,6857.T,アドバンテスト,初回除外,PER,中,PER高めを確認,41.1倍,高PERでも利益成長で説明可能,成長率・決算見通し・過去PERレンジを確認,2026-06-10,未解消
2026/05/20 08:46,6857.T,アドバンテスト,初回除外,下落耐性,高,20日最大下落が深い,-16.3%,-15%より浅く回復,ストップ安・急落リスク枠として初回除外寄り,2026-06-18,未解消
2026/05/20 08:46,6857.T,アドバンテスト,初回除外,スコア,高,参考スコア不足,55.4点,58点以上,追加データで改善しなければ初回除外,2026-06-18,未解消
2026/05/20 08:46,6857.T,アドバンテスト,初回除外,停止条件,高,停止条件あり,2件,0件,停止条件が残る限り購入候補にしない,2026-06-18,未解消
2026/05/20 08:46,6857.T,アドバンテスト,初回除外,6月イベント,高,主要イベント未通過,未通過,米CPI・日銀・FOMC通過,イベント結果を入力し、悪化条件がないか確認,2026-06-18,未解消
2026/05/20 08:46,4519.T,中外製薬,初回除外,データ充足,高,不足データを埋める,49点,80点以上,決算資料・IR・PER/FCF/EPS等を確認して入力,2026-05-31,未解消
2026/05/20 08:46,4519.T,中外製薬,初回除外,トレンド,高,60日トレンド悪化を確認,-13.7%,-10%より上に回復,初回テストから外し、回復まで監視,2026-06-18,未解消
2026/05/20 08:46,4519.T,中外製薬,初回除外,下落耐性,高,20日最大下落が深い,-16.6%,-15%より浅く回復,ストップ安・急落リスク枠として初回除外寄り,2026-06-18,未解消
2026/05/20 08:46,4519.T,中外製薬,初回除外,スコア,高,参考スコア不足,33.4点,58点以上,追加データで改善しなければ初回除外,2026-06-18,未解消
2026/05/20 08:46,4519.T,中外製薬,初回除外,停止条件,高,停止条件あり,5件,0件,停止条件が残る限り購入候補にしない,2026-06-18,未解消
2026/05/20 08:46,4519.T,中外製薬,初回除外,6月イベント,高,主要イベント未通過,未通過,米CPI・日銀・FOMC通過,イベント結果を入力し、悪化条件がないか確認,2026-06-18,未解消
