decision_id,created_at,ticker,name,scenario,planned_action,planned_amount_yen,planned_cash_after_yen,gate_status,reason,execution_status,actual_trade_date,actual_amount_yen,actual_price,execution_note
D-2802.T-CURRENT,2026/05/20 11:13,2802.T,味の素,現時点,投入しない,0,1000000,イベント未入力,イベント未入力のため新規投入なし,未実行,,,,
D-2802.T-PASS,2026/05/20 11:13,2802.T,味の素,全イベント通過時,6月テスト候補,80000,920000,イベント通過後に再判定,イベント通過、未確認項目解消、証券会社画面で最終確認,未実行,,,,
D-2802.T-ATTENTION,2026/05/20 11:13,2802.T,味の素,注意判定時,縮小候補,50000,950000,注意イベント時は縮小,イベント注意判定時は上限15万円内で縮小,未実行,,,,
D-8306.T-CURRENT,2026/05/20 11:13,8306.T,三菱UFJ,現時点,投入しない,0,1000000,イベント未入力,イベント未入力のため新規投入なし,未実行,,,,
D-8058.T-CURRENT,2026/05/20 11:13,8058.T,三菱商事,現時点,投入しない,0,1000000,イベント未入力,イベント未入力のため新規投入なし,未実行,,,,
D-8058.T-PASS,2026/05/20 11:13,8058.T,三菱商事,全イベント通過時,6月テスト候補,120000,880000,イベント通過後に再判定,イベント通過、未確認項目解消、証券会社画面で最終確認,未実行,,,,
D-8058.T-ATTENTION,2026/05/20 11:13,8058.T,三菱商事,注意判定時,縮小候補,80000,920000,注意イベント時は縮小,イベント注意判定時は上限15万円内で縮小,未実行,,,,
D-8035.T-CURRENT,2026/05/20 11:13,8035.T,東京エレクトロン,現時点,投入しない,0,1000000,イベント未入力,イベント未入力のため新規投入なし,未実行,,,,
D-8035.T-PASS,2026/05/20 11:13,8035.T,東京エレクトロン,全イベント通過時,6月テスト候補,60000,940000,イベント通過後に再判定,イベント通過、未確認項目解消、証券会社画面で最終確認,未実行,,,,
D-7974.T-CURRENT,2026/05/20 11:13,7974.T,任天堂,現時点,投入しない,0,1000000,初回除外,イベント未入力のため新規投入なし,未実行,,,,
D-9433.T-CURRENT,2026/05/20 11:13,9433.T,KDDI,現時点,投入しない,0,1000000,イベント未入力,イベント未入力のため新規投入なし,未実行,,,,
D-6857.T-CURRENT,2026/05/20 11:13,6857.T,アドバンテスト,現時点,投入しない,0,1000000,初回除外,イベント未入力のため新規投入なし,未実行,,,,
D-4519.T-CURRENT,2026/05/20 11:13,4519.T,中外製薬,現時点,投入しない,0,1000000,初回除外,イベント未入力のため新規投入なし,未実行,,,,
