updated_at,sheet,purpose,workbook_file,workbook_status,note
2026/05/20 17:14,165_trend_fund_summary,時流候補の財務・IR二次判定サマリー,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,166_trend_yahoojp_metrics,Yahoo!ファイナンス日本版の参考財務指標,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,167_trend_fund_gate,価格一次判定と財務参考指標の二次入口スコア,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,168_trend_ir_queue,公式IR・TDnet・参考元の確認キュー,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,137_operation_cockpit_flow,運用フロー,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,138_operation_cockpit_boundary,自動化・手入力・未取得の境界,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,139_operation_cockpit_status,現状サマリー,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,132_benchmark_review_template,購入後評価入力欄,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,133_benchmark_review_schedule,評価タイミング,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,134_model_improvement_causes,原因分類,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,135_model_improvement_rules,改善ルール,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,136_model_improvement_log,改善ログテンプレート,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,161_trend_price_summary,時流候補の株価一次判定サマリー,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,162_trend_price_metrics,時流候補の1年株価指標,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,163_trend_price_stop,時流候補の一次停止条件,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
2026/05/20 17:14,164_trend_weekly_prices,時流候補の週次株価データ,stock_decision_mvp_calculated.xlsx,確認済み,シート名は生成時に確認対象。最終確認ではExcelを開いて該当シートを確認する。
