updated_at,ticker,company,source_type,source_url,obtained_values,status,next_check
2026/05/20 17:12,8316.T,三井住友FG,Yahoo!ファイナンス,https://finance.yahoo.co.jp/quote/8316.T,PER/PBR/EPS/ROE/配当利回り/1株配当の参考値,取得,公式決算短信・決算説明資料で同じ項目を照合
2026/05/20 17:12,8316.T,三井住友FG,TDnet直近開示,,,既存ログ未ヒット,対象期間を広げるか、企業IRページから決算短信を確認
2026/05/20 17:12,8766.T,東京海上HD,Yahoo!ファイナンス,https://finance.yahoo.co.jp/quote/8766.T,PER/PBR/EPS/ROE/配当利回り/1株配当の参考値,取得,公式決算短信・決算説明資料で同じ項目を照合
2026/05/20 17:12,8766.T,東京海上HD,TDnet直近開示,,,既存ログ未ヒット,対象期間を広げるか、企業IRページから決算短信を確認
2026/05/20 17:12,9433.T,KDDI,Yahoo!ファイナンス,https://finance.yahoo.co.jp/quote/9433.T,PER/PBR/EPS/ROE/配当利回り/1株配当の参考値,取得,公式決算短信・決算説明資料で同じ項目を照合
2026/05/20 17:12,9433.T,KDDI,TDnet直近開示,https://www.release.tdnet.info/inbs/140120260512524146.pdf,2026年３月期 決算説明会資料（中期経営戦略）,既存ログ照合,PDF本文を確認し、会社予想・配当・還元方針があれば正式入力へ進める
2026/05/20 17:12,9433.T,KDDI,TDnet直近開示,https://www.release.tdnet.info/inbs/140120260512524156.pdf,auフィナンシャルホールディングス株式会社の東京証券取引所への株式上場準備の開始について,既存ログ照合,PDF本文を確認し、会社予想・配当・還元方針があれば正式入力へ進める
2026/05/20 17:12,6503.T,三菱電機,Yahoo!ファイナンス,https://finance.yahoo.co.jp/quote/6503.T,PER/PBR/EPS/ROE/配当利回り/1株配当の参考値,取得,公式決算短信・決算説明資料で同じ項目を照合
2026/05/20 17:12,6503.T,三菱電機,TDnet直近開示,,,既存ログ未ヒット,対象期間を広げるか、企業IRページから決算短信を確認
2026/05/20 17:12,6367.T,ダイキン,Yahoo!ファイナンス,https://finance.yahoo.co.jp/quote/6367.T,PER/PBR/EPS/ROE/配当利回り/1株配当の参考値,取得,公式決算短信・決算説明資料で同じ項目を照合
2026/05/20 17:12,6367.T,ダイキン,TDnet直近開示,,,既存ログ未ヒット,対象期間を広げるか、企業IRページから決算短信を確認
2026/05/20 17:12,8031.T,三井物産,Yahoo!ファイナンス,https://finance.yahoo.co.jp/quote/8031.T,PER/PBR/EPS/ROE/配当利回り/1株配当の参考値,取得,公式決算短信・決算説明資料で同じ項目を照合
2026/05/20 17:12,8031.T,三井物産,TDnet直近開示,,,既存ログ未ヒット,対象期間を広げるか、企業IRページから決算短信を確認
