updated_at,ticker,company,fundamental_gate_score_100,fundamental_gate_status,source_type,source_url,http_status,final_url,content_type,page_title,page_chars,keyword_hits,pdf_link_count,sample_pdf_links,reach_status,limitation
2026/05/20 17:39,8316.T,三井住友FG,85,二次確認通過（暫定）,公式IRトップ,https://www.smfg.co.jp/investor/,200,https://www.smfg.co.jp/investor/,text/html,株主・投資家の皆さまへ： 三井住友フィナンシャルグループ,1075,決算短信:1 / 決算説明資料:8 / 還元:3,0,,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,8316.T,三井住友FG,85,二次確認通過（暫定）,公式決算短信,https://www.smfg.co.jp/investor/financial/latest_statement.html,200,https://www.smfg.co.jp/investor/financial/latest_statement.html,text/html,決算関連資料： 三井住友フィナンシャルグループ,540,決算短信:2 / 決算説明資料:5,8,https://www.smfg.co.jp/investor/financial/latest_statement/2026_3/2026_1q_01.pdf / https://www.smfg.co.jp/investor/financial/latest_statement/2026_3/2026_2q_01.pdf / https://www.smfg.co.jp/investor/financial/latest_statement/2026_3/2026_3q_01.pdf / https://www.smfg.co.jp/investor/financial/latest_statement/2026_3/2026_fy_01.pdf / https://www.smfg.co.jp/investor/financial/latest_statement/2026_3/2026_2q_02.pdf / https://www.smfg.co.jp/investor/financial/latest_statement/2026_3/2026_fy_02.pdf / https://www.smfg.co.jp/investor/financial/latest_statement/2026_3/2026_1q_03.pdf / https://www.smfg.co.jp/investor/financial/latest_statement/2026_3/2026_2q_03.pdf,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,8316.T,三井住友FG,85,二次確認通過（暫定）,公式説明会資料,https://www.smfg.co.jp/investor/financial/presentation.html,200,https://www.smfg.co.jp/investor/financial/presentation.html,text/html,IRイベント・プレゼンテーション： 三井住友フィナンシャルグループ,2446,決算説明資料:9,8,https://www.smfg.co.jp/investor/financial/latest_statement/2026_3/2026_fy_setumei.pdf / https://www.smfg.co.jp/investor/financial/latest_statement/2026_3/2026_fy_summary.pdf / https://www.smfg.co.jp/investor/financial/latest_statement/2026_3/2026_fy_faq.pdf / https://www.smfg.co.jp/investor/financial/small/pdf/202602_exe_pre01.pdf / https://www.smfg.co.jp/investor/financial/small/pdf/20251216_jinji_pre.pdf / https://www.smfg.co.jp/investor/financial/small/pdf/20251216_jinji_faq.pdf / https://www.smfg.co.jp/investor/financial/latest_statement/2026_3/2026_2q_setumei.pdf / https://www.smfg.co.jp/investor/financial/latest_statement/2026_3/2026_2q_summary.pdf,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,8766.T,東京海上HD,81.2,二次確認通過（暫定）,公式IRトップ,https://www.tokiomarinehd.com/ir/,200,https://www.tokiomarinehd.com/ir/,text/html,IR情報 | 東京海上ホールディングス,478,決算説明資料:1 / ROE/自己資本:1 / 還元:1,0,,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,8766.T,東京海上HD,81.2,二次確認通過（暫定）,公式財務情報,https://www.tokiomarinehd.com/ir/financial/,200,https://www.tokiomarinehd.com/ir/financial/,text/html,業績 | IR情報 | 東京海上ホールディングス,181,,0,,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,8766.T,東京海上HD,81.2,二次確認通過（暫定）,公式説明会資料,https://www.tokiomarinehd.com/ir/event/presentation/,200,https://www.tokiomarinehd.com/ir/event/presentation/,text/html,IR説明会・決算IR電話会議,14,決算説明資料:1,0,,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,6367.T,ダイキン,75.8,二次確認通過（暫定）,公式IRトップ,https://www.daikin.co.jp/investor,200,https://www.daikin.co.jp/investor,text/html; charset=utf-8,株主・投資家情報 | ダイキン工業株式会社,3643,決算短信:2 / 決算説明資料:36 / 業績予想:1 / 還元:3,6,https://www.daikin.co.jp/-/media/Project/Daikin/daikin_co_jp/investor/data/others/20201208-Sustainability/Sustainability_20201208-pdf.pdf?rev=5752e687561b4d6fa9c3afea80f6cf11&amp;hash=760BDFE6DFC5FC2CBABFB81212841AF9 / https://www.daikin.co.jp/-/media/Project/Daikin/daikin_co_jp/investor/data/kessan/2026/4Q_brief_report_jp-pdf.pdf?rev=5ae0855314d14acdabf0611fae4f0f25&amp;hash=0E2667F85B3AE6DA24970167DD46FEB8 / https://www.daikin.co.jp/-/media/Project/Daikin/daikin_co_jp/investor/data/kessan/2026/4Q_financial_results_jp-pdf.pdf?rev=c00cd04bce2f4b708b0a2ec827611ee1&amp;hash=B82032103CE18FF2AC40D92E99F52FD0 / https://www.daikin.co.jp/-/media/Project/Daikin/daikin_co_jp/investor/data/kessan/20251105/securities-pdf.pdf?rev=a5d954a4ecae42f8be8393d4a43e90c3&amp;hash=483AEB83B820A03D34961A5020DF01E0 / https://www.daikin.co.jp/-/media/Project/Daikin/daikin_co_jp/investor/library/annual/2025/2025-pdf.pdf / https://www.daikin.co.jp/-/media/Project/Daikin/daikin_co_jp/investor/data/fusion/FUSION30/FUSION30_presentation2_pdf.pdf?rev=7a53ed97aee947b6b90b5a174bcbcb34&amp;hash=5C14548AC9CF799A7986CD79E25C4563,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,6367.T,ダイキン,75.8,二次確認通過（暫定）,公式IRライブラリ,https://www.daikin.co.jp/investor/library,200,https://www.daikin.co.jp/investor/library,text/html; charset=utf-8,IR資料室 | 株主・投資家情報 | ダイキン工業株式会社,1654,還元:1,0,,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,8031.T,三井物産,66.6,確認継続,公式IRトップ,https://www.mitsui.com/jp/ja/ir/,200,https://www.mitsui.com/jp/ja/ir/,text/html,投資家情報 | 三井物産株式会社,4419,決算短信:4 / 決算説明資料:13 / 還元:5,4,https://www.mitsui.com/jp/ja/ir/library/meeting/pdf/ja_263_4q_ta.pdf / https://www.mitsui.com/jp/ja/ir/library/meeting/pdf/ja_263_4q_ppt.pdf / https://www.mitsui.com/jp/ja/ir/library/meeting/pdf/ja_263_4q_chukei.pdf / https://www.mitsui.com/jp/ja/ir/library/securities/__icsFiles/afieldfile/2025/11/18/ja_107hanki.pdf,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,8031.T,三井物産,66.6,確認継続,公式IRライブラリ,https://www.mitsui.com/jp/ja/ir/library/index.html,200,https://www.mitsui.com/jp/ja/ir/library/index.html,text/html,IR資料室 | 投資家情報 | 三井物産株式会社,4092,決算短信:5 / 決算説明資料:6,4,https://www.mitsui.com/jp/ja/ir/library/meeting/pdf/ja_263_4q_ta.pdf / https://www.mitsui.com/jp/ja/ir/library/meeting/pdf/ja_263_4q_ppt.pdf / https://www.mitsui.com/jp/ja/ir/library/meeting/pdf/ja_263_4q_chukei.pdf / https://www.mitsui.com/jp/ja/ir/library/securities/__icsFiles/afieldfile/2025/11/18/ja_107hanki.pdf,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,8031.T,三井物産,66.6,確認継続,公式説明会資料,https://www.mitsui.com/jp/ja/ir/library/meeting/index.html,200,https://www.mitsui.com/jp/ja/ir/library/meeting/index.html,text/html,,0,,0,,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,6503.T,三菱電機,66.5,確認継続,公式IRトップ,https://www.mitsubishielectric.co.jp/ir/,200,https://www.mitsubishielectric.co.jp/investors/,text/html;charset=utf-8,投資家情報 | 三菱電機 Mitsubishi Electric,1433,決算説明資料:4 / 還元:3,0,,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,6503.T,三菱電機,66.5,確認継続,公式決算資料,https://www.mitsubishielectric.co.jp/ir/library/results/,200,https://www.mitsubishielectric.co.jp/investors/,text/html;charset=utf-8,投資家情報 | 三菱電機 Mitsubishi Electric,1433,決算説明資料:4 / 還元:3,0,,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,9433.T,KDDI,66.4,確認継続,公式IRトップ,https://www.kddi.com/corporate/ir/,200,https://www.kddi.com/corporate/ir/,text/html; charset=UTF-8,株主・投資家情報 | 企業情報 | KDDI株式会社,2467,決算短信:2 / 決算説明資料:13 / 還元:5,7,https://www.kddi.com/extlib/files/corporate/ir/library/presentation/2026/pdf/kddi_260512_main_T8v6VV.pdf / https://www.kddi.com/extlib/files/corporate/ir/library/yuka_shoken/pdf/yuho_2026_i_r_8cy5ca.pdf / https://www.kddi.com/extlib/files/corporate/ir/library/presentation/2026/pdf/kddi_2026_4qc_PsXBu3.pdf / https://www.kddi.com/extlib/files/corporate/ir/ir-library/sustainability-integrated-report/pdf/kddi_sir2025_j_pcPVR2.pdf / https://www.kddi.com/extlib/files/corporate/ir/library/presentation/2026/pdf/kddi_260512_data_LBXYp4.pdf / https://www.kddi.com/extlib/files/corporate/ir/library/tsushin/pdf/winter2025.pdf / https://www.kddi.com/extlib/files/corporate/ir/library/presentation/2026/pdf/kddi_260512_plan_pvHOPw.pdf,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
2026/05/20 17:39,9433.T,KDDI,66.4,確認継続,公式IRライブラリ,https://www.kddi.com/corporate/ir/ir-library/,200,https://www.kddi.com/corporate/ir/ir-library/,text/html; charset=UTF-8,IRライブラリ | 株主・投資家情報 | KDDI株式会社,2655,決算短信:7 / 決算説明資料:18 / 還元:1,8,https://www.kddi.com/extlib/files/corporate/ir/library/presentation/2026/pdf/kddi_260512_main_T8v6VV.pdf / https://www.kddi.com/extlib/files/corporate/ir/library/presentation/2026/pdf/kddi_260512_plan_pvHOPw.pdf / https://www.kddi.com/extlib/files/corporate/ir/library/meeting/pdf/kddi_240930_2tl77e.pdf?utm_source=docdl&amp;utm_medium=3 / https://www.kddi.com/extlib/files/corporate/ir/library/presentation/2026/pdf/kddi_2026_4qc_PsXBu3.pdf / https://www.kddi.com/extlib/files/corporate/ir/shareholder/meeting/20260617/pdf/soukai42_shosyu.pdf?utm_source=docdl&amp;utm_medium=4 / https://www.kddi.com/extlib/files/corporate/ir/library/yuka_shoken/pdf/yuho_2026_i_r_8cy5ca.pdf / https://www.kddi.com/extlib/files/corporate/ir/library/yuka_shoken/pdf/yuho_2026_i_U88GHR.pdf / https://www.kddi.com/extlib/files/corporate/ir/library/tsushin/pdf/winter2025.pdf?utm_source=docdl&amp;utm_medium=7,公式ページ到達,ページ到達まで確認。数値の正式入力は未実施。
