ticker,company,metric,score_area,period,current_value,previous_value,unit,official_change_pct,calculated_change_pct,source,source_file,source_location,review_status,score_reflection
8316.T,三井住友FG,経常収益,成長力,2026年3月期,10790853,10174894,百万円,6.1%,6.1%,2026年3月期 決算短信,data/official_ir_pdfs/8316_T_1_決算短信.pdf,1ページ目 連結経営成績,PDF本文照合済み・原本最終確認待ち,未反映
8316.T,三井住友FG,経常利益,収益力,2026年3月期,2303350,1719482,百万円,34.0%,34.0%,2026年3月期 決算短信,data/official_ir_pdfs/8316_T_1_決算短信.pdf,1ページ目 連結経営成績,PDF本文照合済み・原本最終確認待ち,未反映
8316.T,三井住友FG,親会社株主に帰属する当期純利益,利益成長,2026年3月期,1582973,1177996,百万円,34.4%,34.4%,2026年3月期 決算短信,data/official_ir_pdfs/8316_T_1_決算短信.pdf,1ページ目 連結経営成績,PDF本文照合済み・原本最終確認待ち,未反映
8316.T,三井住友FG,1株当たり当期純利益,株主価値,2026年3月期,411.97,301.55,円,,36.6%,2026年3月期 決算短信,data/official_ir_pdfs/8316_T_1_決算短信.pdf,1ページ目 1株当たり当期純利益,PDF本文照合済み・原本最終確認待ち,未反映
8316.T,三井住友FG,自己資本比率,安全性,2026年3月期,4.8,4.8,%,,0.0pt,2026年3月期 決算短信,data/official_ir_pdfs/8316_T_1_決算短信.pdf,1ページ目 連結財政状態,PDF本文照合済み・原本最終確認待ち,未反映
8316.T,三井住友FG,営業活動によるキャッシュ・フロー,現金創出力,2026年3月期,-10283139,4848464,百万円,,前年差悪化,2026年3月期 決算短信,data/official_ir_pdfs/8316_T_1_決算短信.pdf,1ページ目 連結キャッシュ・フロー,PDF本文照合済み・銀行業のため解釈注意,未反映
8316.T,三井住友FG,年間配当,株主還元,2026年3月期,157,,円,,,2026年3月期 決算短信,data/official_ir_pdfs/8316_T_1_決算短信.pdf,2ページ目 配当の状況,PDF本文照合済み・株式分割注記あり,未反映
8316.T,三井住友FG,2027年3月期 会社予想 純利益,先行き,2027年3月期予想,1700000,1582973,百万円,7.4%,7.4%,2026年3月期 決算短信,data/official_ir_pdfs/8316_T_1_決算短信.pdf,2ページ目 連結業績予想,PDF本文照合済み・予想値,未反映
8766.T,東京海上HD,経常収益,成長力,2026年3月期,8872277,8440114,百万円,5.1%,5.1%,2025年度期末 決算短信,data/official_ir_pdfs/8766_T_3_決算短信.pdf,1ページ目 連結経営成績,PDF本文照合済み・原本最終確認待ち,未反映
8766.T,東京海上HD,経常利益,収益力,2026年3月期,1348630,1460007,百万円,△7.6%,-7.6%,2025年度期末 決算短信,data/official_ir_pdfs/8766_T_3_決算短信.pdf,1ページ目 連結経営成績,PDF本文照合済み・原本最終確認待ち,未反映
8766.T,東京海上HD,親会社株主に帰属する当期純利益,利益成長,2026年3月期,980428,1055276,百万円,△7.1%,-7.1%,2025年度期末 決算短信,data/official_ir_pdfs/8766_T_3_決算短信.pdf,1ページ目 連結経営成績,PDF本文照合済み・原本最終確認待ち,未反映
8766.T,東京海上HD,1株当たり当期純利益,株主価値,2026年3月期,515.55,542.16,円,,-4.9%,2025年度期末 決算短信,data/official_ir_pdfs/8766_T_3_決算短信.pdf,1ページ目 1株当たり当期純利益,PDF本文照合済み・原本最終確認待ち,未反映
8766.T,東京海上HD,自己資本比率,安全性,2026年3月期,17,16.3,%,,+0.7pt,2025年度期末 決算短信,data/official_ir_pdfs/8766_T_3_決算短信.pdf,1ページ目 連結財政状態,PDF本文照合済み・原本最終確認待ち,未反映
8766.T,東京海上HD,営業活動によるキャッシュ・フロー,現金創出力,2026年3月期,584259,1345080,百万円,,-56.6%,2025年度期末 決算短信,data/official_ir_pdfs/8766_T_3_決算短信.pdf,1ページ目 連結キャッシュ・フロー,PDF本文照合済み・保険業のため解釈注意,未反映
8766.T,東京海上HD,年間配当,株主還元,2026年3月期,218,172,円,,26.7%,2025年度期末 決算短信,data/official_ir_pdfs/8766_T_3_決算短信.pdf,2ページ目 配当の状況,PDF本文照合済み・原本最終確認待ち,未反映
8766.T,東京海上HD,2027年3月期 会社予想 当期利益,先行き,2027年3月期予想,830000,,百万円,56.2%,,2025年度期末 決算短信,data/official_ir_pdfs/8766_T_3_決算短信.pdf,2ページ目 連結業績予想,PDF本文照合済み・IFRS予想値,未反映
6367.T,ダイキン,売上高,成長力,2026年3月期,5015036,4752335,百万円,5.5%,5.5%,2026年3月期 決算短信,data/official_ir_pdfs/6367_T_5_決算短信.pdf,1ページ目 連結経営成績,PDF本文照合済み・原本最終確認待ち,未反映
6367.T,ダイキン,営業利益,収益力,2026年3月期,414991,401669,百万円,3.3%,3.3%,2026年3月期 決算短信,data/official_ir_pdfs/6367_T_5_決算短信.pdf,1ページ目 連結経営成績,PDF本文照合済み・原本最終確認待ち,未反映
6367.T,ダイキン,親会社株主に帰属する当期純利益,利益成長,2026年3月期,275229,264757,百万円,4.0%,4.0%,2026年3月期 決算短信,data/official_ir_pdfs/6367_T_5_決算短信.pdf,1ページ目 連結経営成績,PDF本文照合済み・原本最終確認待ち,未反映
6367.T,ダイキン,1株当たり当期純利益,株主価値,2026年3月期,939.92,904.27,円,,3.9%,2026年3月期 決算短信,data/official_ir_pdfs/6367_T_5_決算短信.pdf,1ページ目 1株当たり当期純利益,PDF本文照合済み・原本最終確認待ち,未反映
6367.T,ダイキン,自己資本比率,安全性,2026年3月期,55.9,54.6,%,,+1.3pt,2026年3月期 決算短信,data/official_ir_pdfs/6367_T_5_決算短信.pdf,1ページ目 連結財政状態,PDF本文照合済み・原本最終確認待ち,未反映
