ticker,company,component,max_point,point,reason
8316.T,三井住友FG,価格,35,35,価格一次点 100点 / 入口通過
8316.T,三井住友FG,割安性,20,13,PER 13.21倍 / PBR 1.42倍
8316.T,三井住友FG,公式業績,25,21.5,前年比+6.1%でプラス / 前年比+34%で強い / 前年比+36.6%で強い / 会社予想+7.4%で堅調 / 金融業のため自己資本比率は業種内確認扱い / 営業CFは金融・保険業では参考扱い
8316.T,三井住友FG,株主還元,10,5,配当利回り3.06% / 配当前年比0%
8316.T,三井住友FG,データ確認,10,10,公式PDF確認候補 8件
8766.T,東京海上HD,価格,35,32.2,価格一次点 92点 / 入口通過
8766.T,東京海上HD,割安性,20,10,PER 14.63倍 / PBR 2.79倍
8766.T,東京海上HD,公式業績,25,11.5,前年比+5.1%でプラス / 前年比-7.6%で減少 / 前年比-4.9%で減少 / 会社予想+56.2%で強い / 金融業のため自己資本比率は業種内確認扱い / 営業CFは金融・保険業では参考扱い
8766.T,東京海上HD,株主還元,10,9,配当利回り2.7% / 配当前年比26.7%
8766.T,東京海上HD,データ確認,10,10,公式PDF確認候補 8件
6367.T,ダイキン,価格,35,30.8,価格一次点 88点 / 監視
6367.T,ダイキン,割安性,20,10,PER 24.87倍 / PBR 2.13倍
6367.T,ダイキン,公式業績,25,18,前年比+5.5%でプラス / 前年比+3.3%でプラス / 前年比+3.9%でプラス / 会社予想+2.7%でプラス / 自己資本比率55.9%で高い / 営業CFはプラスだが前年比減少
6367.T,ダイキン,株主還元,10,5.5,配当利回り1.53% / 配当前年比3%
6367.T,ダイキン,データ確認,10,10,公式PDF確認候補 8件
