updated_at,ticker,company,row_order,period,revenue_million_jpy,gross_profit_million_jpy,gross_margin_pct,operating_income_million_jpy,operating_margin_pct,ordinary_income_million_jpy,ordinary_margin_pct,net_income_million_jpy,profit_metric_used,profit_metric_value,accounting,update_date,source_url,raw_text
2026/05/21 13:10,8316.T,三井住友FG,1,2026年3月期,10790853,2303350,21.35,,,2303350,21.35,1582973,経常利益,2303350,日本会計基準,2026/5/13,https://finance.yahoo.co.jp/quote/8316.T/performance,"2026年3月期 10,790,853 --- --- --- --- 2,303,350 21.35 % 1,582,973 日本会計基準 2026/5/13"
2026/05/21 13:10,8316.T,三井住友FG,2,2025年3月期,10174894,1719482,16.9,,,1719482,16.9,1177996,経常利益,1719482,日本会計基準,2025/6/20,https://finance.yahoo.co.jp/quote/8316.T/performance,"2025年3月期 10,174,894 --- --- --- --- 1,719,482 16.90 % 1,177,996 日本会計基準 2025/6/20"
2026/05/21 13:10,8316.T,三井住友FG,3,2024年3月期,9353590,1466128,15.67,,,1466128,15.67,962946,経常利益,1466128,日本会計基準,2024/6/21,https://finance.yahoo.co.jp/quote/8316.T/performance,"2024年3月期 9,353,590 --- --- --- --- 1,466,128 15.67 % 962,946 日本会計基準 2024/6/21"
2026/05/21 13:10,8316.T,三井住友FG,4,2027年3月期,1700000,,,,,,,,経常利益,,,,https://finance.yahoo.co.jp/quote/8316.T/performance,"2027年3月期 2026年3月期 --- － --- － --- － 1,700,000 －"
2026/05/21 13:10,8766.T,東京海上HD,1,2026年3月期,8872277,1348630,15.2,,,1348630,15.2,980428,経常利益,1348630,日本会計基準,2026/5/20,https://finance.yahoo.co.jp/quote/8766.T/performance,"2026年3月期 8,872,277 --- --- --- --- 1,348,630 15.20 % 980,428 日本会計基準 2026/5/20"
2026/05/21 13:10,8766.T,東京海上HD,2,2025年3月期,8440114,1460007,17.3,,,1460007,17.3,1055276,経常利益,1460007,日本会計基準,2025/6/19,https://finance.yahoo.co.jp/quote/8766.T/performance,"2025年3月期 8,440,114 --- --- --- --- 1,460,007 17.30 % 1,055,276 日本会計基準 2025/6/19"
2026/05/21 13:10,8766.T,東京海上HD,3,2024年3月期,7424667,842576,11.35,,,842576,11.35,695808,経常利益,842576,日本会計基準,2024/6/21,https://finance.yahoo.co.jp/quote/8766.T/performance,"2024年3月期 7,424,667 --- --- --- --- 842,576 11.35 % 695,808 日本会計基準 2024/6/21"
2026/05/21 13:10,8766.T,東京海上HD,4,2027年3月期,830000,,,,,,,,経常利益,,,,https://finance.yahoo.co.jp/quote/8766.T/performance,"2027年3月期 2026年3月期 --- － --- － --- － 830,000 －"
2026/05/21 13:10,6367.T,ダイキン,1,2026年3月期,5015036,1732516,34.55,414991,8.27,408171,8.14,275229,営業利益,414991,日本会計基準,2026/5/12,https://finance.yahoo.co.jp/quote/6367.T/performance,"2026年3月期 5,015,036 1,732,516 34.55 % 414,991 8.27 % 408,171 8.14 % 275,229 日本会計基準 2026/5/12"
2026/05/21 13:10,6367.T,ダイキン,2,2025年3月期,4752335,1626688,34.23,401669,8.45,366446,7.71,264757,営業利益,401669,日本会計基準,2025/6/25,https://finance.yahoo.co.jp/quote/6367.T/performance,"2025年3月期 4,752,335 1,626,688 34.23 % 401,669 8.45 % 366,446 7.71 % 264,757 日本会計基準 2025/6/25"
2026/05/21 13:10,6367.T,ダイキン,3,2024年3月期,4395317,1509673,34.35,392137,8.92,354492,8.07,260311,営業利益,392137,日本会計基準,2024/6/27,https://finance.yahoo.co.jp/quote/6367.T/performance,"2024年3月期 4,395,317 1,509,673 34.35 % 392,137 8.92 % 354,492 8.07 % 260,311 日本会計基準 2024/6/27"
2026/05/21 13:10,6367.T,ダイキン,4,2027年3月期,5150000,436000,414000,278000,,,,,営業利益,278000,,,https://finance.yahoo.co.jp/quote/6367.T/performance,"2027年3月期 2026年3月期 5,150,000 － 436,000 － 414,000 － 278,000 －"
2026/05/21 13:10,8031.T,三井物産,1,2026年3月期,13995222,1328153,9.49,,,1087056,7.77,833971,経常利益,1087056,IFRS,2026/5/1,https://finance.yahoo.co.jp/quote/8031.T/performance,"2026年3月期 13,995,222 1,328,153 9.49 % --- --- 1,087,056 7.77 % 833,971 IFRS 2026/5/1"
