universe_rank,updated_at,ticker,company,sector,theme,universe_reason
1,2026/05/21 13:29,7203.T,トヨタ自動車,自動車,世界販売・円安・HV/EV,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
2,2026/05/21 13:29,6758.T,ソニーグループ,エンタメ/半導体,ゲーム・音楽・画像センサー,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
3,2026/05/21 13:29,8306.T,三菱UFJ FG,銀行,金利上昇・大手銀行,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
4,2026/05/21 13:29,8316.T,三井住友FG,銀行,金利上昇・大手銀行,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
5,2026/05/21 13:29,8411.T,みずほFG,銀行,金利上昇・大手銀行,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
6,2026/05/21 13:29,8766.T,東京海上HD,保険,金利上昇・保険運用,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
7,2026/05/21 13:29,8750.T,第一生命HD,保険,金利上昇・保険運用,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
8,2026/05/21 13:29,8725.T,MS&AD,保険,金利上昇・保険運用,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
9,2026/05/21 13:29,9432.T,NTT,通信,守り・通信インフラ,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
10,2026/05/21 13:29,9433.T,KDDI,通信,守り・通信インフラ,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
11,2026/05/21 13:29,9984.T,ソフトバンクG,投資/AI,AI・投資会社,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
12,2026/05/21 13:29,9434.T,ソフトバンク,通信,通信・配当,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
13,2026/05/21 13:29,9983.T,ファーストリテイリング,小売,海外成長・消費,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
14,2026/05/21 13:29,6098.T,リクルートHD,人材/IT,求人・HRテック,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
15,2026/05/21 13:29,7974.T,任天堂,ゲーム,新ハード・IP,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
16,2026/05/21 13:29,6861.T,キーエンス,FA,高収益・自動化,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
17,2026/05/21 13:29,6501.T,日立製作所,総合電機,電力・DX・インフラ,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
18,2026/05/21 13:29,6503.T,三菱電機,総合電機,電力制御・FA,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
19,2026/05/21 13:29,7011.T,三菱重工,重工/防衛,防衛・電力・宇宙,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
20,2026/05/21 13:29,7012.T,川崎重工業,重工/防衛,防衛・水素,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
21,2026/05/21 13:29,7013.T,IHI,重工/防衛,航空・防衛,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
22,2026/05/21 13:29,8035.T,東京エレクトロン,半導体装置,半導体サイクル,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
23,2026/05/21 13:29,6857.T,アドバンテスト,半導体装置,AI半導体検査,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
24,2026/05/21 13:29,6920.T,レーザーテック,半導体装置,EUV検査,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
25,2026/05/21 13:29,6146.T,ディスコ,半導体装置,切断・研削装置,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
26,2026/05/21 13:29,6723.T,ルネサス,半導体,車載・産業半導体,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
27,2026/05/21 13:29,6526.T,ソシオネクスト,半導体,ASIC・AI半導体,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
28,2026/05/21 13:29,7735.T,SCREEN HD,半導体装置,洗浄装置,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
29,2026/05/21 13:29,6981.T,村田製作所,電子部品,MLCC・スマホ/車載,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
30,2026/05/21 13:29,6762.T,TDK,電子部品,電池・電子部品,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
31,2026/05/21 13:29,6971.T,京セラ,電子部品,部品・通信,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
32,2026/05/21 13:29,6594.T,ニデック,モーター,EV・精密モーター,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
33,2026/05/21 13:29,6954.T,ファナック,FA,ロボット・工作機械,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
34,2026/05/21 13:29,6273.T,SMC,FA,空圧機器・自動化,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
35,2026/05/21 13:29,6645.T,オムロン,制御機器,FA・ヘルスケア,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
36,2026/05/21 13:29,5803.T,フジクラ,電線/光通信,データセンター・光ファイバー,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
37,2026/05/21 13:29,5802.T,住友電工,電線/車載,電線・自動車部品,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
38,2026/05/21 13:29,5801.T,古河電工,電線/光通信,光ファイバー・電力線,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
39,2026/05/21 13:29,6701.T,NEC,IT/防衛,AI・官公庁・防衛,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
40,2026/05/21 13:29,6702.T,富士通,IT,DX・AI・サービス,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
41,2026/05/21 13:29,6367.T,ダイキン工業,空調,データセンター冷却・空調,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
42,2026/05/21 13:29,6301.T,コマツ,建機,資源・インフラ,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
43,2026/05/21 13:29,6326.T,クボタ,機械,農機・水インフラ,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
44,2026/05/21 13:29,6902.T,デンソー,自動車部品,車載・電動化,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
45,2026/05/21 13:29,6201.T,豊田自動織機,機械/車載,物流・車載,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
46,2026/05/21 13:29,7267.T,ホンダ,自動車,二輪・自動車,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
47,2026/05/21 13:29,7269.T,スズキ,自動車,インド・小型車,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
48,2026/05/21 13:29,7270.T,SUBARU,自動車,米国販売,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
49,2026/05/21 13:29,7202.T,いすゞ自動車,商用車,商用車・新興国,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
50,2026/05/21 13:29,5108.T,ブリヂストン,タイヤ,タイヤ・価格転嫁,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
51,2026/05/21 13:29,8001.T,伊藤忠商事,商社,資源・非資源,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
52,2026/05/21 13:29,8031.T,三井物産,商社,資源・還元,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
53,2026/05/21 13:29,8058.T,三菱商事,商社,資源・還元,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
54,2026/05/21 13:29,8053.T,住友商事,商社,資源・非資源,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
55,2026/05/21 13:29,8002.T,丸紅,商社,資源・電力,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
56,2026/05/21 13:29,1605.T,INPEX,エネルギー,原油・ガス,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
57,2026/05/21 13:29,5020.T,ENEOS HD,エネルギー,原油・精製,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
58,2026/05/21 13:29,5019.T,出光興産,エネルギー,原油・化学,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
59,2026/05/21 13:29,4063.T,信越化学工業,化学,半導体材料・塩ビ,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
60,2026/05/21 13:29,4188.T,三菱ケミカルG,化学,素材・石化,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
61,2026/05/21 13:29,3402.T,東レ,素材,炭素繊維・繊維,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
62,2026/05/21 13:29,3407.T,旭化成,素材/住宅,素材・住宅,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
63,2026/05/21 13:29,4005.T,住友化学,化学,石化・農薬,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
