screening_rank,updated_at,universe_rank,ticker,company,sector,theme,universe_score_100,decision,growth_score_25,quality_valuation_score_25,momentum_score_20,size_score_10,data_score_10,risk_penalty,market_cap_display,market_cap_million_jpy,per_forecast,pbr_actual,roe_actual_pct,dividend_yield_pct,revenue_yoy_pct,revenue_cagr_3period_pct,profit_metric_used,profit_yoy_pct,profit_cagr_3period_pct,price_date,close,ret60_pct,ret1y_pct,above_ma200_pct,volume_ratio20,max_drawdown60_pct,quote_status,performance_status,chart_status,selection_reason
1,2026/05/21 13:29,6,8766.T,東京海上HD,保険,金利上昇・保険運用,74,観察候補,20,22,18,4,10,0,15.05兆円,15050388,17.61,2.7,18.68,3.15,5.1,9.3,経常利益,-7.6,26.5,2026-05-21,7776,20,37.7,23.6,1.07,-13,取得,取得,取得,成長20/25 / 質/割安22/25 / 株価18/20 / 規模4/10 / 主要減点なし
2,2026/05/21 13:29,24,6920.T,レーザーテック,半導体装置,EUV検査,70,観察候補,25,12,17,6,10,0,3.62兆円,3623426,47.95,15.28,46.88,0.86,17.8,28.3,営業利益,51,40.4,2026-05-21,38410,23.2,171.4,34.1,0.65,-22.1,取得,取得,取得,成長25/25 / 質/割安12/25 / 株価17/20 / 規模6/10 / 主要減点なし
3,2026/05/21 13:29,4,8316.T,三井住友FG,銀行,金利上昇・大手銀行,69,観察候補,20,20,15,4,10,0,23.19兆円,23194639,13.61,1.47,10.38,2.97,6.1,7.4,経常利益,34,25.3,2026-05-21,6061,3.1,69.9,25.1,0.94,-18.3,取得,取得,取得,成長20/25 / 質/割安20/25 / 株価15/20 / 規模4/10 / 主要減点なし
4,2026/05/21 13:29,20,7012.T,川崎重工業,重工/防衛,防衛・水素,69,観察候補,23,17,11,8,10,0,2.39兆円,2386169,21.6,2.71,13.68,1.41,8.5,11.8,経常利益,35.4,113.3,2026-05-21,2827.5,-16.6,54.5,11.6,0.56,-23.6,取得,取得,取得,成長23/25 / 質/割安17/25 / 株価11/20 / 規模8/10 / 主要減点なし
5,2026/05/21 13:29,36,5803.T,フジクラ,電線/光通信,データセンター・光ファイバー,68,観察候補,25,12,19,6,10,4,8.11兆円,8107249,48.47,13.49,32.48,0.83,20.7,21.6,営業利益,39.2,64.8,2026-05-21,4506,21,346.2,32,1.1,-45.3,取得,取得,取得,成長25/25 / 質/割安12/25 / 株価19/20 / 規模6/10 / 60日最大下落-45.3%
6,2026/05/21 13:29,38,5801.T,古河電工,電線/光通信,光ファイバー・電力線,68,観察候補,23,12,17,6,10,0,3.54兆円,3538999,42.96,8.45,19.12,0.44,8.8,11.2,営業利益,35.6,139.1,2026-05-21,49980,128.1,792,170.2,0.66,-15.2,取得,取得,取得,成長23/25 / 質/割安12/25 / 株価17/20 / 規模6/10 / 主要減点なし
7,2026/05/21 13:29,5,8411.T,みずほFG,銀行,金利上昇・大手銀行,66,観察候補,17,19,16,4,10,0,17.95兆円,17952372,13.79,1.58,11.48,2.04,0.6,1.9,経常利益,34.7,31.2,2026-05-21,7347,4.5,88.9,27.1,1.1,-18.9,取得,取得,取得,成長17/25 / 質/割安19/25 / 株価16/20 / 規模4/10 / 主要減点なし
8,2026/05/21 13:29,28,7735.T,SCREEN HD,半導体装置,洗浄装置,66,観察候補,17,17,14,8,10,0,2.07兆円,2068792,18.64,4.21,20.28,1.61,-3.1,9.5,営業利益,-9.7,14.1,2026-05-21,10870,3.2,106.9,34.6,0.67,-24.5,取得,取得,取得,成長17/25 / 質/割安17/25 / 株価14/20 / 規模8/10 / 主要減点なし
9,2026/05/21 13:29,30,6762.T,TDK,電子部品,電池・電子部品,66,観察候補,20,13,17,6,10,0,6.15兆円,6152317,26.7,2.75,9.81,1.26,13.6,9.1,営業利益,21.5,25.5,2026-05-21,3173,30.4,105.9,41.1,0.58,-20,取得,取得,取得,成長20/25 / 質/割安13/25 / 株価17/20 / 規模6/10 / 主要減点なし
10,2026/05/21 13:29,11,9984.T,ソフトバンクG,投資/AI,AI・投資会社,65,観察候補,20,14,18,4,9,0,34.49兆円,34493851,,1.98,34.28,0.18,7.7,7.4,経常利益,259.9,930.2,2026-05-21,6039,39.6,220.1,35.2,0.85,-21.6,取得,取得,取得,成長20/25 / 質/割安14/25 / 株価18/20 / 規模4/10 / 主要減点なし
