updated_at,ticker,company,sector,theme,usefulness_level,primary_purpose,latest_period,latest_release_date,latest_sales,latest_sales_yoy_pct,latest_operating_profit,latest_operating_profit_yoy_pct,latest_eps,latest_eps_yoy_pct,prior_period,prior_release_date,prior_sales_yoy_pct,prior_operating_profit_yoy_pct,prior_eps_yoy_pct,forecast_revision_sales_pct,forecast_revision_profit_pct,source_url_primary,source_url_secondary,input_status,proxy_data_status,notes
2026/05/22 13:56,8766.T,東京海上HD,保険,金利上昇・保険運用,A 詳細確認,NISA 1年保有,,,,,,,,,,,,,,,,https://www.tokiomarinehd.com/ir/financial/,https://www.tokiomarinehd.com/ir/,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6920.T,レーザーテック,半導体装置,EUV検査,A 詳細確認,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,8316.T,三井住友FG,銀行,金利上昇・大手銀行,A 詳細確認,NISA 1年保有,,,,,,,,,,,,,,,,https://www.smfg.co.jp/investor/financial/latest_statement.html,https://www.smfg.co.jp/investor/,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,7012.T,川崎重工業,重工/防衛,防衛・水素,A 詳細確認,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,5803.T,フジクラ,電線/光通信,データセンター・光ファイバー,A 詳細確認,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,5801.T,古河電工,電線/光通信,光ファイバー・電力線,A 詳細確認,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,8411.T,みずほFG,銀行,金利上昇・大手銀行,A 詳細確認,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,7735.T,SCREEN HD,半導体装置,洗浄装置,A 詳細確認,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6762.T,TDK,電子部品,電池・電子部品,A 詳細確認,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,9984.T,ソフトバンクG,投資/AI,AI・投資会社,A 詳細確認,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,8306.T,三菱UFJ FG,銀行,金利上昇・大手銀行,A 詳細確認,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,5802.T,住友電工,電線/車載,電線・自動車部品,A 詳細確認,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,8750.T,第一生命HD,保険,金利上昇・保険運用,A 詳細確認,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,9983.T,ファーストリテイリング,小売,海外成長・消費,A 詳細確認,指数比較・大型代表,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
