updated_at,ticker,company,usefulness_level,primary_purpose,official_two_earnings_status,target_formula_available_points,proxy_score_100,sales_momentum_pctile,profit_momentum_pctile,price_1y_pctile,liquidity_pctile,drawdown_resilience_pctile,revenue_yoy_pct,revenue_cagr_3period_pct,profit_yoy_pct,profit_cagr_3period_pct,ret1y_pct,volume_ratio20,max_drawdown60_pct,score_use_status,required_next_step,proxy_rank
2026/05/22 13:56,6857.T,アドバンテスト,A 詳細確認,時流テーマ,未入力,50,87.7,99,97,97,88.4,6.1,44.7,52.3,118.8,147.3,284.8,0.7,-29,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,1
2026/05/22 13:56,5801.T,古河電工,A 詳細確認,テンバガー探索,未入力,50,86.8,81.4,91.1,100,83.8,71.2,8.8,11.2,35.6,139.1,792,0.66,-15.2,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,2
2026/05/22 13:56,6920.T,レーザーテック,A 詳細確認,時流テーマ,未入力,50,85.5,96.1,88.9,93.9,82.8,31.8,17.8,28.3,51,40.4,171.4,0.65,-22.1,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,3
2026/05/22 13:56,5803.T,フジクラ,A 詳細確認,テンバガー探索,未入力,50,84.9,96.1,90,99,97.5,0,20.7,21.6,39.2,64.8,346.2,1.1,-45.3,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,4
2026/05/22 13:56,9984.T,ソフトバンクG,A 詳細確認,時流テーマ,未入力,50,81.6,66.2,99,94.9,91.9,36.4,7.7,7.4,259.9,930.2,220.1,0.85,-21.6,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,5
2026/05/22 13:56,4385.T,メルカリ,C データ補完後に判定,テンバガー探索,未入力,5,77.8,,,75.8,63.6,94.9,,,,,70.7,0.47,-9.5,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,7012.T,川崎重工業,A 詳細確認,テンバガー探索,未入力,50,75,82.4,89.1,63.6,72.7,23.2,8.5,11.8,35.4,113.3,54.5,0.56,-23.6,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,6
2026/05/22 13:56,8306.T,三菱UFJ FG,A 詳細確認,NISA 1年保有,未入力,50,73.8,72.1,73,66.7,92.9,73.7,7.3,10.9,27.7,26.6,56.8,0.88,-14.8,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,7
2026/05/22 13:56,6762.T,TDK,A 詳細確認,時流テーマ,未入力,50,73.3,81.4,67,88.9,77.3,43.4,13.6,9.1,21.5,25.5,105.9,0.58,-20,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,8
2026/05/22 13:56,5802.T,住友電工,A 詳細確認,時流テーマ,未入力,50,72.9,73.5,78,98,61.1,27.3,9.2,7.7,30.4,35.8,307.5,0.46,-22.9,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,9
2026/05/22 13:56,6146.T,ディスコ,A 詳細確認,時流テーマ,未入力,50,72,90.7,58.6,86.9,86.9,25.8,11.1,19.2,10.9,23.4,97.7,0.69,-23.5,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,10
2026/05/22 13:56,8316.T,三井住友FG,A 詳細確認,NISA 1年保有,未入力,50,69.1,57.4,73.9,74.7,93.9,54,6.1,7.4,34,25.3,69.9,0.94,-18.3,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,11
2026/05/22 13:56,8002.T,丸紅,D 低優先・比較のみ,景気・マクロ感応,未入力,5,68.8,,,83.8,36.9,78.3,,,,,92.2,0.35,-14.3,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,9983.T,ファーストリテイリング,A 詳細確認,指数比較・大型代表,未入力,50,68.4,81.9,58,65.7,44.9,91.9,9.6,10.9,12.6,21.7,56.4,0.38,-10.7,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,12
2026/05/22 13:56,2802.T,味の素,C データ補完後に判定,NISA 1年保有,未入力,5,67.4,,,67.7,68.7,65.7,,,,,57.1,0.51,-15.9,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,5020.T,ENEOS HD,D 低優先・比較のみ,景気・マクロ感応,未入力,5,65.5,,,82.8,44.9,60.1,,,,,90.9,0.38,-16.8,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,6594.T,ニデック,B 観察継続,テンバガー探索,未入力,50,65,77.9,90,21.2,26.8,42.4,11.1,8.1,47.1,62.7,-4.3,0.32,-20.1,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,13
2026/05/22 13:56,4063.T,信越化学工業,C データ補完後に判定,時流テーマ,未入力,5,63.3,,,61.6,39.4,89.9,,,,,50.8,0.36,-11.2,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,6501.T,日立製作所,B 観察継続,時流テーマ,未入力,50,62.9,60.8,61.4,51.5,78.8,75.8,8.2,4.3,24.6,20.5,32.8,0.59,-14.6,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,14
2026/05/22 13:56,6503.T,三菱電機,B 観察継続,時流テーマ,未入力,50,61.6,55.9,50,90.9,77.3,60.1,6.8,5.9,10.5,14.8,108.2,0.58,-16.8,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,15
2026/05/22 13:56,8411.T,みずほFG,A 詳細確認,NISA 1年保有,未入力,50,61.3,22.5,78.9,80.8,97.5,50,0.6,1.9,34.7,31.2,88.9,1.1,-18.9,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,16
2026/05/22 13:56,8766.T,東京海上HD,A 詳細確認,NISA 1年保有,未入力,50,61.1,59.3,48.5,56.6,96,82.8,5.1,9.3,-7.6,26.5,37.7,1.07,-13,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,17
2026/05/22 13:56,1605.T,INPEX,D 低優先・比較のみ,景気・マクロ感応,未入力,5,61,,,87.9,53,28.8,,,,,102.4,0.43,-22.7,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,8058.T,三菱商事,D 低優先・比較のみ,景気・マクロ感応,未入力,5,59,,,79.8,30.3,56.6,,,,,84.9,0.33,-17.6,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,4911.T,資生堂,D 低優先・比較のみ,景気・マクロ感応,未入力,5,57.4,,,46.5,89.9,41.4,,,,,22.2,0.74,-20.6,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,3407.T,旭化成,C データ補完後に判定,時流テーマ,未入力,5,56.9,,,76.8,49.5,34.3,,,,,71.5,0.4,-21.8,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,4755.T,楽天グループ,C データ補完後に判定,テンバガー探索,未入力,5,56.9,,,16.2,100,74.7,,,,,-7.9,1.47,-14.7,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,6954.T,ファナック,B 観察継続,時流テーマ,未入力,50,56.5,54.4,51.8,85.9,75.3,16.2,7.6,3.9,15.7,13.8,96.1,0.57,-25.5,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,18
2026/05/22 13:56,6861.T,キーエンス,B 観察継続,指数比較・大型代表,未入力,50,56.4,81.4,41.9,47.5,48,54,10.4,9.9,8.4,9.7,24.4,0.39,-18.3,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,19
2026/05/22 13:56,6981.T,村田製作所,B 観察継続,時流テーマ,未入力,50,56.1,46.1,40.1,96,90.9,47.5,5,5.7,0.8,14.4,223.7,0.83,-19.3,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,20
2026/05/22 13:56,6971.T,京セラ,B 観察継続,補助比較,未入力,50,56,26.5,70.4,73.7,59.1,64.6,2.8,1.6,332.8,12.8,69.7,0.45,-16,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,21
