event_id,status,event_date,collected_date,market,ticker,company_name,event_group,event_title,importance_1_5,score_action,score_adjustment,reason,source_name,source_url,next_check,checked_by,notes
JPX-IPO-581A-2026-06-16,collected,2026-06-16,2026-05-18,JP,581A.T,GO Inc.,IPO・新規上場,JPX new listing: GO Inc. (Growth),3,情報のみ,0,新規上場イベント。既存NISA候補への直接加点はしない,JPX New Listings,https://www.jpx.co.jp/english/listing/stocks/new/index.html,会社サイト、上場概要、業種、公開価格、初値、上場後出来高を確認,system,approval_date=2026-05-14; segment=Growth; parsed_context=- - 100
JPX-IPO-575A-2026-06-01,collected,2026-06-01,2026-05-18,JP,575A.T,"MAEZAWA Holdings CO.,LTD.",IPO・新規上場,"JPX new listing: MAEZAWA Holdings CO.,LTD. (Prime)",2,情報のみ,0,テクニカル上場のため投資テーマ確認扱い,JPX New Listings,https://www.jpx.co.jp/english/listing/stocks/new/index.html,会社サイト、上場概要、業種、公開価格、初値、上場後出来高を確認,system,approval_date=2026-05-01; segment=Prime; parsed_context=- - 100
JPX-IPO-559A-2026-04-24,collected,2026-04-24,2026-05-18,JP,559A.T,"UMENOYADO BREWERY CO.,LTD.",IPO・新規上場,"JPX new listing: UMENOYADO BREWERY CO.,LTD. (Standard)",3,情報のみ,0,新規上場イベント。既存NISA候補への直接加点はしない,JPX New Listings,https://www.jpx.co.jp/english/listing/stocks/new/index.html,会社サイト、上場概要、業種、公開価格、初値、上場後出来高を確認,system,approval_date=2026-03-25; segment=Standard; parsed_context=570-600 - 100
JPX-IPO-556A-2026-04-23,collected,2026-04-23,2026-05-18,JP,556A.T,"INUNEKO-SEIKATSU Co.,Ltd.",IPO・新規上場,"JPX new listing: INUNEKO-SEIKATSU Co.,Ltd. (Growth)",3,情報のみ,0,新規上場イベント。既存NISA候補への直接加点はしない,JPX New Listings,https://www.jpx.co.jp/english/listing/stocks/new/index.html,会社サイト、上場概要、業種、公開価格、初値、上場後出来高を確認,system,"approval_date=2026-03-23; segment=Growth; parsed_context=2,790-2,990 330 100"
JPX-IPO-558A-2026-04-22,collected,2026-04-22,2026-05-18,JP,558A.T,SQUEEZE Inc.,IPO・新規上場,JPX new listing: SQUEEZE Inc. (Growth),3,情報のみ,0,新規上場イベント。既存NISA候補への直接加点はしない,JPX New Listings,https://www.jpx.co.jp/english/listing/stocks/new/index.html,会社サイト、上場概要、業種、公開価格、初値、上場後出来高を確認,system,"approval_date=2026-03-24; segment=Growth; parsed_context=2,910-3,110 50 100"
JPX-IPO-554A-2026-04-21,collected,2026-04-21,2026-05-18,JP,554A.T,"Batonz.Co.,Ltd.",IPO・新規上場,"JPX new listing: Batonz.Co.,Ltd. (Growth)",3,情報のみ,0,新規上場イベント。既存NISA候補への直接加点はしない,JPX New Listings,https://www.jpx.co.jp/english/listing/stocks/new/index.html,会社サイト、上場概要、業種、公開価格、初値、上場後出来高を確認,system,approval_date=2026-03-17; segment=Growth; parsed_context=630-660 310 100
JPX-IPO-550A-2026-04-09,collected,2026-04-09,2026-05-18,JP,550A.T,"SOFTTEX Co.,Ltd.",IPO・新規上場,"JPX new listing: SOFTTEX Co.,Ltd. (Standard)",3,情報のみ,0,新規上場イベント。既存NISA候補への直接加点はしない,JPX New Listings,https://www.jpx.co.jp/english/listing/stocks/new/index.html,会社サイト、上場概要、業種、公開価格、初値、上場後出来高を確認,system,"approval_date=2026-03-06; segment=Standard; parsed_context=1,910-1,940 106.1 100"
JPX-IPO-549A-2026-04-07,collected,2026-04-07,2026-05-18,JP,549A.T,"HITO-TO-HITO Holdings Co.,Ltd.",IPO・新規上場,"JPX new listing: HITO-TO-HITO Holdings Co.,Ltd. (Standard)",3,情報のみ,0,新規上場イベント。既存NISA候補への直接加点はしない,JPX New Listings,https://www.jpx.co.jp/english/listing/stocks/new/index.html,会社サイト、上場概要、業種、公開価格、初値、上場後出来高を確認,system,approval_date=2026-03-03; segment=Standard; parsed_context=410-430 - 100
JPX-IPO-548A-2026-04-06,collected,2026-04-06,2026-05-18,JP,548A.T,"SystemEXE,Inc.",IPO・新規上場,"JPX new listing: SystemEXE,Inc. (Standard)",3,情報のみ,0,新規上場イベント。既存NISA候補への直接加点はしない,JPX New Listings,https://www.jpx.co.jp/english/listing/stocks/new/index.html,会社サイト、上場概要、業種、公開価格、初値、上場後出来高を確認,system,approval_date=2026-03-03; segment=Standard; parsed_context=900-950 401.1 100
JPX-IPO-542A-2026-04-02,collected,2026-04-02,2026-05-18,JP,542A.T,Vitabrid Japan Inc.,IPO・新規上場,JPX new listing: Vitabrid Japan Inc. (Growth),3,情報のみ,0,新規上場イベント。既存NISA候補への直接加点はしない,JPX New Listings,https://www.jpx.co.jp/english/listing/stocks/new/index.html,会社サイト、上場概要、業種、公開価格、初値、上場後出来高を確認,system,"approval_date=2026-02-27; segment=Growth; parsed_context=1,290-1,370 1,640 100"
