updated_at,priority,ticker,company,usefulness_level,fields_to_collect,source_url_primary,source_url_secondary,source_status,next_action
2026/05/22 13:56,1 高,5801.T,古河電工,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,5802.T,住友電工,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,5803.T,フジクラ,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,6146.T,ディスコ,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,6762.T,TDK,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,6857.T,アドバンテスト,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,6920.T,レーザーテック,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,7012.T,川崎重工業,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,7735.T,SCREEN HD,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,8035.T,東京エレクトロン,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,8306.T,三菱UFJ FG,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,8316.T,三井住友FG,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",https://www.smfg.co.jp/investor/financial/latest_statement.html,https://www.smfg.co.jp/investor/,公式URL候補あり,数値入力・検算
2026/05/22 13:56,1 高,8411.T,みずほFG,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,8725.T,MS&AD,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,8750.T,第一生命HD,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,8766.T,東京海上HD,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",https://www.tokiomarinehd.com/ir/financial/,https://www.tokiomarinehd.com/ir/,公式URL候補あり,数値入力・検算
2026/05/22 13:56,1 高,9983.T,ファーストリテイリング,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,1 高,9984.T,ソフトバンクG,A 詳細確認,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,5108.T,ブリヂストン,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6098.T,リクルートHD,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6201.T,豊田自動織機,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6273.T,SMC,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6301.T,コマツ,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6326.T,クボタ,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6367.T,ダイキン工業,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",https://www.daikin.co.jp/investor,https://www.daikin.co.jp/investor/library,公式URL候補あり,数値入力・検算
2026/05/22 13:56,2 中,6501.T,日立製作所,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6503.T,三菱電機,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",https://www.mitsubishielectric.co.jp/ir/library/results/,https://www.mitsubishielectric.co.jp/ir/,公式URL候補あり,数値入力・検算
2026/05/22 13:56,2 中,6526.T,ソシオネクスト,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6594.T,ニデック,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6645.T,オムロン,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6701.T,NEC,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6702.T,富士通,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6723.T,ルネサス,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6758.T,ソニーグループ,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6861.T,キーエンス,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6902.T,デンソー,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6954.T,ファナック,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6971.T,京セラ,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,6981.T,村田製作所,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,7011.T,三菱重工,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,7013.T,IHI,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,7202.T,いすゞ自動車,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,7203.T,トヨタ自動車,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,7267.T,ホンダ,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,7269.T,スズキ,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,7270.T,SUBARU,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,7974.T,任天堂,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,8001.T,伊藤忠商事,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,8031.T,三井物産,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",https://www.mitsui.com/jp/ja/ir/library/meeting/index.html,https://www.mitsui.com/jp/ja/ir/,公式URL候補あり,数値入力・検算
2026/05/22 13:56,2 中,9432.T,NTT,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,2 中,9433.T,KDDI,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",https://www.kddi.com/corporate/ir/ir-library/earning/,https://www.kddi.com/corporate/ir/,公式URL候補あり,数値入力・検算
2026/05/22 13:56,2 中,9434.T,ソフトバンク,B 観察継続,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,3 補完,1605.T,INPEX,D 低優先・比較のみ,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,3 補完,1801.T,大成建設,D 低優先・比較のみ,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,3 補完,1802.T,大林組,D 低優先・比較のみ,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,3 補完,1803.T,清水建設,D 低優先・比較のみ,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,3 補完,1812.T,鹿島,D 低優先・比較のみ,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,3 補完,1925.T,大和ハウス工業,C データ補完後に判定,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,3 補完,2413.T,エムスリー,C データ補完後に判定,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,3 補完,2432.T,ディー・エヌ・エー,C データ補完後に判定,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,3 補完,2502.T,アサヒGHD,C データ補完後に判定,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,3 補完,2503.T,キリンHD,C データ補完後に判定,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,3 補完,2801.T,キッコーマン,C データ補完後に判定,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,3 補完,2802.T,味の素,C データ補完後に判定,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
2026/05/22 13:56,3 補完,3092.T,ZOZO,C データ補完後に判定,"直近決算: 売上, 営業利益, EPS, YoY / 1つ前決算: 売上YoY, 営業利益YoY, EPS YoY / 会社予想修正",,,公式URL探索が必要,IRページまたは決算短信URLを確認
