ticker,company,latest_period,previous_period,latest_sales_yoy_pct,previous_sales_yoy_pct,sales_yoy_change_pt,latest_profit_metric,latest_profit_yoy_pct,previous_profit_yoy_pct,profit_yoy_change_pt,latest_eps_yoy_calc_pct,previous_eps_yoy_calc_pct,eps_yoy_change_pt,current_read,action_for_next_step
6857.T,アドバンテスト,2026年3月期,2026年3月期3Q,44.7,46.3,-1.6,営業利益,118.8,110.8,8,135.6,107.4,28.2,成長加速,株価反応・PER/PBR/ROE・出来高・下落率を接続してテスト優先度を判定
5801.T,古河電工,2026年3月期,2026年3月期3Q,8.8,7.6,1.2,営業利益,35.8,11.9,23.9,117.6,117.2,0.4,成長加速,株価反応・PER/PBR/ROE・出来高・下落率を接続してテスト優先度を判定
6920.T,レーザーテック,2026年6月期3Q,2026年6月期中間期,0.4,-0.6,1,営業利益,-1.4,-1.1,-0.3,8.3,5.9,2.4,減速に注意,株価反応・PER/PBR/ROE・出来高・下落率を接続してテスト優先度を判定
5803.T,フジクラ,2026年3月期,2026年3月期3Q,20.7,20.2,0.5,営業利益,39.2,47.7,-8.5,72.4,89.4,-17,成長継続・伸び率低下,株価反応・PER/PBR/ROE・出来高・下落率を接続してテスト優先度を判定
9984.T,ソフトバンクG,2026年3月期,2026年3月期3Q,7.7,7.9,-0.2,税引前利益,259.9,228,31.9,347.5,418.8,-71.3,投資会社別枠で確認,投資損益と保有株評価の影響を分けて確認
7012.T,川崎重工業,2026年3月期,2026年3月期3Q,25.2,10.9,14.3,事業利益,41.3,4.3,37,62.2,49.4,12.8,成長加速,株価反応・PER/PBR/ROE・出来高・下落率を接続してテスト優先度を判定
8306.T,三菱UFJ FG,2026年3月期,2026年3月期3Q,3.6,3.6,0,経常利益,24.1,3.6,20.5,24.9,6,18.9,銀行別枠で確認,銀行指標として金利・信用コスト・PBRを別枠確認
6762.T,TDK,2026年3月期,2026年3月期3Q,3,0.8,2.2,営業利益,13.8,13.7,0.1,17,11.1,5.9,継続確認,株価反応・PER/PBR/ROE・出来高・下落率を接続してテスト優先度を判定
5802.T,住友電工,2026年3月期,2026年3月期3Q,3.9,4.2,-0.3,営業利益,14.3,19.4,-5.1,14,19.5,-5.5,継続確認,株価反応・PER/PBR/ROE・出来高・下落率を接続してテスト優先度を判定
6146.T,ディスコ,2026年3月期,2026年3月期3Q,36.4,48.4,-12,営業利益,47.6,58.3,-10.7,36,45.7,-9.7,成長継続・伸び率低下,株価反応・PER/PBR/ROE・出来高・下落率を接続してテスト優先度を判定
