updated_at,ticker,company,period_type,period,release_date,base_date,base_close,after_1d_date,return_1d_pct,nikkei_1d_pct,excess_1d_pct,after_5d_date,return_5d_pct,nikkei_5d_pct,excess_5d_pct,after_20d_date,return_20d_pct,nikkei_20d_pct,excess_20d_pct,score,score_decision,calc_status,source_url
2026/05/24 12:37,6857.T,アドバンテスト,最新,2026年3月期,2026-04-27,2026-04-27,31500,2026-04-28,-5.56,-1.02,-4.53,2026-05-08,-5.13,3.59,-8.72,,,,,69.8,条件付きテスト候補,計算済み,https://www.advantest.com/document/ja/investors/ir-library/result/J_FR_FY2025_FN.pdf
2026/05/24 12:37,6857.T,アドバンテスト,1つ前,2026年3月期3Q,2026-01-28,2026-01-28,25540,2026-01-29,5.17,0.03,5.14,2026-02-04,-0.25,1.75,-2.01,2026-02-27,5.13,10.29,-5.16,69.8,条件付きテスト候補,計算済み,https://www.advantest.com/document/ja/investors/ir-library/result/J_FR_FY2025_3Q.pdf
2026/05/24 12:37,5801.T,古河電工,最新,2026年3月期,2026-05-12,2026-05-12,50430,2026-05-13,15.27,0.84,14.42,2026-05-19,-0.36,-3.49,3.14,,,,,44,比較継続,計算済み,https://www.furukawaelectric.com/ir/library/finalreport/pdf/2026/20260512.pdf
2026/05/24 12:37,5801.T,古河電工,1つ前,2026年3月期3Q,2026-02-09,2026-02-09,17500,2026-02-10,22.86,2.28,20.57,2026-02-17,20.71,0.36,20.35,2026-03-11,70,-2.37,72.37,44,比較継続,計算済み,https://www.furukawaelectric.com/ir/library/finalreport/pdf/2026/20260209.pdf
2026/05/24 12:37,6920.T,レーザーテック,最新,2026年6月期3Q,2026-04-30,2026-04-30,42690,2026-05-01,0.56,0.38,0.18,2026-05-12,1.87,5.83,-3.96,,,,,36.2,見送り寄り,計算済み,https://www2.jpx.co.jp/disc/69200/140120260430514363.pdf
2026/05/24 12:37,6920.T,レーザーテック,1つ前,2026年6月期中間期,2026-01-30,2026-01-30,36390,2026-02-02,-13.96,-1.25,-12.71,2026-02-06,-17.04,1.75,-18.78,2026-03-03,-5.96,5.54,-11.51,36.2,見送り寄り,計算済み,https://www2.jpx.co.jp/disc/69200/140120260130542527.pdf
2026/05/24 12:37,5803.T,フジクラ,最新,2026年3月期,2026-05-14,2026-05-14,6355,2026-05-15,-8.43,-1.99,-6.45,2026-05-21,-29.17,-1.55,-27.63,,,,,32,見送り寄り,計算済み,https://www2.jpx.co.jp/disc/58030/140120260514532598.pdf
2026/05/24 12:37,5803.T,フジクラ,1つ前,2026年3月期3Q,2026-02-09,2026-02-09,3659.17,2026-02-10,5.03,2.28,2.75,2026-02-17,-2.44,0.36,-2.8,2026-03-11,16.83,-2.37,19.2,32,見送り寄り,計算済み,https://www2.jpx.co.jp/disc/58030/140120260206550168.pdf
2026/05/24 12:37,9984.T,ソフトバンクG,最新,2026年3月期,2026-05-13,2026-05-13,6012,2026-05-14,-4.03,-0.98,-3.05,2026-05-20,-16.18,-5.48,-10.7,,,,,60.9,条件付きテスト候補,計算済み,https://group.softbank/media/Project/sbg/sbg/pdf/ir/financials/financial_reports/financial-report_q4fy2025_01_ja.pdf
2026/05/24 12:37,9984.T,ソフトバンクG,1つ前,2026年3月期3Q,2026-02-12,2026-02-12,4817,2026-02-13,-8.86,-1.21,-7.65,2026-02-19,-7.83,-0.3,-7.53,2026-03-13,-25.72,-6.63,-19.09,60.9,条件付きテスト候補,計算済み,https://group.softbank/media/Project/sbg/sbg/pdf/ir/financials/financial_reports/financial-report_q3fy2025_01_ja.pdf
2026/05/24 12:37,7012.T,川崎重工業,最新,2026年3月期,2026-05-12,2026-05-12,3391,2026-05-13,0.77,0.84,-0.08,2026-05-19,-15.98,-3.49,-12.49,,,,,52.4,比較継続,計算済み,https://www2.jpx.co.jp/disc/70120/140120260511523885.pdf
2026/05/24 12:37,7012.T,川崎重工業,1つ前,2026年3月期3Q,2026-02-09,2026-02-09,3391,2026-02-10,7.64,2.28,5.36,2026-02-17,-0.09,0.36,-0.45,2026-03-11,-5.04,-2.37,-2.67,52.4,比較継続,計算済み,https://www2.jpx.co.jp/disc/70120/140120260205548511.pdf
2026/05/24 12:37,8306.T,三菱UFJ FG,最新,2026年3月期,2026-05-15,2026-05-15,2929,2026-05-18,2.25,-0.97,3.22,2026-05-22,5.53,3.14,2.39,,,,,48.4,比較継続,計算済み,https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2603_ja.pdf
2026/05/24 12:37,8306.T,三菱UFJ FG,1つ前,2026年3月期3Q,2026-02-09,2026-02-09,2957.5,2026-02-10,2.59,2.28,0.3,2026-02-17,-2.74,0.36,-3.1,2026-03-11,-9.23,-2.37,-6.86,48.4,比較継続,計算済み,https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2512_ja.pdf
