ticker,company,score,score_decision,event_count,count_1d,count_5d,count_20d,avg_return_1d_pct,avg_excess_1d_pct,avg_return_5d_pct,avg_excess_5d_pct,avg_return_20d_pct,avg_excess_20d_pct,reaction_label,consistency_label
5801.T,古河電工,44,比較継続,2,2,2,1,19.06,17.5,10.18,11.75,70,72.37,決算後反応は強い（20日未到達あり）,20営業日未到達イベントあり
5802.T,住友電工,40.3,比較継続,2,2,2,1,-7.36,-5.93,0.3,-2.01,26.35,23.91,決算後反応は強い（20日未到達あり）,20営業日未到達イベントあり
5803.T,フジクラ,32,見送り寄り,2,2,2,1,-1.7,-1.85,-15.81,-15.21,16.83,19.2,決算後反応は強い（20日未到達あり）,20営業日未到達イベントあり
6146.T,ディスコ,50.4,比較継続,2,2,2,1,6.65,6.16,9.61,9.32,26.46,17.57,決算後反応は強い（20日未到達あり）,20営業日未到達イベントあり
6762.T,TDK,47,比較継続,2,2,2,1,9.71,8.27,12.02,6.4,5.99,2.97,短期反応は強い（20日未到達あり）,20営業日未到達イベントあり
7012.T,川崎重工業,52.4,比較継続,2,2,2,1,4.21,2.64,-8.03,-6.47,-5.04,-2.67,決算後反応は弱め（20日未到達あり）,20営業日未到達イベントあり
6857.T,アドバンテスト,69.8,条件付きテスト候補,2,2,2,1,-0.19,0.3,-2.69,-5.36,5.13,-5.16,決算後に弱い（20日未到達あり）,20営業日未到達イベントあり
8306.T,三菱UFJ FG,48.4,比較継続,2,2,2,1,2.42,1.76,1.4,-0.35,-9.23,-6.86,決算後に弱い（20日未到達あり）,20営業日未到達イベントあり
6920.T,レーザーテック,36.2,見送り寄り,2,2,2,1,-6.7,-6.26,-7.58,-11.37,-5.96,-11.51,決算後に弱い（20日未到達あり）,20営業日未到達イベントあり
9984.T,ソフトバンクG,60.9,条件付きテスト候補,2,2,2,1,-6.44,-5.35,-12,-9.11,-25.72,-19.09,決算後に弱い（20日未到達あり）,20営業日未到達イベントあり
