adjusted_rank,rank_change,ticker,company,original_rank,base_score,base_decision,reaction_score,reaction_reliability,adjusted_score,avg_excess_1d_pct,avg_excess_5d_pct,avg_excess_20d_pct,count_20d,event_count,reaction_label,consistency_label,risk_note,formula_note,adjusted_decision,next_action
1,3,6146.T,ディスコ,4,50.4,比較継続,68.7,85,55.9,6.16,9.32,17.57,1,2,決算後反応は強い（20日未到達あり）,20営業日未到達イベントあり,20営業日未到達あり / PBR高め,補正後=元スコア70%+反応スコア30%。反応内訳=1日34%、5日51%、20日15%。,暫定優先,6月イベント後の候補リストに残す
2,5,5801.T,古河電工,7,44,比較継続,88,85,57.2,17.5,11.75,72.37,1,2,決算後反応は強い（20日未到達あり）,20営業日未到達イベントあり,20営業日未到達あり / 1年上昇率が極端,補正後=元スコア70%+反応スコア30%。反応内訳=1日34%、5日51%、20日15%。,反応強いが過熱確認,株価過熱・下落率・PER/PBRを追加検算する
3,-2,6857.T,アドバンテスト,1,69.8,条件付きテスト候補,32.5,85,58.6,0.3,-5.36,-5.16,1,2,決算後に弱い（20日未到達あり）,20営業日未到達イベントあり,20営業日未到達あり / PBR高め / 1年上昇率が極端,補正後=元スコア70%+反応スコア30%。反応内訳=1日34%、5日51%、20日15%。,数字は良いが反応確認,最新決算後の弱さを再確認し、すぐには上位扱いしない
4,-2,9984.T,ソフトバンクG,2,60.9,条件付きテスト候補,15.2,85,47.2,-5.35,-9.11,-19.09,1,2,決算後に弱い（20日未到達あり）,20営業日未到達イベントあり,20営業日未到達あり / 投資会社は別枠,補正後=元スコア70%+反応スコア30%。反応内訳=1日34%、5日51%、20日15%。,数字は良いが反応確認,最新決算後の弱さを再確認し、すぐには上位扱いしない
5,1,6762.T,TDK,6,47,比較継続,62.9,85,51.8,8.27,6.4,2.97,1,2,短期反応は強い（20日未到達あり）,20営業日未到達イベントあり,20営業日未到達あり,補正後=元スコア70%+反応スコア30%。反応内訳=1日34%、5日51%、20日15%。,比較継続,次回データ更新で再計算
6,-3,7012.T,川崎重工業,3,52.4,比較継続,34.8,85,47.1,2.64,-6.47,-2.67,1,2,決算後反応は弱め（20日未到達あり）,20営業日未到達イベントあり,20営業日未到達あり,補正後=元スコア70%+反応スコア30%。反応内訳=1日34%、5日51%、20日15%。,比較継続,次回データ更新で再計算
7,-2,8306.T,三菱UFJ FG,5,48.4,比較継続,41.3,85,46.3,1.76,-0.35,-6.86,1,2,決算後に弱い（20日未到達あり）,20営業日未到達イベントあり,20営業日未到達あり / 銀行は別枠,補正後=元スコア70%+反応スコア30%。反応内訳=1日34%、5日51%、20日15%。,比較継続,次回データ更新で再計算
8,0,5802.T,住友電工,8,40.3,比較継続,37.6,85,39.5,-5.93,-2.01,23.91,1,2,決算後反応は強い（20日未到達あり）,20営業日未到達イベントあり,20営業日未到達あり / 1年上昇率が極端,補正後=元スコア70%+反応スコア30%。反応内訳=1日34%、5日51%、20日15%。,見送り寄り,現時点では優先度を下げる
9,1,5803.T,フジクラ,10,32,見送り寄り,22.8,85,29.3,-1.85,-15.21,19.2,1,2,決算後反応は強い（20日未到達あり）,20営業日未到達イベントあり,20営業日未到達あり / PER高め / PBR高め / 1年上昇率が極端 / 直近下落率が大きい,補正後=元スコア70%+反応スコア30%。反応内訳=1日34%、5日51%、20日15%。,見送り寄り,現時点では優先度を下げる
10,-1,6920.T,レーザーテック,9,36.2,見送り寄り,12.9,85,29.2,-6.26,-11.37,-11.51,1,2,決算後に弱い（20日未到達あり）,20営業日未到達イベントあり,20営業日未到達あり / PER高め / PBR高め,補正後=元スコア70%+反応スコア30%。反応内訳=1日34%、5日51%、20日15%。,見送り寄り,現時点では優先度を下げる
