event_id,status,event_date,collected_date,market,ticker,company_name,event_group,event_title,importance_1_5,score_action,score_adjustment,reason,source_name,source_url,next_check,checked_by,notes
TDNET-20260518-1847-8,collected,2026-05-18,2026-05-18,JP,1847.T,イチケン,決算短信,2026年３月期 決算短信〔日本基準〕（連結）,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260515538038.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=14:00
TDNET-20260518-2991-10,collected,2026-05-18,2026-05-18,JP,2991.T,ランドネット,月次,2026年４月度 月次業績速報,3,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260518539647.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=14:00
TDNET-20260518-6104-19,collected,2026-05-18,2026-05-18,JP,6104.T,芝浦機械,M&A・資本提携,"Moore Nanotechnology Systems, LLCの持分取得（子会社化）に関するお知らせ",4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260515538806.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=13:00
TDNET-20260518-7616-20,collected,2026-05-18,2026-05-18,JP,7616.T,コロワイド,決算短信,（訂正・数値データ訂正）「2026年３月期 決算短信〔ＩＦＲＳ〕（連結）」の一部訂正について,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260518539307.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=13:00
TDNET-20260518-4966-22,collected,2026-05-18,2026-05-18,JP,4966.T,上村工業,配当・増配,剰余金の配当に関するお知らせ,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260518539407.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=12:30
TDNET-20260518-9170-23,collected,2026-05-18,2026-05-18,JP,9170.T,成友興業,配当・増配,株式分割及び株式分割に伴う定款の一部変更並びに配当予想の修正（増配）に関するお知らせ,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260518539376.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=12:30
TDNET-20260518-4275-26,collected,2026-05-18,2026-05-18,JP,4275.T,カーリット,自社株買い,自己株式立会外買付取引(ToSTNeT-3)による自己株式の取得結果及び自己株式取得終了に関するお知らせ,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260518539580.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=12:00
TDNET-20260518-8705-38,collected,2026-05-18,2026-05-18,JP,8705.T,日産証券グループ,月次,2026年４月の月次業績等（速報）に関するお知らせ,3,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260507518310.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=11:30
TDNET-20260518-1499-42,collected,2026-05-18,2026-05-18,JP,1499.T,ＭＸＳ高配当７０ＭＮ,決算短信,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信 決算短信（2026年4月期）,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260518539501.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=11:00
TDNET-20260518-1660-43,collected,2026-05-18,2026-05-18,JP,1660.T,ＭＸＳ高利Ｊリート,決算短信,ＭＡＸＩＳ高利回りＪリート上場投信 決算短信（2026年4月期）,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260518539494.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=11:00
TDNET-20260518-9326-47,collected,2026-05-18,2026-05-18,JP,9326.T,Ｇ－関通ＨＤ,自社株買い,自己株式立会外買付取引（ＴｏＳＴＮｅＴ－３）による自己株式の取得結果及び取得終了に関するお知らせ,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260518539352.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=11:00
TDNET-20260518-9402-48,collected,2026-05-18,2026-05-18,JP,9402.T,中部日本放送,自社株買い,自己株式立会外買付取引（Ｎ－ＮＥＴ３）による自己株式の取得結果及び取得終了に関するお知らせ,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260512526180.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=11:00
TDNET-20260518-2784-50,collected,2026-05-18,2026-05-18,JP,2784.T,アルフレッサＨＤ,自社株買い,コミットメント型自己株式取得（FCSR）による自己株式取得のための第三者割当による 第1回新株予約権の発行条件の決定に関するお知らせ,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260517539204.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=10:30
TDNET-20260518-2911-51,collected,2026-05-18,2026-05-18,JP,2911.T,旭松食品,自社株買い,自己株式立会外買付取引（ＴｏＳＴＮｅＴ－３）による自己株式の取得結果及び取得終了に関するお知らせ,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260518539351.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=10:30
TDNET-20260518-3512-52,collected,2026-05-18,2026-05-18,JP,3512.T,日フエルト,自社株買い,自己株式立会外買付取引（ＴｏＳＴＮｅＴ－３）による自己株式の取得結果に関するお知らせ,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260514535741.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=10:30
TDNET-20260518-3675-53,collected,2026-05-18,2026-05-18,JP,3675.T,クロスマーケティング,自社株買い,自己株式立会外買付取引（ToSTNeT-3）による自己株式の取得結果及び自己株式取得終了に関するお知らせ,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260518539366.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=10:30
TDNET-20260518-8742-54,collected,2026-05-18,2026-05-18,JP,8742.T,小林洋行,自社株買い,自己株式立会外買付取引（ToSTNeT-3）による自己株式の取得結果に関するお知らせ,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260518539337.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=10:30
TDNET-20260518-9788-55,collected,2026-05-18,2026-05-18,JP,9788.T,ナック,自社株買い,自己株式立会外買付取引（ToSTNeT-３）による自己株式の取得結果及び取得終了に関するお知らせ,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260518539389.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=10:30
TDNET-20260518-2652-61,collected,2026-05-18,2026-05-18,JP,2652.T,まんだらけ,決算短信,「2026年９月期 第２四半期（中間期）決算短信〔日本基準〕（非連結）」の一部訂正について,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260518539363.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=10:00
TDNET-20260518-3954-63,collected,2026-05-18,2026-05-18,JP,3954.T,ＰＡＸＸＳ,決算短信,（訂正） 「2026年３月期 決算短信〔日本基準〕（連結）」の一部訂正について,4,情報のみ,0,候補外銘柄のため市場イベントとして記録,TDnet public HTML,https://www.release.tdnet.info/inbs/140120260515538489.pdf,重要度が高い場合のみ業種・テーマを確認,system,list_url=https://www.release.tdnet.info/inbs/I_list_001_20260518.html; time=10:00
