nisa_rank,updated_at,ticker,company,sector,theme,category,expanded_rank,prior_category,nisa_score,raw_nisa_score,growth_quality_score,downside_safety_score,valuation_score,medium_trend_score,earnings_reaction_score,data_confidence,score_basis,hard_gate,per,pbr,roe_pct,revenue_yoy_pct,profit_yoy_pct,ret1y_pct,max_drawdown60_pct,adjusted_score,base_score,reaction_score,hold_reason,next_check
1,2026/05/25 18:37,4385.T,メルカリ,ネット,フリマ・FinTech,残す,1,残す,79.8,79.8,75.8,91.3,82.9,81.8,56.8,87,追加取得データ反映,決算後20営業日未到達,,5.79,30.52,2.8,59.2,70.7,-9.5,79.8,79.8,56.8,検証候補。NISA1年点79.8、信頼度87、業績/質75.8、下落耐性91.3、割安82.9、決算反応56.8。ゲート: 決算後20営業日未到達,6月CPI、FOMC、日銀、日経75日線、米10年金利、為替、20営業日反応を確認して購入可否を再判定。
2,2026/05/25 18:37,2802.T,味の素,食品,食品・ヘルスケア,残す,2,残す,67.8,67.8,69.6,83,45.1,71.1,65.8,95,追加取得データ反映,決算後20営業日未到達,43.73,6.81,17.75,3.5,75,57.1,-15.9,67.8,67.8,65.8,検証候補。NISA1年点67.8、信頼度95、業績/質69.6、下落耐性83、割安45.1、決算反応65.8。ゲート: 決算後20営業日未到達,6月CPI、FOMC、日銀、日経75日線、米10年金利、為替、20営業日反応を確認して購入可否を再判定。
3,2026/05/25 18:37,8316.T,三井住友FG,銀行,金利上昇・大手銀行,残す,3,残す,65.1,65.1,49.8,79.4,75.1,72.3,55.5,95,追加取得データ反映,決算後20営業日未到達,13.61,1.47,10.38,6.1,34,69.9,-18.3,65.1,65.1,55.5,検証候補。NISA1年点65.1、信頼度95、業績/質49.8、下落耐性79.4、割安75.1、決算反応55.5。ゲート: 決算後20営業日未到達,6月CPI、FOMC、日銀、日経75日線、米10年金利、為替、20営業日反応を確認して購入可否を再判定。
4,2026/05/25 18:37,5020.T,ENEOS HD,エネルギー,原油・精製,残す,4,残す,64.3,64.3,52.8,75.7,75.3,60.9,57,95,追加取得データ反映,決算後20営業日未到達,8.36,1.03,8.00,-4.5,339.8,90.9,-16.8,64.3,64.3,57,検証候補。NISA1年点64.3、信頼度95、業績/質52.8、下落耐性75.7、割安75.3、決算反応57。ゲート: 決算後20営業日未到達,6月CPI、FOMC、日銀、日経75日線、米10年金利、為替、20営業日反応を確認して購入可否を再判定。
5,2026/05/25 18:37,8306.T,三菱UFJ FG,銀行,金利上昇・大手銀行,残す,5,残す,62.1,62.1,48.3,84.2,66.2,67.5,41.3,92,追加取得データ反映,なし,,1.56,11.34,7.3,27.7,56.8,-14.8,62.1,62.1,41.3,検証候補。NISA1年点62.1、信頼度92、業績/質48.3、下落耐性84.2、割安66.2、決算反応41.3。ゲート: なし,6月CPI、FOMC、日銀、日経75日線、米10年金利、為替、20営業日反応を確認して購入可否を再判定。
6,2026/05/25 18:37,6146.T,ディスコ,半導体装置,切断・研削装置,残す,6,残す,60.9,60.9,55.8,65.3,59.6,62.8,68.7,92,追加取得データ反映,なし,,12.32,25.15,11.1,10.9,97.7,-23.5,60.9,60.9,68.7,検証候補。NISA1年点60.9、信頼度92、業績/質55.8、下落耐性65.3、割安59.6、決算反応68.7。ゲート: なし,6月CPI、FOMC、日銀、日経75日線、米10年金利、為替、20営業日反応を確認して購入可否を再判定。
7,2026/05/25 18:37,6762.T,TDK,電子部品,電池・電子部品,残す,7,残す,60.7,60.7,48.8,71.7,56.2,81.8,62.9,100,追加取得データ反映,なし,26.7,2.75,9.81,13.6,21.5,105.9,-20,60.7,60.7,62.9,検証候補。NISA1年点60.7、信頼度100、業績/質48.8、下落耐性71.7、割安56.2、決算反応62.9。ゲート: なし,6月CPI、FOMC、日銀、日経75日線、米10年金利、為替、20営業日反応を確認して購入可否を再判定。
8,2026/05/25 18:37,6503.T,三菱電機,総合電機,電力制御・FA,残す,8,残す,55.6,55.6,36.5,75.7,55.9,72.2,55.1,95,追加取得データ反映,決算後20営業日未到達,26.09,2.76,9.67,6.8,10.5,108.2,-16.8,55.6,55.6,55.1,検証候補。NISA1年点55.6、信頼度95、業績/質36.5、下落耐性75.7、割安55.9、決算反応55.1。ゲート: 決算後20営業日未到達,6月CPI、FOMC、日銀、日経75日線、米10年金利、為替、20営業日反応を確認して購入可否を再判定。
9,2026/05/25 18:37,9984.T,ソフトバンクG,投資/AI,AI・投資会社,保留,9,保留,66.9,66.9,80.5,59.1,81.2,62.5,15.2,92,追加取得データ反映,決算後反応15.2点,,1.98,34.28,7.7,259.9,220.1,-21.6,66.9,66.9,15.2,要確認。NISA1年点66.9、信頼度92、業績/質80.5、下落耐性59.1、割安81.2、決算反応15.2。ゲート: 決算後反応15.2点,購入候補ではない。改善データまたは不足データ解消後に再判定。
10,2026/05/25 18:37,7012.T,川崎重工業,重工/防衛,防衛・水素,保留,10,保留,59.9,59.9,56,72.3,66,55.7,34.8,100,追加取得データ反映,決算後反応34.8点,21.6,2.71,13.68,8.5,35.4,54.5,-23.6,59.9,59.9,34.8,要確認。NISA1年点59.9、信頼度100、業績/質56、下落耐性72.3、割安66、決算反応34.8。ゲート: 決算後反応34.8点,購入候補ではない。改善データまたは不足データ解消後に再判定。
11,2026/05/25 18:37,6501.T,日立製作所,総合電機,電力・DX・インフラ,保留,11,保留,59.3,59.3,48.9,84.9,61.7,53.2,32.5,95,追加取得データ反映,決算後20営業日未到達 / 決算後反応32.5点,26.81,3.47,12.93,8.2,24.6,32.8,-14.6,59.3,59.3,32.5,要確認。NISA1年点59.3、信頼度95、業績/質48.9、下落耐性84.9、割安61.7、決算反応32.5。ゲート: 決算後20営業日未到達 / 決算後反応32.5点,購入候補ではない。改善データまたは不足データ解消後に再判定。
12,2026/05/25 18:37,8002.T,丸紅,商社,資源・電力,保留,12,保留,53,53,22.7,79.4,77.3,63.2,34,95,追加取得データ反映,決算後20営業日未到達 / 決算後反応34点,15.01,1.99,13.61,6.1,-59.2,92.2,-14.3,53,53,34,要確認。NISA1年点53、信頼度95、業績/質22.7、下落耐性79.4、割安77.3、決算反応34。ゲート: 決算後20営業日未到達 / 決算後反応34点,購入候補ではない。改善データまたは不足データ解消後に再判定。
13,2026/05/25 18:37,4063.T,信越化学工業,化学,半導体材料・塩ビ,保留,13,保留,52.7,52.7,17.7,88.8,56.6,73.1,56.1,87,追加取得データ反映,決算後20営業日未到達,,2.93,10.41,0.5,-14.4,50.8,-11.2,52.7,52.7,56.1,要確認。NISA1年点52.7、信頼度87、業績/質17.7、下落耐性88.8、割安56.6、決算反応56.1。ゲート: 決算後20営業日未到達,購入候補ではない。改善データまたは不足データ解消後に再判定。
14,2026/05/25 18:37,6857.T,アドバンテスト,半導体装置,AI半導体検査,落とす,14,落とす,61.6,61.6,100,41.8,40.6,48.1,32.5,100,追加取得データ反映,1年上昇率284.8%で過熱 / 決算後反応32.5点,42,24.55,57.65,44.7,118.8,284.8,-29,61.6,61.6,32.5,除外。NISA1年点61.6、信頼度100、業績/質100、下落耐性41.8、割安40.6、決算反応32.5。ゲート: 1年上昇率284.8%で過熱 / 決算後反応32.5点,購入候補ではない。改善データまたは不足データ解消後に再判定。
