updated_at,ticker,status,message
2026/05/25 18:37,4385.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,2802.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,8316.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,5020.T,取得済みキャッシュ使用,HTTP 500
2026/05/25 18:37,8306.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,6146.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,6762.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,6503.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,9984.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,7012.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,6501.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,8002.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,4063.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,6857.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,9983.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,6594.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,5801.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,6920.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,5802.T,再取得失敗・既存CSV使用,HTTP 500
2026/05/25 18:37,5803.T,再取得失敗・既存CSV使用,HTTP 500
