rank_after,updated_at,rank_before,ticker,company,sector,theme,prior_category,candidate_status,purchase_status,nisa_1y_score_after,growth_quality_score,downside_safety_score,valuation_score,trend_score,earnings_reaction_score,reaction_status,data_confidence_before,data_confidence_after,per,pbr,roe_pct,dividend_yield_pct,revenue_yoy_pct,profit_yoy_pct,profit_metric,latest_period,ret1y_pct,max_drawdown60_pct,hard_gates_after,yahoo_status,yahoo_quote_url,yahoo_performance_url
1,2026/05/25 18:37,1,4385.T,メルカリ,ネット,フリマ・FinTech,残す,検証候補,6月イベント後に再判定,79.8,75.8,91.3,82.9,81.8,56.8,暫定: 20営業日未到達,87,87,,5.79,30.52,,2.8,59.2,,,70.7,-9.5,決算後20営業日未到達,再取得失敗・既存CSV使用,,
2,2026/05/25 18:37,2,2802.T,味の素,食品,食品・ヘルスケア,残す,検証候補,6月イベント後に再判定,67.8,69.6,83,45.1,71.1,65.8,暫定: 20営業日未到達,95,95,43.73,6.81,17.75,,3.5,75,,,57.1,-15.9,決算後20営業日未到達,再取得失敗・既存CSV使用,,
3,2026/05/25 18:37,3,8316.T,三井住友FG,銀行,金利上昇・大手銀行,残す,検証候補,6月イベント後に再判定,65.1,49.8,79.4,75.1,72.3,55.5,暫定: 20営業日未到達,95,95,13.61,1.47,10.38,2.97,6.1,34,,,69.9,-18.3,決算後20営業日未到達,再取得失敗・既存CSV使用,,
4,2026/05/25 18:37,4,5020.T,ENEOS HD,エネルギー,原油・精製,残す,検証候補,6月イベント後に再判定,64.3,52.8,75.7,75.3,60.9,57,暫定: 20営業日未到達,95,95,8.36,1.03,8.00,2.64,-4.5,339.8,営業利益,2026年3月期,90.9,-16.8,決算後20営業日未到達,取得済みキャッシュ使用,,
5,2026/05/25 18:37,5,8306.T,三菱UFJ FG,銀行,金利上昇・大手銀行,残す,検証候補,6月イベント後に再判定,62.1,48.3,84.2,66.2,67.5,41.3,既存値,92,92,,1.56,11.34,3.11,7.3,27.7,,,56.8,-14.8,なし,再取得失敗・既存CSV使用,,
6,2026/05/25 18:37,6,6146.T,ディスコ,半導体装置,切断・研削装置,残す,検証候補,6月イベント後に再判定,60.9,55.8,65.3,59.6,62.8,68.7,既存値,92,92,,12.32,25.15,,11.1,10.9,,,97.7,-23.5,なし,再取得失敗・既存CSV使用,,
7,2026/05/25 18:37,7,6762.T,TDK,電子部品,電池・電子部品,残す,検証候補,6月イベント後に再判定,60.7,48.8,71.7,56.2,81.8,62.9,既存値,100,100,26.7,2.75,9.81,1.26,13.6,21.5,,,105.9,-20,なし,再取得失敗・既存CSV使用,,
8,2026/05/25 18:37,8,6503.T,三菱電機,総合電機,電力制御・FA,残す,検証候補,6月イベント後に再判定,55.6,36.5,75.7,55.9,72.2,55.1,暫定: 20営業日未到達,95,95,26.09,2.76,9.67,0.99,6.8,10.5,,,108.2,-16.8,決算後20営業日未到達,再取得失敗・既存CSV使用,,
9,2026/05/25 18:37,9,9984.T,ソフトバンクG,投資/AI,AI・投資会社,保留,要確認,購入候補ではない,66.9,80.5,59.1,81.2,62.5,15.2,既存値,92,92,,1.98,34.28,0.18,7.7,259.9,,,220.1,-21.6,決算後反応15.2点,再取得失敗・既存CSV使用,,
10,2026/05/25 18:37,10,7012.T,川崎重工業,重工/防衛,防衛・水素,保留,要確認,購入候補ではない,59.9,56,72.3,66,55.7,34.8,既存値,100,100,21.6,2.71,13.68,1.41,8.5,35.4,,,54.5,-23.6,決算後反応34.8点,再取得失敗・既存CSV使用,,
11,2026/05/25 18:37,11,6501.T,日立製作所,総合電機,電力・DX・インフラ,保留,要確認,購入候補ではない,59.3,48.9,84.9,61.7,53.2,32.5,暫定: 20営業日未到達,95,95,26.81,3.47,12.93,,8.2,24.6,,,32.8,-14.6,決算後20営業日未到達 / 決算後反応32.5点,再取得失敗・既存CSV使用,,
12,2026/05/25 18:37,12,8002.T,丸紅,商社,資源・電力,保留,要確認,購入候補ではない,53,22.7,79.4,77.3,63.2,34,暫定: 20営業日未到達,95,95,15.01,1.99,13.61,,6.1,-59.2,,,92.2,-14.3,決算後20営業日未到達 / 決算後反応34点,再取得失敗・既存CSV使用,,
13,2026/05/25 18:37,13,4063.T,信越化学工業,化学,半導体材料・塩ビ,保留,要確認,購入候補ではない,52.7,17.7,88.8,56.6,73.1,56.1,暫定: 20営業日未到達,87,87,,2.93,10.41,,0.5,-14.4,,,50.8,-11.2,決算後20営業日未到達,再取得失敗・既存CSV使用,,
14,2026/05/25 18:37,14,6857.T,アドバンテスト,半導体装置,AI半導体検査,落とす,除外,購入候補ではない,61.6,100,41.8,40.6,48.1,32.5,既存値,100,100,42,24.55,57.65,,44.7,118.8,,,284.8,-29,1年上昇率284.8%で過熱 / 決算後反応32.5点,再取得失敗・既存CSV使用,,
15,2026/05/25 18:37,15,9983.T,ファーストリテイリング,小売,海外成長・消費,落とす,除外,購入候補ではない,61.6,50.7,91.5,39.6,71.6,59.7,確定: 20営業日到達,100,100,47.16,8.6,20.19,0.87,9.6,12.6,,,56.4,-10.7,PER47.16倍/PBR8.6倍,再取得失敗・既存CSV使用,,
16,2026/05/25 18:37,16,6594.T,ニデック,モーター,EV・精密モーター,落とす,除外,購入候補ではない,60.4,61,74.1,49.6,45.6,,未取得,77,77,,1.7,9.81,0,11.1,47.1,,,-4.3,-20.1,決算遅延/会計関連リスク,再取得失敗・既存CSV使用,,
17,2026/05/25 18:37,17,5801.T,古河電工,電線/光通信,光ファイバー・電力線,落とす,除外,購入候補ではない,59.8,61.8,62.3,41.1,55.7,88,既存値,100,100,42.96,8.45,19.12,0.44,8.8,35.6,,,792,-15.2,1年上昇率792%で過熱,再取得失敗・既存CSV使用,,
18,2026/05/25 18:37,18,6920.T,レーザーテック,半導体装置,EUV検査,落とす,除外,購入候補ではない,58.9,84.3,59.5,33.4,66,12.9,既存値,100,100,47.95,15.28,46.88,0.86,17.8,51,,,171.4,-22.1,PER47.95倍/PBR15.28倍 / 決算後反応12.9点,再取得失敗・既存CSV使用,,
19,2026/05/25 18:37,19,5802.T,住友電工,電線/車載,電線・自動車部品,落とす,除外,購入候補ではない,53.7,54.8,50.9,62.9,54.3,37.6,既存値,100,100,26.02,3.03,14.68,1.46,9.2,30.4,,,307.5,-22.9,1年上昇率307.5%で過熱,再取得失敗・既存CSV使用,,
20,2026/05/25 18:37,20,5803.T,フジクラ,電線/光通信,データセンター・光ファイバー,落とす,除外,購入候補ではない,46.8,80.2,18,35.6,48.7,22.8,既存値,100,100,48.47,13.49,32.48,0.83,20.7,39.2,,,346.2,-45.3,1年上昇率346.2%で過熱 / 60日最大下落率-45.3% / PER48.47倍/PBR13.49倍 / 決算後反応22.8点,再取得失敗・既存CSV使用,,
