updated_at,rank,ticker,company,category,required_count,acquired_count,missing_count,missing_fields,hard_gate,data_confidence,search_score,reference_purchase_score,accepted_purchase_score,calculation_status,reason,score_treatment
2026/05/25 20:19,1,4385.T,メルカリ,残す,12,11,1,PER,決算後20営業日未到達,87,79.8,,,未算出,未取得データあり: PER,購入検討用スコアには混ぜない
2026/05/25 20:19,2,2802.T,味の素,残す,12,12,0,なし,決算後20営業日未到達,95,67.8,68.3,,算出停止,ハードゲート未通過: 決算後20営業日未到達,購入検討用スコアには混ぜない
2026/05/25 20:19,3,8316.T,三井住友FG,残す,12,12,0,なし,決算後20営業日未到達,95,65.1,64.3,,算出停止,ハードゲート未通過: 決算後20営業日未到達,購入検討用スコアには混ぜない
2026/05/25 20:19,4,5020.T,ENEOS HD,残す,12,12,0,なし,決算後20営業日未到達,95,64.3,64.6,,算出停止,ハードゲート未通過: 決算後20営業日未到達,購入検討用スコアには混ぜない
2026/05/25 20:19,5,8306.T,三菱UFJ FG,残す,12,11,1,PER,なし,92,62.1,,,未算出,未取得データあり: PER,購入検討用スコアには混ぜない
2026/05/25 20:19,6,6146.T,ディスコ,残す,12,11,1,PER,なし,92,60.9,,,未算出,未取得データあり: PER,購入検討用スコアには混ぜない
2026/05/25 20:19,7,6762.T,TDK,残す,12,12,0,なし,なし,100,60.7,58.6,58.6,算出可,必須データ取得済み、ハードゲートなし。,購入検討用スコアに表示
2026/05/25 20:19,8,6503.T,三菱電機,残す,12,12,0,なし,決算後20営業日未到達,95,55.6,54.0,,算出停止,ハードゲート未通過: 決算後20営業日未到達,購入検討用スコアには混ぜない
2026/05/25 20:19,9,8766.T,東京海上HD,予備,12,12,0,なし,決算後反応未接続 / なし / 暫定: 20営業日未到達,100,65.4,58.2,,算出停止,ハードゲート未通過: 決算後反応未接続 / なし / 暫定: 20営業日未到達,購入検討用スコアには混ぜない
2026/05/25 20:19,10,6367.T,ダイキン工業,予備,12,12,0,なし,決算後反応未接続 / なし / 暫定: 20営業日未到達,100,52.6,45.8,,算出停止,ハードゲート未通過: 決算後反応未接続 / なし / 暫定: 20営業日未到達,購入検討用スコアには混ぜない
