updated_at,ticker,company,field,label,purpose,raw_value,status,score_treatment
2026/05/25 20:19,4385.T,メルカリ,growth_quality_score,業績/質スコア,購入検討用スコア,75.8,取得済み,点数計算に使用可
2026/05/25 20:19,4385.T,メルカリ,downside_safety_score,下落耐性スコア,購入検討用スコア,91.3,取得済み,点数計算に使用可
2026/05/25 20:19,4385.T,メルカリ,valuation_score,割安スコア,購入検討用スコア,82.9,取得済み,点数計算に使用可
2026/05/25 20:19,4385.T,メルカリ,earnings_reaction_score,決算後反応スコア,購入検討用スコア,56.8,取得済み,点数計算に使用可
2026/05/25 20:19,4385.T,メルカリ,data_confidence,データ信頼度,購入検討用スコア,87,取得済み,点数計算に使用可
2026/05/25 20:19,4385.T,メルカリ,per,PER,割高確認,,未取得,点数計算に使用しない
2026/05/25 20:19,4385.T,メルカリ,pbr,PBR,割高確認,5.79,取得済み,点数計算に使用可
2026/05/25 20:19,4385.T,メルカリ,roe_pct,ROE,企業の質確認,30.52,取得済み,点数計算に使用可
2026/05/25 20:19,4385.T,メルカリ,revenue_yoy_pct,売上成長率,業績確認,2.8,取得済み,点数計算に使用可
2026/05/25 20:19,4385.T,メルカリ,profit_yoy_pct,利益成長率,業績確認,59.2,取得済み,点数計算に使用可
2026/05/25 20:19,4385.T,メルカリ,ret1y_pct,1年騰落率,過熱確認,70.7,取得済み,点数計算に使用可
2026/05/25 20:19,4385.T,メルカリ,max_drawdown60_pct,60日最大下落率,下落耐性確認,-9.5,取得済み,点数計算に使用可
2026/05/25 20:19,2802.T,味の素,growth_quality_score,業績/質スコア,購入検討用スコア,69.6,取得済み,点数計算に使用可
2026/05/25 20:19,2802.T,味の素,downside_safety_score,下落耐性スコア,購入検討用スコア,83,取得済み,点数計算に使用可
2026/05/25 20:19,2802.T,味の素,valuation_score,割安スコア,購入検討用スコア,45.1,取得済み,点数計算に使用可
2026/05/25 20:19,2802.T,味の素,earnings_reaction_score,決算後反応スコア,購入検討用スコア,65.8,取得済み,点数計算に使用可
2026/05/25 20:19,2802.T,味の素,data_confidence,データ信頼度,購入検討用スコア,95,取得済み,点数計算に使用可
2026/05/25 20:19,2802.T,味の素,per,PER,割高確認,43.73,取得済み,点数計算に使用可
2026/05/25 20:19,2802.T,味の素,pbr,PBR,割高確認,6.81,取得済み,点数計算に使用可
2026/05/25 20:19,2802.T,味の素,roe_pct,ROE,企業の質確認,17.75,取得済み,点数計算に使用可
2026/05/25 20:19,2802.T,味の素,revenue_yoy_pct,売上成長率,業績確認,3.5,取得済み,点数計算に使用可
2026/05/25 20:19,2802.T,味の素,profit_yoy_pct,利益成長率,業績確認,75,取得済み,点数計算に使用可
2026/05/25 20:19,2802.T,味の素,ret1y_pct,1年騰落率,過熱確認,57.1,取得済み,点数計算に使用可
2026/05/25 20:19,2802.T,味の素,max_drawdown60_pct,60日最大下落率,下落耐性確認,-15.9,取得済み,点数計算に使用可
2026/05/25 20:19,8316.T,三井住友FG,growth_quality_score,業績/質スコア,購入検討用スコア,49.8,取得済み,点数計算に使用可
2026/05/25 20:19,8316.T,三井住友FG,downside_safety_score,下落耐性スコア,購入検討用スコア,79.4,取得済み,点数計算に使用可
2026/05/25 20:19,8316.T,三井住友FG,valuation_score,割安スコア,購入検討用スコア,75.1,取得済み,点数計算に使用可
2026/05/25 20:19,8316.T,三井住友FG,earnings_reaction_score,決算後反応スコア,購入検討用スコア,55.5,取得済み,点数計算に使用可
2026/05/25 20:19,8316.T,三井住友FG,data_confidence,データ信頼度,購入検討用スコア,95,取得済み,点数計算に使用可
2026/05/25 20:19,8316.T,三井住友FG,per,PER,割高確認,13.61,取得済み,点数計算に使用可
2026/05/25 20:19,8316.T,三井住友FG,pbr,PBR,割高確認,1.47,取得済み,点数計算に使用可
2026/05/25 20:19,8316.T,三井住友FG,roe_pct,ROE,企業の質確認,10.38,取得済み,点数計算に使用可
2026/05/25 20:19,8316.T,三井住友FG,revenue_yoy_pct,売上成長率,業績確認,6.1,取得済み,点数計算に使用可
2026/05/25 20:19,8316.T,三井住友FG,profit_yoy_pct,利益成長率,業績確認,34,取得済み,点数計算に使用可
2026/05/25 20:19,8316.T,三井住友FG,ret1y_pct,1年騰落率,過熱確認,69.9,取得済み,点数計算に使用可
2026/05/25 20:19,8316.T,三井住友FG,max_drawdown60_pct,60日最大下落率,下落耐性確認,-18.3,取得済み,点数計算に使用可
2026/05/25 20:19,5020.T,ENEOS HD,growth_quality_score,業績/質スコア,購入検討用スコア,52.8,取得済み,点数計算に使用可
2026/05/25 20:19,5020.T,ENEOS HD,downside_safety_score,下落耐性スコア,購入検討用スコア,75.7,取得済み,点数計算に使用可
2026/05/25 20:19,5020.T,ENEOS HD,valuation_score,割安スコア,購入検討用スコア,75.3,取得済み,点数計算に使用可
2026/05/25 20:19,5020.T,ENEOS HD,earnings_reaction_score,決算後反応スコア,購入検討用スコア,57,取得済み,点数計算に使用可
2026/05/25 20:19,5020.T,ENEOS HD,data_confidence,データ信頼度,購入検討用スコア,95,取得済み,点数計算に使用可
2026/05/25 20:19,5020.T,ENEOS HD,per,PER,割高確認,8.36,取得済み,点数計算に使用可
2026/05/25 20:19,5020.T,ENEOS HD,pbr,PBR,割高確認,1.03,取得済み,点数計算に使用可
2026/05/25 20:19,5020.T,ENEOS HD,roe_pct,ROE,企業の質確認,8.00,取得済み,点数計算に使用可
2026/05/25 20:19,5020.T,ENEOS HD,revenue_yoy_pct,売上成長率,業績確認,-4.5,取得済み,点数計算に使用可
2026/05/25 20:19,5020.T,ENEOS HD,profit_yoy_pct,利益成長率,業績確認,339.8,取得済み,点数計算に使用可
2026/05/25 20:19,5020.T,ENEOS HD,ret1y_pct,1年騰落率,過熱確認,90.9,取得済み,点数計算に使用可
2026/05/25 20:19,5020.T,ENEOS HD,max_drawdown60_pct,60日最大下落率,下落耐性確認,-16.8,取得済み,点数計算に使用可
2026/05/25 20:19,8306.T,三菱UFJ FG,growth_quality_score,業績/質スコア,購入検討用スコア,48.3,取得済み,点数計算に使用可
2026/05/25 20:19,8306.T,三菱UFJ FG,downside_safety_score,下落耐性スコア,購入検討用スコア,84.2,取得済み,点数計算に使用可
2026/05/25 20:19,8306.T,三菱UFJ FG,valuation_score,割安スコア,購入検討用スコア,66.2,取得済み,点数計算に使用可
2026/05/25 20:19,8306.T,三菱UFJ FG,earnings_reaction_score,決算後反応スコア,購入検討用スコア,41.3,取得済み,点数計算に使用可
2026/05/25 20:19,8306.T,三菱UFJ FG,data_confidence,データ信頼度,購入検討用スコア,92,取得済み,点数計算に使用可
2026/05/25 20:19,8306.T,三菱UFJ FG,per,PER,割高確認,,未取得,点数計算に使用しない
2026/05/25 20:19,8306.T,三菱UFJ FG,pbr,PBR,割高確認,1.56,取得済み,点数計算に使用可
2026/05/25 20:19,8306.T,三菱UFJ FG,roe_pct,ROE,企業の質確認,11.34,取得済み,点数計算に使用可
2026/05/25 20:19,8306.T,三菱UFJ FG,revenue_yoy_pct,売上成長率,業績確認,7.3,取得済み,点数計算に使用可
2026/05/25 20:19,8306.T,三菱UFJ FG,profit_yoy_pct,利益成長率,業績確認,27.7,取得済み,点数計算に使用可
2026/05/25 20:19,8306.T,三菱UFJ FG,ret1y_pct,1年騰落率,過熱確認,56.8,取得済み,点数計算に使用可
2026/05/25 20:19,8306.T,三菱UFJ FG,max_drawdown60_pct,60日最大下落率,下落耐性確認,-14.8,取得済み,点数計算に使用可
2026/05/25 20:19,6146.T,ディスコ,growth_quality_score,業績/質スコア,購入検討用スコア,55.8,取得済み,点数計算に使用可
2026/05/25 20:19,6146.T,ディスコ,downside_safety_score,下落耐性スコア,購入検討用スコア,65.3,取得済み,点数計算に使用可
2026/05/25 20:19,6146.T,ディスコ,valuation_score,割安スコア,購入検討用スコア,59.6,取得済み,点数計算に使用可
2026/05/25 20:19,6146.T,ディスコ,earnings_reaction_score,決算後反応スコア,購入検討用スコア,68.7,取得済み,点数計算に使用可
2026/05/25 20:19,6146.T,ディスコ,data_confidence,データ信頼度,購入検討用スコア,92,取得済み,点数計算に使用可
2026/05/25 20:19,6146.T,ディスコ,per,PER,割高確認,,未取得,点数計算に使用しない
2026/05/25 20:19,6146.T,ディスコ,pbr,PBR,割高確認,12.32,取得済み,点数計算に使用可
2026/05/25 20:19,6146.T,ディスコ,roe_pct,ROE,企業の質確認,25.15,取得済み,点数計算に使用可
2026/05/25 20:19,6146.T,ディスコ,revenue_yoy_pct,売上成長率,業績確認,11.1,取得済み,点数計算に使用可
2026/05/25 20:19,6146.T,ディスコ,profit_yoy_pct,利益成長率,業績確認,10.9,取得済み,点数計算に使用可
2026/05/25 20:19,6146.T,ディスコ,ret1y_pct,1年騰落率,過熱確認,97.7,取得済み,点数計算に使用可
2026/05/25 20:19,6146.T,ディスコ,max_drawdown60_pct,60日最大下落率,下落耐性確認,-23.5,取得済み,点数計算に使用可
2026/05/25 20:19,6762.T,TDK,growth_quality_score,業績/質スコア,購入検討用スコア,48.8,取得済み,点数計算に使用可
2026/05/25 20:19,6762.T,TDK,downside_safety_score,下落耐性スコア,購入検討用スコア,71.7,取得済み,点数計算に使用可
2026/05/25 20:19,6762.T,TDK,valuation_score,割安スコア,購入検討用スコア,56.2,取得済み,点数計算に使用可
2026/05/25 20:19,6762.T,TDK,earnings_reaction_score,決算後反応スコア,購入検討用スコア,62.9,取得済み,点数計算に使用可
2026/05/25 20:19,6762.T,TDK,data_confidence,データ信頼度,購入検討用スコア,100,取得済み,点数計算に使用可
2026/05/25 20:19,6762.T,TDK,per,PER,割高確認,26.7,取得済み,点数計算に使用可
2026/05/25 20:19,6762.T,TDK,pbr,PBR,割高確認,2.75,取得済み,点数計算に使用可
2026/05/25 20:19,6762.T,TDK,roe_pct,ROE,企業の質確認,9.81,取得済み,点数計算に使用可
2026/05/25 20:19,6762.T,TDK,revenue_yoy_pct,売上成長率,業績確認,13.6,取得済み,点数計算に使用可
2026/05/25 20:19,6762.T,TDK,profit_yoy_pct,利益成長率,業績確認,21.5,取得済み,点数計算に使用可
2026/05/25 20:19,6762.T,TDK,ret1y_pct,1年騰落率,過熱確認,105.9,取得済み,点数計算に使用可
2026/05/25 20:19,6762.T,TDK,max_drawdown60_pct,60日最大下落率,下落耐性確認,-20,取得済み,点数計算に使用可
2026/05/25 20:19,6503.T,三菱電機,growth_quality_score,業績/質スコア,購入検討用スコア,36.5,取得済み,点数計算に使用可
2026/05/25 20:19,6503.T,三菱電機,downside_safety_score,下落耐性スコア,購入検討用スコア,75.7,取得済み,点数計算に使用可
2026/05/25 20:19,6503.T,三菱電機,valuation_score,割安スコア,購入検討用スコア,55.9,取得済み,点数計算に使用可
2026/05/25 20:19,6503.T,三菱電機,earnings_reaction_score,決算後反応スコア,購入検討用スコア,55.1,取得済み,点数計算に使用可
2026/05/25 20:19,6503.T,三菱電機,data_confidence,データ信頼度,購入検討用スコア,95,取得済み,点数計算に使用可
2026/05/25 20:19,6503.T,三菱電機,per,PER,割高確認,26.09,取得済み,点数計算に使用可
2026/05/25 20:19,6503.T,三菱電機,pbr,PBR,割高確認,2.76,取得済み,点数計算に使用可
2026/05/25 20:19,6503.T,三菱電機,roe_pct,ROE,企業の質確認,9.67,取得済み,点数計算に使用可
2026/05/25 20:19,6503.T,三菱電機,revenue_yoy_pct,売上成長率,業績確認,6.8,取得済み,点数計算に使用可
2026/05/25 20:19,6503.T,三菱電機,profit_yoy_pct,利益成長率,業績確認,10.5,取得済み,点数計算に使用可
2026/05/25 20:19,6503.T,三菱電機,ret1y_pct,1年騰落率,過熱確認,108.2,取得済み,点数計算に使用可
2026/05/25 20:19,6503.T,三菱電機,max_drawdown60_pct,60日最大下落率,下落耐性確認,-16.8,取得済み,点数計算に使用可
2026/05/25 20:19,8766.T,東京海上HD,growth_quality_score,業績/質スコア,購入検討用スコア,46.3,取得済み,点数計算に使用可
2026/05/25 20:19,8766.T,東京海上HD,downside_safety_score,下落耐性スコア,購入検討用スコア,76.5,取得済み,点数計算に使用可
2026/05/25 20:19,8766.T,東京海上HD,valuation_score,割安スコア,購入検討用スコア,63.5,取得済み,点数計算に使用可
2026/05/25 20:19,8766.T,東京海上HD,earnings_reaction_score,決算後反応スコア,購入検討用スコア,40.6,取得済み,点数計算に使用可
2026/05/25 20:19,8766.T,東京海上HD,data_confidence,データ信頼度,購入検討用スコア,100,取得済み,点数計算に使用可
2026/05/25 20:19,8766.T,東京海上HD,per,PER,割高確認,17.61,取得済み,点数計算に使用可
2026/05/25 20:19,8766.T,東京海上HD,pbr,PBR,割高確認,2.7,取得済み,点数計算に使用可
2026/05/25 20:19,8766.T,東京海上HD,roe_pct,ROE,企業の質確認,18.68,取得済み,点数計算に使用可
2026/05/25 20:19,8766.T,東京海上HD,revenue_yoy_pct,売上成長率,業績確認,5.1,取得済み,点数計算に使用可
2026/05/25 20:19,8766.T,東京海上HD,profit_yoy_pct,利益成長率,業績確認,-7.6,取得済み,点数計算に使用可
2026/05/25 20:19,8766.T,東京海上HD,ret1y_pct,1年騰落率,過熱確認,37.7,取得済み,点数計算に使用可
2026/05/25 20:19,8766.T,東京海上HD,max_drawdown60_pct,60日最大下落率,下落耐性確認,-13,取得済み,点数計算に使用可
2026/05/25 20:19,6367.T,ダイキン工業,growth_quality_score,業績/質スコア,購入検討用スコア,25.5,取得済み,点数計算に使用可
2026/05/25 20:19,6367.T,ダイキン工業,downside_safety_score,下落耐性スコア,購入検討用スコア,70.2,取得済み,点数計算に使用可
2026/05/25 20:19,6367.T,ダイキン工業,valuation_score,割安スコア,購入検討用スコア,44,取得済み,点数計算に使用可
2026/05/25 20:19,6367.T,ダイキン工業,earnings_reaction_score,決算後反応スコア,購入検討用スコア,57.2,取得済み,点数計算に使用可
2026/05/25 20:19,6367.T,ダイキン工業,data_confidence,データ信頼度,購入検討用スコア,100,取得済み,点数計算に使用可
2026/05/25 20:19,6367.T,ダイキン工業,per,PER,割高確認,24.97,取得済み,点数計算に使用可
2026/05/25 20:19,6367.T,ダイキン工業,pbr,PBR,割高確認,2.14,取得済み,点数計算に使用可
2026/05/25 20:19,6367.T,ダイキン工業,roe_pct,ROE,企業の質確認,9.1,取得済み,点数計算に使用可
2026/05/25 20:19,6367.T,ダイキン工業,revenue_yoy_pct,売上成長率,業績確認,5.5,取得済み,点数計算に使用可
2026/05/25 20:19,6367.T,ダイキン工業,profit_yoy_pct,利益成長率,業績確認,3.3,取得済み,点数計算に使用可
2026/05/25 20:19,6367.T,ダイキン工業,ret1y_pct,1年騰落率,過熱確認,49.6,取得済み,点数計算に使用可
2026/05/25 20:19,6367.T,ダイキン工業,max_drawdown60_pct,60日最大下落率,下落耐性確認,-9.3,取得済み,点数計算に使用可
