updated_at,sector,peer_count,per_count,pbr_count,roe_count,per_median,pbr_median,roe_median_pct,adjustment_status,treatment
2026/05/26 22:10,医薬品,5,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,商社,5,3,3,3,17.54,2.07,10.22,参考可,業種内比較に使用可
2026/05/26 22:10,半導体装置,5,4,5,5,44.98,12.32,29.56,参考可,業種内比較に使用可
2026/05/26 22:10,建設,4,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,自動車,4,4,4,4,13.32,0.81,6.73,参考可,業種内比較に使用可
2026/05/26 22:10,FA,3,2,3,3,31.33,3.85,9.28,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,エネルギー,3,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,ゲーム,3,1,1,1,27.24,2.86,14.94,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,化学,3,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,銀行,3,3,3,3,13.79,1.56,11.34,参考可,業種内比較に使用可
2026/05/26 22:10,重工/防衛,3,3,3,3,21.6,4.26,13.68,参考可,業種内比較に使用可
2026/05/26 22:10,小売,3,1,1,1,47.16,8.6,20.19,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,通信,3,2,3,3,16.03,2.06,13.99,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,鉄道,3,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,電子部品,3,3,3,3,27.62,2.75,8.83,参考可,業種内比較に使用可
2026/05/26 22:10,保険,3,3,3,3,15.06,1.42,17.96,参考可,業種内比較に使用可
2026/05/26 22:10,ゲーム/IP,2,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,ネット,2,1,0,0,34.53,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,医療機器,2,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,飲料,2,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,食品,2,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,生活必需品,2,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,総合電機,2,2,2,2,26.45,3.12,11.3,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,電線/光通信,2,2,2,2,45.72,10.97,25.8,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,半導体,2,1,2,2,46.44,3.13,2.19,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,EC,1,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,IT,1,1,1,1,18.07,2.77,23.87,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,IT/防衛,1,0,1,1,,2.51,13.03,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,エンタメ/半導体,1,1,1,1,18.12,2.59,-4.01,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,ゲーム/IT,1,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,タイヤ,1,1,1,1,12.53,1.15,8.85,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,ネット/通信,1,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,ネット広告,1,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,モーター,1,0,1,1,,1.7,9.81,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,レジャー,1,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,医療IT,1,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,化粧品,1,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,機械,1,1,1,1,14.74,1.15,7.32,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,機械/車載,1,0,1,1,,0.91,3.83,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,空運,1,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,空調,1,1,1,1,24.97,2.14,9.1,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,建機,1,1,1,1,17.81,1.61,11.26,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,自動車部品,1,1,1,1,13.06,0.91,8.48,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,住宅/建設,1,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,商用車,1,1,1,1,9.47,1.02,9.46,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,人材/IT,1,1,1,1,21.59,8.5,31.05,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,制御機器,1,1,1,1,38.7,1.27,3.54,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,素材,1,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,素材/住宅,1,0,0,0,,,,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,電線/車載,1,1,1,1,26.02,3.03,14.68,比較数不足,テスト判定用スコアには混ぜない
2026/05/26 22:10,投資/AI,1,0,1,1,,1.98,34.28,比較数不足,テスト判定用スコアには混ぜない
