updated_at,rank,ticker,company,sector,nisa_score,data_confidence,event_count_calculated,avg_excess_5d_pct,avg_excess_20d_pct,monthly_data_months,monthly_start,monthly_end,trailing_12m_return_pct,nikkei_12m_return_pct,trailing_12m_excess_vs_nikkei_pct,validation_status,treatment
2026/05/25 20:57,1,4385.T,メルカリ,ネット,79.8,87,0,,,0,,,,,,未接続,過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/25 20:57,2,2802.T,味の素,食品,67.8,95,4,-0.87,10.43,97,2025-05,2026-05,32.46,49.55,-17.09,暫定検証可,参考検証に使用可能。ただし売買判断には6月以降の前向き記録が必要。
2026/05/25 20:57,3,8316.T,三井住友FG,銀行,65.1,95,0,,,0,,,,,,未接続,過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/25 20:57,4,5020.T,ENEOS HD,エネルギー,64.3,95,0,,,0,,,,,,未接続,過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/25 20:57,5,8306.T,三菱UFJ FG,銀行,62.1,92,4,1.13,-0.36,97,2025-05,2026-05,56.73,49.55,7.18,暫定検証可,参考検証に使用可能。ただし売買判断には6月以降の前向き記録が必要。
2026/05/25 20:57,6,6146.T,ディスコ,半導体装置,60.9,92,0,,,0,,,,,,未接続,過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/25 20:57,7,6762.T,TDK,電子部品,60.7,100,0,,,0,,,,,,未接続,過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/25 20:57,8,6503.T,三菱電機,総合電機,55.6,95,0,,,0,,,,,,未接続,過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/25 20:57,9,8766.T,東京海上HD,保険,65.4,100,0,,,0,,,,,,未接続,過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/25 20:57,10,6367.T,ダイキン工業,空調,52.6,100,0,,,0,,,,,,未接続,過去検証データが未接続。購入検討用スコアの根拠にはしない。
