updated_at,event_type,source_layer,event_record_count,return_record_count,avg_excess_1d_pct,avg_excess_5d_pct,avg_excess_20d_pct,validation_level,score_treatment
2026/05/25 22:59,決算短信,イベント分類のみ,108,0,,,,分類のみ,株価反応未接続。候補発見には使うが、購入検討用スコアには入れない。
2026/05/25 22:59,M&A・資本提携,イベント分類のみ,25,0,,,,分類のみ,株価反応未接続。候補発見には使うが、購入検討用スコアには入れない。
2026/05/25 22:59,自社株買い,イベント分類のみ,22,0,,,,分類のみ,株価反応未接続。候補発見には使うが、購入検討用スコアには入れない。
2026/05/25 22:59,増配,イベント分類のみ,21,0,,,,分類のみ,株価反応未接続。候補発見には使うが、購入検討用スコアには入れない。
2026/05/25 22:59,上方修正,イベント分類のみ,10,0,,,,分類のみ,株価反応未接続。候補発見には使うが、購入検討用スコアには入れない。
2026/05/25 22:59,減配,イベント分類のみ,7,0,,,,分類少数,株価反応未接続。候補発見には使うが、購入検討用スコアには入れない。
2026/05/25 22:59,月次,イベント分類のみ,4,0,,,,分類少数,株価反応未接続。候補発見には使うが、購入検討用スコアには入れない。
2026/05/25 22:59,その他,イベント分類のみ,2,0,,,,分類少数,株価反応未接続。候補発見には使うが、購入検討用スコアには入れない。
2026/05/25 22:59,上場・IPO関連,イベント分類のみ,1,0,,,,分類少数,株価反応未接続。候補発見には使うが、購入検討用スコアには入れない。
2026/05/25 22:59,Monetary Policy Meeting,株価反応接続済み,64,64,0.87,0.12,-1.62,統計参考,参考検証に使用。単独加点はしない。
2026/05/25 22:59,FOMC,株価反応接続済み,64,64,0.24,-0.95,-1.7,統計参考,参考検証に使用。単独加点はしない。
2026/05/25 22:59,その他,株価反応接続済み,2,2,-0.41,,,件数不足,件数不足。点数に混ぜない。
