updated_at,ticker,company,current_lane,actionable_items,wait_items,hypothesis_items,next_status,purchase_status,reason
2026/05/26 16:33,6762.T,TDK,A 先行観察,1,0,1,6月実数入力待ち,購入判断不可,6月CPI・日銀・FOMC・指数ゲートの実数が未入力のため。
2026/05/26 16:33,2802.T,味の素,B 補完後候補,1,1,0,補完後に6月判定へ,購入判断不可,6月CPI・日銀・FOMC・指数ゲートの実数が未入力のため。
2026/05/26 16:33,8766.T,東京海上HD,B 補完後候補,1,1,1,補完後に6月判定へ,購入判断不可,6月CPI・日銀・FOMC・指数ゲートの実数が未入力のため。
2026/05/26 16:33,8316.T,三井住友FG,B 補完後候補,1,1,1,補完後に6月判定へ,購入判断不可,6月CPI・日銀・FOMC・指数ゲートの実数が未入力のため。
2026/05/26 16:33,8306.T,三菱UFJ FG,B 補完後候補,2,0,0,補完後に6月判定へ,購入判断不可,6月CPI・日銀・FOMC・指数ゲートの実数が未入力のため。
2026/05/26 16:33,6367.T,ダイキン工業,B 補完後候補,1,1,1,補完後に6月判定へ,購入判断不可,6月CPI・日銀・FOMC・指数ゲートの実数が未入力のため。
2026/05/26 16:33,6503.T,三菱電機,B 補完後候補,1,1,1,補完後に6月判定へ,購入判断不可,6月CPI・日銀・FOMC・指数ゲートの実数が未入力のため。
2026/05/26 16:33,5020.T,ENEOS HD,C 補完優先,2,1,1,補完結果で昇格可否,購入判断不可,6月CPI・日銀・FOMC・指数ゲートの実数が未入力のため。
2026/05/26 16:33,6146.T,ディスコ,C 補完優先,3,0,1,補完結果で昇格可否,購入判断不可,6月CPI・日銀・FOMC・指数ゲートの実数が未入力のため。
2026/05/26 16:33,4385.T,メルカリ,D 補欠保留,3,1,1,補欠のまま比較対象,購入判断不可,6月CPI・日銀・FOMC・指数ゲートの実数が未入力のため。
