updated_at,ticker,company,current_lane,event_hypotheses,evidence_completed,evidence_pending,qualitative_score_added_now,next_required_work,purchase_status,reason
2026/05/26 16:51,6762.T,TDK,A 先行観察,3,0,3,0,イベント日、公式ソース、株価1日/5日/20日、ベンチマーク反応を入力,購入判断不可,時流仮説は候補発見に使うが、実績層が未入力のため購入候補スコアには入れない。
2026/05/26 16:51,2802.T,味の素,B 補完後候補,3,0,3,0,イベント日、公式ソース、株価1日/5日/20日、ベンチマーク反応を入力,購入判断不可,時流仮説は候補発見に使うが、実績層が未入力のため購入候補スコアには入れない。
2026/05/26 16:51,8766.T,東京海上HD,B 補完後候補,3,0,3,0,イベント日、公式ソース、株価1日/5日/20日、ベンチマーク反応を入力,購入判断不可,時流仮説は候補発見に使うが、実績層が未入力のため購入候補スコアには入れない。
2026/05/26 16:51,8316.T,三井住友FG,B 補完後候補,3,0,3,0,イベント日、公式ソース、株価1日/5日/20日、ベンチマーク反応を入力,購入判断不可,時流仮説は候補発見に使うが、実績層が未入力のため購入候補スコアには入れない。
2026/05/26 16:51,8306.T,三菱UFJ FG,B 補完後候補,3,0,3,0,イベント日、公式ソース、株価1日/5日/20日、ベンチマーク反応を入力,購入判断不可,時流仮説は候補発見に使うが、実績層が未入力のため購入候補スコアには入れない。
2026/05/26 16:51,6367.T,ダイキン工業,B 補完後候補,3,0,3,0,イベント日、公式ソース、株価1日/5日/20日、ベンチマーク反応を入力,購入判断不可,時流仮説は候補発見に使うが、実績層が未入力のため購入候補スコアには入れない。
2026/05/26 16:51,6503.T,三菱電機,B 補完後候補,3,0,3,0,イベント日、公式ソース、株価1日/5日/20日、ベンチマーク反応を入力,購入判断不可,時流仮説は候補発見に使うが、実績層が未入力のため購入候補スコアには入れない。
2026/05/26 16:51,5020.T,ENEOS HD,C 補完優先,3,0,3,0,イベント日、公式ソース、株価1日/5日/20日、ベンチマーク反応を入力,購入判断不可,時流仮説は候補発見に使うが、実績層が未入力のため購入候補スコアには入れない。
2026/05/26 16:51,6146.T,ディスコ,C 補完優先,3,0,3,0,イベント日、公式ソース、株価1日/5日/20日、ベンチマーク反応を入力,購入判断不可,時流仮説は候補発見に使うが、実績層が未入力のため購入候補スコアには入れない。
2026/05/26 16:51,4385.T,メルカリ,D 補欠保留,3,0,3,0,イベント日、公式ソース、株価1日/5日/20日、ベンチマーク反応を入力,購入判断不可,時流仮説は候補発見に使うが、実績層が未入力のため購入候補スコアには入れない。
