updated_at,event_id,ticker,company,event_theme,primary_source,price_source,validation_unit,formula,status
2026/05/26 16:45,6762-01,6762.T,TDK,AIサーバー需要,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,6762-02,6762.T,TDK,為替・海外売上,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,6762-03,6762.T,TDK,電池・磁性材料,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,2802-01,2802.T,味の素,食品値上げ耐性,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,2802-02,2802.T,味の素,ABF・ヘルスケア,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,2802-03,2802.T,味の素,円安・原材料,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,8766-01,8766.T,東京海上HD,保険料率・金利,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,8766-02,8766.T,東京海上HD,自然災害・損害率,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,8766-03,8766.T,東京海上HD,政策保有株売却,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,8316-01,8316.T,三井住友FG,日銀・金利,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
