updated_at,ticker,company,required,source_file,source_row,metric_columns,metric_values,use_decision
2026/05/26 17:46,2802.T,味の素,同業中央値,108_capital_allocation_by_ticker.csv,2,per,per=42.08,要確認
2026/05/26 17:46,2802.T,味の素,同業中央値,112_prediction_actual_tracking.csv,2,holding_period,holding_period=NISA 1年保有テスト,要確認
2026/05/26 17:46,8306.T,三菱UFJ FG,PER,112_prediction_actual_tracking.csv,3,holding_period,holding_period=NISA 1年保有テスト,要確認
2026/05/26 17:46,2802.T,味の素,同業中央値,115_june_interactive_candidates.csv,2,per,per=42.08,要確認
2026/05/26 17:46,2802.T,味の素,同業中央値,142_candidate_discovery_funnel_score.csv,3,per / pbr,per=42.08 / pbr=6.55,要確認
2026/05/26 17:46,8306.T,三菱UFJ FG,PER,142_candidate_discovery_funnel_score.csv,4,pbr,pbr=1.55,要確認
2026/05/26 17:46,2802.T,味の素,同業中央値,16_candidate_theme_scoring.csv,5,per,per=42.08,要確認
2026/05/26 17:46,8306.T,三菱UFJ FG,PER,199_universe100_screening.csv,12,growth_score_25 / pbr_actual / roe_actual_pct / dividend_yield_pct / revenue_yoy_pct / revenue_cagr_3period_pct / profit_metric_used / profit_yoy_pct / profit_cagr_3period_pct / performance_status,growth_score_25=23 / pbr_actual=1.56 / roe_actual_pct=11.34 / dividend_yield_pct=3.11 / revenue_yoy_pct=7.3 / revenue_cagr_3period_pct=10.9 / profit_metric_used=経常利益 / profit_yoy_pct=27.7 / profit_cagr_3period_pct=26.6 / performance_status=取得,要確認
2026/05/26 17:46,6146.T,ディスコ,PER,199_universe100_screening.csv,19,growth_score_25 / pbr_actual / roe_actual_pct / revenue_yoy_pct / revenue_cagr_3period_pct / profit_metric_used / profit_yoy_pct / profit_cagr_3period_pct / performance_status,growth_score_25=25 / pbr_actual=12.32 / roe_actual_pct=25.15 / revenue_yoy_pct=11.1 / revenue_cagr_3period_pct=19.2 / profit_metric_used=営業利益 / profit_yoy_pct=10.9 / profit_cagr_3period_pct=23.4 / performance_status=取得,要確認
2026/05/26 17:46,2802.T,味の素,同業中央値,199_universe100_screening.csv,55,growth_score_25 / performance_status,growth_score_25=0 / performance_status=取得失敗: HTTP 500,要確認
2026/05/26 17:46,4385.T,メルカリ,PER,199_universe100_screening.csv,57,growth_score_25 / performance_status,growth_score_25=0 / performance_status=取得失敗: HTTP 500,要確認
2026/05/26 17:46,5020.T,ENEOS HD,同業中央値,199_universe100_screening.csv,63,growth_score_25 / performance_status,growth_score_25=0 / performance_status=取得失敗: HTTP 500,要確認
2026/05/26 17:46,8306.T,三菱UFJ FG,PER,209_meaningful_universe_v2.csv,4,performance_status,performance_status=取得,要確認
2026/05/26 17:46,6146.T,ディスコ,PER,209_meaningful_universe_v2.csv,26,performance_status,performance_status=取得,要確認
2026/05/26 17:46,5020.T,ENEOS HD,同業中央値,209_meaningful_universe_v2.csv,58,performance_status,performance_status=取得失敗: HTTP 500,要確認
2026/05/26 17:46,2802.T,味の素,同業中央値,209_meaningful_universe_v2.csv,72,performance_status,performance_status=取得失敗: HTTP 500,要確認
2026/05/26 17:46,4385.T,メルカリ,PER,209_meaningful_universe_v2.csv,86,performance_status,performance_status=取得失敗: HTTP 500,要確認
2026/05/26 17:46,8306.T,三菱UFJ FG,PER,218_earnings_momentum_proxy_score.csv,9,sales_momentum_pctile / profit_momentum_pctile / revenue_yoy_pct / revenue_cagr_3period_pct / profit_yoy_pct / profit_cagr_3period_pct,sales_momentum_pctile=72.1 / profit_momentum_pctile=73 / revenue_yoy_pct=7.3 / revenue_cagr_3period_pct=10.9 / profit_yoy_pct=27.7 / profit_cagr_3period_pct=26.6,要確認
2026/05/26 17:46,6146.T,ディスコ,PER,218_earnings_momentum_proxy_score.csv,12,sales_momentum_pctile / profit_momentum_pctile / revenue_yoy_pct / revenue_cagr_3period_pct / profit_yoy_pct / profit_cagr_3period_pct,sales_momentum_pctile=90.7 / profit_momentum_pctile=58.6 / revenue_yoy_pct=11.1 / revenue_cagr_3period_pct=19.2 / profit_yoy_pct=10.9 / profit_cagr_3period_pct=23.4,要確認
