ticker,company_name,missing_item,priority,source_candidate,action
8306.T,三菱UFJフィナンシャル・グループ,FCF,高,有報/決算短信,購入前に補完
8306.T,三菱UFJフィナンシャル・グループ,自社株買い,中,IR資料,購入前に補完
8306.T,三菱UFJフィナンシャル・グループ,PER,高,決算短信/IR/Yahoo Finance等,購入前に補完
8058.T,三菱商事,自社株買い,中,IR資料,購入前に補完
8035.T,東京エレクトロン,自社株買い,中,IR資料,購入前に補完
8035.T,東京エレクトロン,PER,高,決算短信/IR/Yahoo Finance等,購入前に補完
2802.T,味の素,自社株買い,中,IR資料,購入前に補完
9433.T,KDDI,FCF,高,有報/決算短信,購入前に補完
9433.T,KDDI,自己資本比率,中,有報/決算短信,購入前に補完
9433.T,KDDI,PER,高,決算短信/IR/Yahoo Finance等,購入前に補完
6857.T,アドバンテスト,EPS成長率,高,決算短信/IR/Yahoo Finance等,購入前に補完
6857.T,アドバンテスト,FCF,高,有報/決算短信,購入前に補完
6857.T,アドバンテスト,配当利回り,中,IR資料,購入前に補完
6857.T,アドバンテスト,自社株買い,中,IR資料,購入前に補完
7974.T,任天堂,FCF,高,有報/決算短信,購入前に補完
7974.T,任天堂,自社株買い,中,IR資料,購入前に補完
4519.T,中外製薬,EPS成長率,高,決算短信/IR/Yahoo Finance等,購入前に補完
4519.T,中外製薬,FCF,高,有報/決算短信,購入前に補完
4519.T,中外製薬,自己資本比率,中,有報/決算短信,購入前に補完
4519.T,中外製薬,配当利回り,中,IR資料,購入前に補完
4519.T,中外製薬,自社株買い,中,IR資料,購入前に補完
4519.T,中外製薬,PER,高,決算短信/IR/Yahoo Finance等,購入前に補完
