updated_at,selection_rank,ticker,company,sector,quantitative_grade,priority_score,nisa_score,completion_score,data_confidence,per,pbr,roe_pct,revenue_yoy_pct,profit_yoy_pct,ret1y_pct,max_drawdown60_pct,sector_per_median,data_gap,score_policy
2026/05/26 18:41,1,6762.T,TDK,電子部品,A,87,60.7,95,100,26.7,2.75,9.81%,13.6%,21.5%,105.9%,-20%,27.62,イベント因果未完了,未取得値は点数へ混ぜない
2026/05/26 18:41,2,2802.T,味の素,食品,B,82,67.8,85,95,43.73,6.81,17.75%,3.5%,75%,57.1%,-15.9%,未取得,決算後反応未完了または未到達 / 業種別補正未完了 / 業種別補正:接続不可,未取得値は点数へ混ぜない
2026/05/26 18:41,3,8766.T,東京海上HD,保険,B,81,65.4,85,100,17.61,2.7,18.68%,5.1%,-7.6%,37.7%,-13%,15.06,決算後反応未完了または未到達 / イベント因果未完了,未取得値は点数へ混ぜない
2026/05/26 18:41,4,8316.T,三井住友FG,銀行,B,80,65.1,85,95,13.61,1.47,10.38%,6.1%,34%,69.9%,-18.3%,13.7,決算後反応未完了または未到達 / イベント因果未完了,未取得値は点数へ混ぜない
2026/05/26 18:41,5,8306.T,三菱UFJ FG,銀行,C,79,62.1,83,92,未取得,1.56,11.34%,7.3%,27.7%,56.8%,-14.8%,13.7,財務指標未完了 / 業種別補正未完了 / 財務指標:説明補助まで / 業種別補正:説明補助まで / PER:既存CSV内では未発見,未取得値は点数へ混ぜない
2026/05/26 18:41,6,6367.T,ダイキン工業,空調,C,79,52.6,85,100,24.97,2.14,9.1%,5.5%,3.3%,49.6%,-9.3%,24.97,決算後反応未完了または未到達 / イベント因果未完了,未取得値は点数へ混ぜない
2026/05/26 18:41,7,6503.T,三菱電機,総合電機,C,78,55.6,85,95,26.09,2.76,9.67%,6.8%,10.5%,108.2%,-16.8%,26.45,決算後反応未完了または未到達 / イベント因果未完了,未取得値は点数へ混ぜない
2026/05/26 18:41,8,5020.T,ENEOS HD,エネルギー,C,76,64.3,80,95,8.36,1.03,8.00%,-4.5%,339.8%,90.9%,-16.8%,未取得,決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了 / 業種別補正:接続不可,未取得値は点数へ混ぜない
2026/05/26 18:41,9,6146.T,ディスコ,半導体装置,C,74,60.9,78,92,未取得,12.32,25.15%,11.1%,10.9%,97.7%,-23.5%,42,財務指標未完了 / 業種別補正未完了 / イベント因果未完了 / 財務指標:説明補助まで / 業種別補正:説明補助まで / PER:既存CSV内では未発見,未取得値は点数へ混ぜない
2026/05/26 18:41,10,4385.T,メルカリ,ネット,保留,72,79.8,68,87,未取得,5.79,30.52%,2.8%,59.2%,70.7%,-9.5%,未取得,財務指標未完了 / 決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了 / 財務指標:説明補助まで / 業種別補正:接続不可 / PER:既存CSV内では未発見,未取得値は点数へ混ぜない
