updated_at,rank,ticker,company,sector,quantitative_grade,nisa_score,priority_score,data_confidence,per,pbr,roe_pct,revenue_yoy_pct,profit_yoy_pct,ret1y_pct,max_drawdown60_pct,sector_per_median,reaction_status,reaction_1d_excess_pct,reaction_5d_excess_pct,reaction_20d_excess_pct,essential_completion_pct,remaining_gap,current_use,purchase_status
2026/05/26 19:34,1,6762.T,TDK,電子部品,A,60.7,87,100,26.7,2.75,9.81%,13.6%,21.5%,105.9%,-20%,27.62,反応スコアのみ接続,,,,100%,決算後20営業日反応 / イベント実績層,量的比較に使用可・補完継続,購入判断ではない
2026/05/26 19:34,2,2802.T,味の素,食品,B,67.8,82,95,43.73,6.81,17.75%,3.5%,75%,57.1%,-15.9%,未取得,1日/5日まで接続済み,1.64,12.07,,100%,業種中央値 / 決算後20営業日反応 / イベント実績層,量的比較に使用可・補完継続,購入判断ではない
2026/05/26 19:34,3,8766.T,東京海上HD,保険,B,65.4,81,100,17.61,2.7,18.68%,5.1%,-7.6%,37.7%,-13%,15.06,未接続,,,,100%,決算後20営業日反応 / イベント実績層,量的比較に使用可・補完継続,購入判断ではない
2026/05/26 19:34,4,8316.T,三井住友FG,銀行,B,65.1,80,95,13.61,1.47,10.38%,6.1%,34%,69.9%,-18.3%,13.7,1日/5日まで接続済み,-2.05,5.99,,100%,決算後20営業日反応 / イベント実績層,量的比較に使用可・補完継続,購入判断ではない
2026/05/26 19:34,5,8306.T,三菱UFJ FG,銀行,C,62.1,79,92,未取得,1.56,11.34%,7.3%,27.7%,56.8%,-14.8%,13.7,反応スコアのみ接続,,,,86%,PER / 決算後20営業日反応 / イベント実績層,量的比較に使用可・補完継続,購入判断ではない
2026/05/26 19:34,6,6367.T,ダイキン工業,空調,C,52.6,79,100,24.97,2.14,9.1%,5.5%,3.3%,49.6%,-9.3%,24.97,未接続,,,,100%,決算後20営業日反応 / イベント実績層,量的比較に使用可・補完継続,購入判断ではない
2026/05/26 19:34,7,6503.T,三菱電機,総合電機,C,55.6,78,95,26.09,2.76,9.67%,6.8%,10.5%,108.2%,-16.8%,26.45,1日/5日まで接続済み,3.57,1.9,,100%,決算後20営業日反応 / イベント実績層,量的比較に使用可・補完継続,購入判断ではない
2026/05/26 19:34,8,5020.T,ENEOS HD,エネルギー,C,64.3,76,95,8.36,1.03,8.00%,-4.5%,339.8%,90.9%,-16.8%,未取得,1日/5日まで接続済み,7.35,0.94,,100%,業種中央値 / 決算後20営業日反応 / イベント実績層,量的比較に使用可・補完継続,購入判断ではない
2026/05/26 19:34,9,6146.T,ディスコ,半導体装置,C,60.9,74,92,未取得,12.32,25.15%,11.1%,10.9%,97.7%,-23.5%,42,反応スコアのみ接続,,,,86%,PER / 決算後20営業日反応 / イベント実績層,量的比較に使用可・補完継続,購入判断ではない
2026/05/26 19:34,10,4385.T,メルカリ,ネット,保留,79.8,72,87,未取得,5.79,30.52%,2.8%,59.2%,70.7%,-9.5%,未取得,1日/5日まで接続済み,-2.42,7.3,,86%,PER / 業種中央値 / 決算後20営業日反応 / イベント実績層,量的比較に使用可・補完継続,購入判断ではない
