updated_at,rank,ticker,company,sector,event_date,event_type,event_usable,excess_1d_pct,excess_5d_pct,excess_20d_pct,existing_reaction_score,maturity,score_connection,reason,source_url
2026/05/26 20:08,1,6762.T,TDK,電子部品,,,既存反応を使用,,,,62.9,既存スコアのみ,未接続,反応スコアはあるが、イベント日、1日、5日、20日の内訳確認が不足している。,
2026/05/26 20:08,2,2802.T,味の素,食品,2026-05-07,2026年3月期通期決算,通常決算反応として使用,1.64%,12.07%,,65.8,1日/5日暫定,未接続,短期反応はあるが、20営業日反応が未到達のため最終スコアへ接続しない。,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/26 20:08,3,8766.T,東京海上HD,保険,,,,,,,,未接続,未接続,対象銘柄の決算後反応データが見つからない。,
2026/05/26 20:08,4,8316.T,三井住友FG,銀行,2026-05-13,2026年3月期通期決算,通常決算反応として使用,-2.05%,5.99%,,55.5,1日/5日暫定,未接続,短期反応はあるが、20営業日反応が未到達のため最終スコアへ接続しない。,https://www.smfg.co.jp/investor/financial/latest_statement/
2026/05/26 20:08,5,8306.T,三菱UFJ FG,銀行,,,既存反応を使用,,,,41.3,既存スコアのみ,未接続,反応スコアはあるが、イベント日、1日、5日、20日の内訳確認が不足している。,
2026/05/26 20:08,6,6367.T,ダイキン工業,空調,,,,,,,,未接続,未接続,対象銘柄の決算後反応データが見つからない。,
2026/05/26 20:08,7,6503.T,三菱電機,総合電機,2026-04-28,2026年3月期通期決算,通常決算反応として使用,3.57%,1.9%,,55.1,1日/5日暫定,未接続,短期反応はあるが、20営業日反応が未到達のため最終スコアへ接続しない。,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf
2026/05/26 20:08,8,5020.T,ENEOS HD,エネルギー,2026-05-14,2026年3月期通期決算,通常決算反応として使用,7.35%,0.94%,,57,1日/5日暫定,未接続,短期反応はあるが、20営業日反応が未到達のため最終スコアへ接続しない。,https://irbank.net/5020
2026/05/26 20:08,9,6146.T,ディスコ,半導体装置,,,既存反応を使用,,,,68.7,既存スコアのみ,未接続,反応スコアはあるが、イベント日、1日、5日、20日の内訳確認が不足している。,
2026/05/26 20:08,10,4385.T,メルカリ,ネット,2026-05-11,2026年6月期3Q決算,通常決算反応として使用,-2.42%,7.3%,,56.8,1日/5日暫定,未接続,短期反応はあるが、20営業日反応が未到達のため最終スコアへ接続しない。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260511/20260508520767.pdf
