updated_at,provisional_rank,role,ticker,company,sector,quantitative_grade,data_confidence,data_readiness_score,test_readiness_score,nisa_score_reference,reaction_layer,reaction_note,qualitative_layer,qualitative_note,per,pbr,roe_pct,revenue_yoy_pct,profit_yoy_pct,ret1y_pct,max_drawdown60_pct,decision_boundary,evidence_summary,caution,tomorrow_priority,tomorrow_action,output_expected,purchase_status
2026/05/26 21:38,1,優先候補,6762.T,TDK,電子部品,A,100,90,63,60.7,暫定A,5日 対日経 5.5%、20営業日待ち,仮説のみ,AIサーバー需要 / 為替・海外売上 / 電池・磁性材料,26.7,2.75,9.81%,13.6%,21.5%,105.9%,-20%,継続確認,量的評価A、データ信頼度100、準備点90。PER 26.7、PBR 2.75、ROE 9.81%。売上成長 13.6%、利益成長 21.5%、1年騰落 105.9%。決算後反応: 暫定A（5日 対日経 5.5%、20営業日待ち）。質的層: 仮説のみ（AIサーバー需要 / 為替・海外売上 / 電池・磁性材料）。次作業: 候補説明の根拠整理,不足: イベント因果未完了,1,公式決算値、PER/PBR/ROE、5日反応、質的仮説を1枚説明にまとめる,候補として残す理由と20営業日待ちの注意点,購入判断ではない
2026/05/26 21:38,2,優先候補,2802.T,味の素,食品,B,95,90,57,67.8,暫定A,5日 対日経 12.07%、20営業日待ち,仮説のみ,食品値上げ耐性 / ABF・ヘルスケア / 円安・原材料,43.73,6.81,17.75%,3.5%,75%,57.1%,-15.9%,継続確認,量的評価B、データ信頼度95、準備点90。PER 43.73、PBR 6.81、ROE 17.75%。売上成長 3.5%、利益成長 75%、1年騰落 57.1%。決算後反応: 暫定A（5日 対日経 12.07%、20営業日待ち）。質的層: 仮説のみ（食品値上げ耐性 / ABF・ヘルスケア / 円安・原材料）。次作業: 候補説明の根拠整理,不足: 決算後反応未完了または未到達 / 業種別補正未完了 / 業種別補正:接続不可,1,公式決算値、PER/PBR/ROE、5日反応、質的仮説を1枚説明にまとめる,候補として残す理由と20営業日待ちの注意点,購入判断ではない
2026/05/26 21:38,3,優先候補,8316.T,三井住友FG,銀行,B,95,90,57,65.1,暫定A,5日 対日経 5.99%、20営業日待ち,仮説のみ,日銀・金利 / 信用コスト / 海外金利・為替,13.61,1.47,10.38%,6.1%,34%,69.9%,-18.3%,継続確認,量的評価B、データ信頼度95、準備点90。PER 13.61、PBR 1.47、ROE 10.38%。売上成長 6.1%、利益成長 34%、1年騰落 69.9%。決算後反応: 暫定A（5日 対日経 5.99%、20営業日待ち）。質的層: 仮説のみ（日銀・金利 / 信用コスト / 海外金利・為替）。次作業: 候補説明の根拠整理,不足: 決算後反応未完了または未到達 / イベント因果未完了,1,公式決算値、PER/PBR/ROE、5日反応、質的仮説を1枚説明にまとめる,候補として残す理由と20営業日待ちの注意点,購入判断ではない
2026/05/26 21:38,4,比較候補,6367.T,ダイキン工業,空調,C,100,90,47,52.6,暫定B,5日 対日経 1.92%、20営業日待ち,仮説のみ,データセンター冷却 / 地域別空調需要 / 中国・為替,24.97,2.14,9.1%,5.5%,3.3%,49.6%,-9.3%,比較対象,量的評価C、データ信頼度100、準備点90。PER 24.97、PBR 2.14、ROE 9.1%。売上成長 5.5%、利益成長 3.3%、1年騰落 49.6%。決算後反応: 暫定B（5日 対日経 1.92%、20営業日待ち）。質的層: 仮説のみ（データセンター冷却 / 地域別空調需要 / 中国・為替）。次作業: 補欠候補の比較整理,不足: 決算後反応未完了または未到達 / イベント因果未完了,2,同業比較、質的仮説、5日反応を確認し、上位候補との差を明記する,10社内に残す理由または控え候補扱い,購入判断ではない
2026/05/26 21:38,5,比較候補,6503.T,三菱電機,総合電機,C,95,90,47,55.6,暫定B,5日 対日経 1.9%、20営業日待ち,仮説のみ,電力・データセンター / FA・設備投資 / 防衛・宇宙,26.09,2.76,9.67%,6.8%,10.5%,108.2%,-16.8%,比較対象,量的評価C、データ信頼度95、準備点90。PER 26.09、PBR 2.76、ROE 9.67%。売上成長 6.8%、利益成長 10.5%、1年騰落 108.2%。決算後反応: 暫定B（5日 対日経 1.9%、20営業日待ち）。質的層: 仮説のみ（電力・データセンター / FA・設備投資 / 防衛・宇宙）。次作業: 補欠候補の比較整理,不足: 決算後反応未完了または未到達 / イベント因果未完了,2,同業比較、質的仮説、5日反応を確認し、上位候補との差を明記する,10社内に残す理由または控え候補扱い,購入判断ではない
2026/05/26 21:38,6,比較候補,5020.T,ENEOS HD,エネルギー,C,95,90,47,64.3,暫定B,5日 対日経 0.94%、20営業日待ち,仮説のみ,原油・精製マージン / 中東・海上輸送 / 脱炭素・構造転換,8.36,1.03,8.00%,-4.5%,339.8%,90.9%,-16.8%,比較対象,量的評価C、データ信頼度95、準備点90。PER 8.36、PBR 1.03、ROE 8.00%。売上成長 -4.5%、利益成長 339.8%、1年騰落 90.9%。決算後反応: 暫定B（5日 対日経 0.94%、20営業日待ち）。質的層: 仮説のみ（原油・精製マージン / 中東・海上輸送 / 脱炭素・構造転換）。次作業: 補欠候補の比較整理,不足: 決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了 / 業種別補正:接続不可,2,同業比較、質的仮説、5日反応を確認し、上位候補との差を明記する,10社内に残す理由または控え候補扱い,購入判断ではない
2026/05/26 21:38,7,反応待ち,8766.T,東京海上HD,保険,B,100,85,48,65.4,1日暫定,1日 対日経 -4.68%、5日/20営業日待ち,仮説のみ,保険料率・金利 / 自然災害・損害率 / 政策保有株売却,17.61,2.7,18.68%,5.1%,-7.6%,37.7%,-13%,反応待ち,量的評価B、データ信頼度100、準備点85。PER 17.61、PBR 2.7、ROE 18.68%。売上成長 5.1%、利益成長 -7.6%、1年騰落 37.7%。決算後反応: 1日暫定（1日 対日経 -4.68%、5日/20営業日待ち）。質的層: 仮説のみ（保険料率・金利 / 自然災害・損害率 / 政策保有株売却）。次作業: 5営業日反応の追加取得,1日反応のみのため、5営業日と20営業日を待つ。 不足: 決算後反応未完了または未到達 / イベント因果未完了,1,基準日、5営業日後株価、日経平均比較を取得し、暫定反応を更新する,反応待ちから継続確認または要検算へ分類,購入判断ではない
2026/05/26 21:38,8,検算対象,6146.T,ディスコ,半導体装置,C,92,92,38,60.9,D 実績弱い,20営業日 対日経 -19.66%,仮説のみ,AI半導体・HBM / 半導体設備投資 / 高PER・過熱,61.44（公式EPS + 既存株価CSV）,12.32,25.15%,11.1%,10.9%,97.7%,-23.5%,要検算,量的評価C、データ信頼度92、準備点92。PER 61.44（公式EPS + 既存株価CSV）、PBR 12.32、ROE 25.15%。売上成長 11.1%、利益成長 10.9%、1年騰落 97.7%。決算後反応: D 実績弱い（20営業日 対日経 -19.66%）。質的層: 仮説のみ（AI半導体・HBM / 半導体設備投資 / 高PER・過熱）。次作業: 弱い実績反応の検算,実績反応が弱いため、構造仮説をそのまま採用しない。 不足: 財務指標未完了 / 業種別補正未完了 / イベント因果未完了 / 財務指標:説明補助まで / 業種別補正:説明補助まで / PER:既存CSV内では未発見,1,決算日、基準終値、20営業日終値、日経平均比較を再確認する,構造仮説を残すか、候補順位を下げるかの判断材料,購入判断ではない
2026/05/26 21:38,9,補完対象,8306.T,三菱UFJ FG,銀行,C,92,82,45,62.1,暫定B,5日 対日経 2.39%、20営業日待ち,仮説のみ,日銀・金利 / 海外金利・景気 / 株主還元,17（公式EPS + 既存株価CSV）,1.56,11.34%,7.3%,27.7%,56.8%,-14.8%,補完待ち,量的評価C、データ信頼度92、準備点82。PER 17（公式EPS + 既存株価CSV）、PBR 1.56、ROE 11.34%。売上成長 7.3%、利益成長 27.7%、1年騰落 56.8%。決算後反応: 暫定B（5日 対日経 2.39%、20営業日待ち）。質的層: 仮説のみ（日銀・金利 / 海外金利・景気 / 株主還元）。次作業: 不足データ補完,PERまたは財務指標の不足を解消するまで順位を固定しない。 不足: 財務指標未完了 / 業種別補正未完了 / 財務指標:説明補助まで / 業種別補正:説明補助まで / PER:既存CSV内では未発見,2,PERまたは財務指標の公式値・試算値を確認し、採点へ接続できるか判断する,補完後に候補へ戻すか、今回は除外するかの判断,購入判断ではない
2026/05/26 21:38,10,補完対象,4385.T,メルカリ,ネット,保留,87,78,37,79.8,暫定A,5日 対日経 7.3%、20営業日待ち,仮説のみ,国内消費 / FinTech・広告 / 規制・競争,34.53（公式3Q累計EPS + 既存株価CSV）,5.79,30.52%,2.8%,59.2%,70.7%,-9.5%,補完待ち,量的評価保留、データ信頼度87、準備点78。PER 34.53（公式3Q累計EPS + 既存株価CSV）、PBR 5.79、ROE 30.52%。売上成長 2.8%、利益成長 59.2%、1年騰落 70.7%。決算後反応: 暫定A（5日 対日経 7.3%、20営業日待ち）。質的層: 仮説のみ（国内消費 / FinTech・広告 / 規制・競争）。次作業: 不足データ補完,PERまたは財務指標の不足を解消するまで順位を固定しない。 不足: 財務指標未完了 / 決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了 / 財務指標:説明補助まで / 業種別補正:接続不可 / PER:既存CSV内では未発見,2,PERまたは財務指標の公式値・試算値を確認し、採点へ接続できるか判断する,補完後に候補へ戻すか、今回は除外するかの判断,購入判断ではない
