updated_at,ticker,company,event_date,after_1d,after_5d,estimated_20bd_date,after_20d,score_connection,reason
2026/05/26 22:11,6762.T,TDK,2026-04-28,9.03%,5.5%,2026-06-01,未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。
2026/05/26 22:11,2802.T,味の素,2026-05-07,1.64%,12.07%,2026-06-04,未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。
2026/05/26 22:11,8766.T,東京海上HD,2026-05-20,-4.68%,未到達,2026-06-17,未到達,未接続,1日反応は確認できるが、5日反応と20営業日反応が未到達のため採点へ接続しない。
2026/05/26 22:11,8316.T,三井住友FG,2026-05-13,-2.05%,5.99%,2026-06-10,未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。
2026/05/26 22:11,8306.T,三菱UFJ FG,2026-05-15,3.22%,2.39%,2026-06-12,未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。
2026/05/26 22:11,6367.T,ダイキン工業,2026-05-12,6.08%,1.92%,2026-06-09,未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。
2026/05/26 22:11,6503.T,三菱電機,2026-04-28,3.57%,1.9%,2026-06-01,未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。
2026/05/26 22:11,5020.T,ENEOS HD,2026-05-14,7.35%,0.94%,2026-06-11,未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。
2026/05/26 22:11,6146.T,ディスコ,2026-04-22,-3.03%,-0.59%,2026-05-26,-19.66%,接続候補,1日、5日、20営業日の反応がそろったため、検算後に採点接続を検討できる。
2026/05/26 22:11,4385.T,メルカリ,2026-05-11,-2.42%,7.3%,2026-06-08,未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。
