updated_at,ticker,company,exact_sector,broad_group,broad_peer_count,per_count,pbr_count,roe_count,broad_per_median,broad_pbr_median,broad_roe_median_pct,exact_status,broad_status,treatment,reason
2026/05/26 22:41,4385.T,メルカリ,ネット,ネット / ネット/通信 / ネット広告 / EC / IT / 人材/IT,7,3,2,2,21.59,5.63,27.46,未反映,広義でも不足,不足理由を表示し、無理に比較しない。,広義7社、PER 3件、PBR 2件、ROE 2件。
2026/05/26 22:41,2802.T,味の素,食品,食品 / 飲料 / 生活必需品 / 化粧品,7,0,0,0,,,,未反映,広義でも不足,不足理由を表示し、無理に比較しない。,広義7社、PER 0件、PBR 0件、ROE 0件。
2026/05/26 22:41,8316.T,三井住友FG,銀行,銀行,3,3,3,3,13.79,1.56,11.34,補正参考可,広義参考可,説明補助。テスト判定用スコアには混ぜない。,広義グループで3社以上、PER/PBR/ROEが3件以上そろう。
2026/05/26 22:41,5020.T,ENEOS HD,エネルギー,エネルギー / 素材 / 化学,7,0,0,0,,,,未反映,広義でも不足,不足理由を表示し、無理に比較しない。,広義7社、PER 0件、PBR 0件、ROE 0件。
2026/05/26 22:41,8306.T,三菱UFJ FG,銀行,銀行,3,3,3,3,13.79,1.56,11.34,補正参考可,広義参考可,説明補助。テスト判定用スコアには混ぜない。,広義グループで3社以上、PER/PBR/ROEが3件以上そろう。
2026/05/26 22:41,6146.T,ディスコ,半導体装置,半導体装置,5,4,5,5,44.98,12.32,29.56,補正参考可,広義参考可,説明補助。テスト判定用スコアには混ぜない。,広義グループで3社以上、PER/PBR/ROEが3件以上そろう。
2026/05/26 22:41,6762.T,TDK,電子部品,電子部品,3,3,3,3,27.62,2.75,8.83,補正参考可,広義参考可,説明補助。テスト判定用スコアには混ぜない。,広義グループで3社以上、PER/PBR/ROEが3件以上そろう。
2026/05/26 22:41,6503.T,三菱電機,総合電機,総合電機 / FA / 制御機器 / 電子部品,9,8,9,9,27.21,2.76,9.28,未反映,広義参考可,説明補助。テスト判定用スコアには混ぜない。,広義グループで3社以上、PER/PBR/ROEが3件以上そろう。
2026/05/26 22:41,8766.T,東京海上HD,保険,保険,3,3,3,3,15.06,1.42,17.96,補正参考可,広義参考可,説明補助。テスト判定用スコアには混ぜない。,広義グループで3社以上、PER/PBR/ROEが3件以上そろう。
2026/05/26 22:41,6367.T,ダイキン工業,空調,空調 / 機械 / FA / 制御機器 / 建機,7,6,7,7,24.41,1.92,9.1,未反映,広義参考可,説明補助。テスト判定用スコアには混ぜない。,広義グループで3社以上、PER/PBR/ROEが3件以上そろう。
