updated_at,date,ticker,company,role,current_reaction,check_item,action
2026/05/27 01:54,2026-06-01,6762.T,TDK,主候補,評価S / 点数80.9 / 量的評価A / 信頼度100 / 5日 対日経 5.5%、20営業日待ち,決算後20営業日の対日経平均超過リターンを確認,20営業日反応が悪化しなければ主候補を維持。悪化時は比較枠へ下げる。
2026/05/27 01:54,2026-06-10,8316.T,三井住友FG,主候補,評価S / 点数80.9 / 量的評価B / 信頼度95 / 5日 対日経 5.99%、20営業日待ち,決算後20営業日の対日経平均超過リターンを確認,20営業日反応が悪化しなければ主候補を維持。悪化時は比較枠へ下げる。
2026/05/27 01:54,2026-06-04,2802.T,味の素,主候補,評価A / 点数76.0 / 量的評価B / 信頼度95 / 5日 対日経 12.07%、20営業日待ち,決算後20営業日の対日経平均超過リターンを確認,20営業日反応が悪化しなければ主候補を維持。悪化時は比較枠へ下げる。
2026/05/27 01:54,2026-06-11,5020.T,ENEOS HD,比較枠,評価B / 点数72.2 / 量的評価C / 信頼度95 / 5日 対日経 0.94%、20営業日待ち,決算後20営業日の対日経平均超過リターンを確認,結果を見て、主候補化・比較維持・除外のいずれかに再分類。
2026/05/27 01:54,2026-06-09,6367.T,ダイキン工業,比較枠,評価B / 点数70.3 / 量的評価C / 信頼度100 / 5日 対日経 1.92%、20営業日待ち,決算後20営業日の対日経平均超過リターンを確認,結果を見て、主候補化・比較維持・除外のいずれかに再分類。
2026/05/27 01:54,2026-06-01,6503.T,三菱電機,比較枠,評価B / 点数70.0 / 量的評価C / 信頼度95 / 5日 対日経 1.9%、20営業日待ち,決算後20営業日の対日経平均超過リターンを確認,結果を見て、主候補化・比較維持・除外のいずれかに再分類。
2026/05/27 01:54,2026-06-17,8766.T,東京海上HD,反応待ち,評価B / 点数66.9 / 量的評価B / 信頼度100 / 1日 対日経 -4.68%、5日/20営業日待ち,決算後20営業日の対日経平均超過リターンを確認,結果を見て、主候補化・比較維持・除外のいずれかに再分類。
2026/05/27 01:54,2026-06-08,4385.T,メルカリ,補完待ち,評価B / 点数65.1 / 量的評価保留 / 信頼度87 / 5日 対日経 7.3%、20営業日待ち,決算後20営業日の対日経平均超過リターンを確認,結果を見て、主候補化・比較維持・除外のいずれかに再分類。
2026/05/27 01:54,2026-06-12,8306.T,三菱UFJ FG,補完待ち,評価B / 点数65.0 / 量的評価C / 信頼度92 / 5日 対日経 2.39%、20営業日待ち,決算後20営業日の対日経平均超過リターンを確認,結果を見て、主候補化・比較維持・除外のいずれかに再分類。
2026/05/27 01:54,2026-05-26,6146.T,ディスコ,検算枠,評価C / 点数49.0 / 量的評価C / 信頼度92 / 20営業日 対日経 -19.66%,決算後20営業日の対日経平均超過リターンを確認,弱い反応の原因が説明できなければ主候補へ戻さない。
