ticker,company,metric,input_value,source_url_or_file,use_in_score,decision_rule
6762.T,TDK,PER/PBR/ROE,,,質/割安、業種別補正、ハード除外条件,同業比較で割高すぎる場合は中心候補から下げる
6762.T,TDK,売上成長率・営業利益成長率,,,成長スコア,成長鈍化または下方修正があれば候補順位を下げる
6762.T,TDK,決算後1日/5日/20営業日反応,,,決算後反応スコア、指数比較,指数劣後が続く場合は中心候補から外す
6762.T,TDK,質的テーマ確認数字,,,確認条件・除外条件,テーマが売上・利益・受注に接続しない場合は加点しない
8316.T,三井住友FG,PER/PBR/ROE,,,質/割安、業種別補正、ハード除外条件,同業比較で割高すぎる場合は中心候補から下げる
8316.T,三井住友FG,売上成長率・営業利益成長率,,,成長スコア,成長鈍化または下方修正があれば候補順位を下げる
8316.T,三井住友FG,決算後1日/5日/20営業日反応,,,決算後反応スコア、指数比較,指数劣後が続く場合は中心候補から外す
8316.T,三井住友FG,質的テーマ確認数字,,,確認条件・除外条件,テーマが売上・利益・受注に接続しない場合は加点しない
2802.T,味の素,PER/PBR/ROE,,,質/割安、業種別補正、ハード除外条件,同業比較で割高すぎる場合は中心候補から下げる
2802.T,味の素,売上成長率・営業利益成長率,,,成長スコア,成長鈍化または下方修正があれば候補順位を下げる
2802.T,味の素,決算後1日/5日/20営業日反応,,,決算後反応スコア、指数比較,指数劣後が続く場合は中心候補から外す
2802.T,味の素,質的テーマ確認数字,,,確認条件・除外条件,テーマが売上・利益・受注に接続しない場合は加点しない
8766.T,東京海上HD,PER/PBR/ROE,,,質/割安、業種別補正、ハード除外条件,同業比較で割高すぎる場合は中心候補から下げる
8766.T,東京海上HD,売上成長率・営業利益成長率,,,成長スコア,成長鈍化または下方修正があれば候補順位を下げる
8766.T,東京海上HD,決算後1日/5日/20営業日反応,,,決算後反応スコア、指数比較,指数劣後が続く場合は中心候補から外す
8766.T,東京海上HD,質的テーマ確認数字,,,確認条件・除外条件,テーマが売上・利益・受注に接続しない場合は加点しない
