updated_at,ticker,name,metric_group,metric_label,hit_count,rows_with_numbers,first_number_candidates,source_url
2026/05/19 15:45,2802.T,味の素,sales,売上高候補,21,21,"03 / -5250 / -8111 / 1 / 2026 / 3 / 1,583,719 / 3.5 / 181,163 / 13.7",https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:45,2802.T,味の素,eps,EPS候補,20,20,2030 / 3 / 50％,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:45,2802.T,味の素,dividend,配当候補,18,18,"2026 / 3 / 239,351 / 84,229 / 225,603 / 106,693 / 2025 / 209,898 / 77,382 / 137,684 / 164,776 / 1 / 2 / 40.00",https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:45,2802.T,味の素,buyback,自社株買い候補,18,18,"1株 / 1,723,000 / 8.8 / 197,000 / 8.7 / 120,000 / 10.9 / 126.16 / 2026 / 3 / 977,735,616株 / 2025 / 1,005,637,616株 / 19,290,839株",https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:45,2802.T,味の素,forecast,業績予想候補,8,7,"31,899 / 30.1 / 346.29 / 2025 / 3 / 1,112,861 / 360,605 / 32.4 / 362.64 / 2026 / 331,899百万円 / 360,605百万円 / 2027 / 4",https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:45,2802.T,味の素,operating_profit,営業利益候補,6,6,"19,290,839株 / 2025 / 3 / 11,237,848株 / 2026 / 973,367,344株 / 1,007,203,566株 / 1 / 317,757 / 1.3 / 20,216 / 121,248 / 2.0 / 142,812",https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:45,2802.T,味の素,net_income,純利益候補,6,5,"9株 / 2025 / 3 / 11,237,848株 / 2026 / 973,367,344株 / 1,007,203,566株 / 1 / 317,757 / 1.3 / 20,216 / 121,248 / 2.0 / 142,812",https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:45,6857.T,アドバンテスト,sales,売上高候補,23,23,"2026 / 7 / 31 / 6 / 2 / 26 / 1 / 3 / 1,128,610 / 44.7 / 499,120 / 118.8",https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 15:45,6857.T,アドバンテスト,eps,EPS候補,18,18,"5,353 / 132.9 / 432,230 / 189.3 / 2025 / 3 / 779,707 / 60.3 / 228,161 / 179.5 / 224,774 / 187.5 / 161,177 / 158.8",https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 15:45,6857.T,アドバンテスト,dividend,配当候補,15,15,03 / -3214 / -7500 / 2026 / 7 / 31 / 6 / 2 / 26 / 1,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
