updated_at,ticker,company_name,metric_group,metric_name,score_connection,candidate_values,hit_count,rows_with_numbers,confidence,use_status,next_action,source_url
2026/05/19 15:52,2802.T,味の素,sales,売上高・売上収益,成長力G,"03 / -5250 / -8111 / 1 / 2026 / 3 / 1,583,719 / 3.5 / 181,163 / 13.7",21,21,中,入力候補,PDF原文照合後、入力候補にできる,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:52,2802.T,味の素,eps,EPS・1株利益,成長力G・株主価値,2030 / 3 / 50％,20,20,中,入力候補,PDF原文照合後、入力候補にできる,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:52,2802.T,味の素,dividend,配当,株主還元R,"2026 / 3 / 239,351 / 84,229 / 225,603 / 106,693 / 2025 / 209,898 / 77,382 / 137,684 / 164,776 / 1 / 2 / 40.00",18,18,中,入力候補,PDF原文照合後、入力候補にできる,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:52,2802.T,味の素,buyback,自社株買い・自己株式,株主還元R,"1株 / 1,723,000 / 8.8 / 197,000 / 8.7 / 120,000 / 10.9 / 126.16 / 2026 / 3 / 977,735,616株 / 2025 / 1,005,637,616株 / 19,290,839株",18,18,中,入力候補,PDF原文照合後、入力候補にできる,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:52,2802.T,味の素,forecast,会社予想・通期見通し,決算期待値E・成長力G,"31,899 / 30.1 / 346.29 / 2025 / 3 / 1,112,861 / 360,605 / 32.4 / 362.64 / 2026 / 331,899百万円 / 360,605百万円 / 2027 / 4",8,7,中,入力候補,PDF原文照合後、入力候補にできる,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:52,2802.T,味の素,operating_profit,営業利益,成長力G・利益率M,"19,290,839株 / 2025 / 3 / 11,237,848株 / 2026 / 973,367,344株 / 1,007,203,566株 / 1 / 317,757 / 1.3 / 20,216 / 121,248 / 2.0 / 142,812",6,6,中,入力候補,PDF原文照合後、入力候補にできる,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:52,2802.T,味の素,net_income,純利益・親会社帰属利益,成長力G,"9株 / 2025 / 3 / 11,237,848株 / 2026 / 973,367,344株 / 1,007,203,566株 / 1 / 317,757 / 1.3 / 20,216 / 121,248 / 2.0 / 142,812",6,5,中,入力候補,PDF原文照合後、入力候補にできる,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 15:52,6857.T,アドバンテスト,sales,売上高・売上収益,成長力G,"2026 / 7 / 31 / 6 / 2 / 26 / 1 / 3 / 1,128,610 / 44.7 / 499,120 / 118.8",23,23,中,入力候補,PDF原文照合後、入力候補にできる,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 15:52,6857.T,アドバンテスト,eps,EPS・1株利益,成長力G・株主価値,"5,353 / 132.9 / 432,230 / 189.3 / 2025 / 3 / 779,707 / 60.3 / 228,161 / 179.5 / 224,774 / 187.5 / 161,177 / 158.8",18,18,中,入力候補,PDF原文照合後、入力候補にできる,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 15:52,6857.T,アドバンテスト,dividend,配当,株主還元R,03 / -3214 / -7500 / 2026 / 7 / 31 / 6 / 2 / 26 / 1,15,15,中,入力候補,PDF原文照合後、入力候補にできる,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 15:52,6857.T,アドバンテスト,buyback,自社株買い・自己株式,株主還元R,2026 / 4 / 1 / 2027 / 3 / 31 / 2 / 1株 / 16,14,14,中,入力候補,PDF原文照合後、入力候補にできる,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 15:52,6857.T,アドバンテスト,operating_profit,営業利益,成長力G・利益率M,"7 / 31 / 2026 / 6 / 2 / 26 / 1 / 3 / 1,128,610 / 44.7 / 499,120 / 118.8 / 516",13,13,中,入力候補,PDF原文照合後、入力候補にできる,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 15:52,6857.T,アドバンテスト,forecast,会社予想・通期見通し,決算期待値E・成長力G,61 / 1.2026 / 3 / 2025 / 4 / 1 / 2026 / 31 / 2 / 2027 / 3.2027 / 1株,9,9,中,入力候補,PDF原文照合後、入力候補にできる,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
