generated_at,ticker,company,sector,base_priority_score,current_class,cpi_result,boj_result,fomc_result,us10y_change_bp,usd_jpy_change_pct,nikkei_75d_position,post20d_excess_return_pct,company_revision,qualitative_alert,final_class,memo
2026/05/27 10:42,2802.T,味の素,食品,75.9,第1候補群,未入力,未入力,未入力,,,未入力,,未確認,未確認,未判定,
2026/05/27 10:42,6762.T,TDK,電子部品,67.9,第2候補群,未入力,未入力,未入力,,,未入力,,未確認,未確認,未判定,
2026/05/27 10:42,6146.T,ディスコ,半導体装置,66.8,第2候補群,未入力,未入力,未入力,,,未入力,,未確認,未確認,未判定,
2026/05/27 10:42,4385.T,メルカリ,ネット,56.9,補欠候補,未入力,未入力,未入力,,,未入力,,未確認,未確認,未判定,
2026/05/27 10:42,9984.T,ソフトバンクG,投資/AI,55.6,補欠候補,未入力,未入力,未入力,,,未入力,,未確認,未確認,未判定,
2026/05/27 10:42,7012.T,川崎重工業,重工/防衛,52.9,監視のみ,未入力,未入力,未入力,,,未入力,,未確認,未確認,未判定,
2026/05/27 10:42,8316.T,三井住友FG,銀行,50.5,監視のみ,未入力,未入力,未入力,,,未入力,,未確認,未確認,未判定,
2026/05/27 10:42,5020.T,ENEOS HD,エネルギー,50,監視のみ,未入力,未入力,未入力,,,未入力,,未確認,未確認,未判定,
2026/05/27 10:42,6503.T,三菱電機,総合電機,48.8,監視のみ,未入力,未入力,未入力,,,未入力,,未確認,未確認,未判定,
2026/05/27 10:42,8306.T,三菱UFJ FG,銀行,48.4,監視のみ,未入力,未入力,未入力,,,未入力,,未確認,未確認,未判定,
2026/05/27 10:42,6501.T,日立製作所,総合電機,46.9,監視のみ,未入力,未入力,未入力,,,未入力,,未確認,未確認,未判定,
2026/05/27 10:42,8002.T,丸紅,商社,43.4,監視のみ,未入力,未入力,未入力,,,未入力,,未確認,未確認,未判定,
