generated_at,source_row,ticker,company,source_name_raw,theme,role,portfolio_weight_pct,source_return_pct,computed_return_pct,current_price_or_value,reference_price_or_value,estimated_units,estimated_cost_value_man_yen,estimated_market_value_man_yen,estimated_unrealized_pnl_man_yen,actual_weight_pct,estimated_income_or_metric,estimated_risk_adjustment,estimated_total_contribution,source_action_memo_raw
2026/05/27 10:51,13,4689,LINEヤフー,LINE???,個別テーマ,検証・見直し枠,1%,-10.2%,-10.2,409.2,455.5,2145,98,87.8,-9.9,0.3%,6.1,-50.0,-53.8,23/3/3 ?1%?364?-20%??2%?1%
2026/05/27 10:51,14,6058,ベクトル,????,中小型・成長,分散補助枠,2%,+7.2%,7.2,1292,1205,1690,204,218.3,+14.7,0.8%,21.1,-5.8,+30.0,22/12/2 ?1%?1300?2%?3%
2026/05/27 10:51,15,6594,ニデック,????,半導体・AI・大型成長,検証・見直し枠,4%,-17.9%,-17.9,2715,3306,1712,566,464.8,-101.2,1.7%,15.0,-38.0,-124.2,24/9/20 ?1%?5910?3%?4%
2026/05/27 10:51,16,6758,ソニーG,???G,個別テーマ,分散補助枠,3%,+66.2%,66.2,3525,2120.7,1120,238,394.8,+157.3,1.4%,9.8,-33.8,+133.3,22/9/24 ?1%?10215?4%?3%
2026/05/27 10:51,17,8729,ソニーFG,???FG,金利・金融,検証・見直し枠,,-74.2%,-74.2,142.5,552.2,1120,62,16.0,-45.9,0.1%,,,,
2026/05/27 10:51,18,7956,ピジョン,????,個別テーマ,分散補助枠,2%,+3.4%,3.4,1860,1798,1390,250,258.5,+8.6,0.9%,28.4,-15.0,+22.1,24/9/27 ?1%?1690?1%?2%
2026/05/27 10:51,19,8035,東京エレクトロン,?????,半導体・AI・大型成長,分散補助枠,3%,+89.4%,89.4,49830,26310,183,481,911.9,+430.4,3.3%,17.0,+0.0,+447.4,24/10/1 ?1%?26050?2%?3%
2026/05/27 10:51,20,7735,SCREEN HD,?????,半導体・AI・大型成長,上昇寄与枠,3%,+109.0%,109,10765,5150,936,482,1007.6,+525.6,3.6%,39.8,+0.0,+565.4,24/10/1 ?1%?10250?2%?3%
2026/05/27 10:51,21,8919,カチタス,????,個別テーマ,検証・見直し枠,2%,-14.3%,-14.3,3500,4085,490,200,171.5,-28.7,0.6%,12.5,+0.0,-16.1,22/1/7 ?1%?4085?3%?2%
2026/05/27 10:51,22,9843,ニトリHD,???,個別テーマ,検証・見直し枠,1%,-12.1%,-12.1,2568,2920,342,100,87.9,-12.1,0.3%,6.7,-15.0,-20.3,22/9/9 ?1%?12410?2%?1%
