generated_at,ticker,company,per,pbr,roe_pct,dividend_yield_pct,market_cap,latest_period,previous_period,sales_million_yen,sales_yoy_pct,profit_metric,profit_million_yen,profit_yoy_pct,performance_updated_date
2026/05/27 11:44,2802.T,味の素,42.38,6.60,17.75,0.94,"5,194,709",2026年3月期,2025年3月期,"1,583,719",3.5,営業利益,"199,412",75,2026/5/7
2026/05/27 11:44,6762.T,TDK,31.22,3.21,9.81,1.08,,2026年3月期,2025年3月期,"2,504,820",13.6,営業利益,"272,415",21.5,2026/4/28
2026/05/27 11:44,6146.T,ディスコ,,12.74,25.15,,,2026年3月期,2025年3月期,,11.1,営業利益,,10.9,
2026/05/27 11:44,7011.T,三菱重工業,34.29,4.22,12.22,,,2026年3月期,2025年3月期,,-1.1,営業利益,,26.7,
2026/05/27 11:44,8053.T,住友商事,13.73,1.87,12.94,,,2026年3月期,2025年3月期,,0.6,利益,,0.9,
2026/05/27 11:44,9984.T,ソフトバンクG,,2.45,34.28,,,2026年3月期,2025年3月期,,7.7,利益,,259.9,
2026/05/27 11:44,8316.T,三井住友FG,13.40,1.44,10.38,,,2026年3月期,2025年3月期,,6.1,利益,,34,
2026/05/27 11:44,8306.T,三菱UFJ FG,,1.54,11.34,,,2026年3月期,2025年3月期,,7.3,利益,,27.7,
2026/05/27 11:44,7735.T,SCREEN HD,19.65,4.44,20.28,,,2026年3月期,2025年3月期,,-3.1,営業利益,,-9.7,
2026/05/27 11:44,7173.T,東京きらぼしFG,8.83,0.96,10.66,,,2026年3月期,2025年3月期,,23.9,利益,,45.2,
