live_rank,generated_at,focus_rank,ticker,company,priority_group,source_type,score_status_before,existing_adjusted_score,reference_priority_score,data_completion,data_completion_pct,live_selection_score,growth_score,valuation_score,risk_score,trend_score,reaction_score,current_use_status,warning_list,remaining_gap,next_action
1,2026/05/27 11:35,6,9984.T,ソフトバンクG,反応再確認,既存候補・直接参照,既存スコアあり,67.8,76,9/10,90,70.8,80.5,79.6,48.6,86.9,52.9,比較候補,1年上昇283.6%,PER,同じ式で比較継続
2,2026/05/27 11:35,1,2802.T,味の素,既存主候補,既存候補・独立確認,既存スコアあり,69.5,45,10/10,100,63.4,69.6,44.5,82.5,48.6,65.8,比較候補,なし,なし,同じ式で比較継続
3,2026/05/27 11:35,7,8316.T,三井住友FG,警戒解除待ち,既存候補・直接参照,既存スコアあり,58.4,76,10/10,100,61.1,49.8,75.5,77.6,48,55.5,比較候補,なし,なし,同じ式で比較継続
4,2026/05/27 11:35,2,6762.T,TDK,第2候補,既存候補・テーマ参照,既存スコアあり,70.1,64,10/10,100,60.2,48.8,50.9,65,85.3,63.8,比較候補,なし,なし,同じ式で比較継続
5,2026/05/27 11:35,8,8306.T,三菱UFJ FG,警戒解除待ち,既存候補・直接参照,既存スコアあり,56.6,76,9/10,90,58.9,48.3,66.4,80.7,44.8,55.4,比較候補,なし,PER,同じ式で比較継続
6,2026/05/27 11:35,3,6146.T,ディスコ,第2候補,既存候補・テーマ参照,既存スコアあり,69.0,64,9/10,90,56.2,55.8,58.1,61.3,48.2,55.6,比較候補,PBR12.74倍,PER,同じ式で比較継続
7,2026/05/27 11:35,10,7173.T,東京きらぼしFG,優先追加確認,追加候補A,追加データ未投入,未採点,73.8,9/10,90,71.1,72,77.2,67,66.5,,追加比較候補,なし,決算後反応,同じ式で比較継続
8,2026/05/27 11:35,5,8053.T,住友商事,優先追加確認,追加候補A,追加データ未投入,未採点,41.0,9/10,90,56.6,29,75.6,72.1,65.8,,追加比較候補,なし,決算後反応,同じ式で比較継続
9,2026/05/27 11:35,9,7735.T,SCREEN HD,比較追加確認,追加候補B,追加データ未投入,未採点,12.7,9/10,90,52.2,27.1,73.2,59.4,65.1,,追加比較候補,なし,決算後反応,同じ式で比較継続
10,2026/05/27 11:35,4,7011.T,三菱重工業,優先追加確認,追加候補A,追加データ未投入,未採点,89.0,9/10,90,40.3,41.3,48.6,53.1,10.5,,追加比較候補,60日最大下落-25.4%,決算後反応,同じ式で比較継続
