generated_at,ticker,company,missing_items,warnings,data_completion,handling
2026/05/27 11:44,2802.T,味の素,なし,なし,10/10,未取得項目は点数に混ぜず、6月再判定までに追加確認する。
2026/05/27 11:44,6762.T,TDK,なし,なし,10/10,未取得項目は点数に混ぜず、6月再判定までに追加確認する。
2026/05/27 11:44,6146.T,ディスコ,PER,PBR12.74倍,9/10,未取得項目は点数に混ぜず、6月再判定までに追加確認する。
2026/05/27 11:44,7011.T,三菱重工業,なし,60日最大下落-25.3%,10/10,未取得項目は点数に混ぜず、6月再判定までに追加確認する。
2026/05/27 11:44,8053.T,住友商事,なし,なし,10/10,未取得項目は点数に混ぜず、6月再判定までに追加確認する。
2026/05/27 11:44,9984.T,ソフトバンクG,PER,1年上昇285.2%,9/10,未取得項目は点数に混ぜず、6月再判定までに追加確認する。
2026/05/27 11:44,8316.T,三井住友FG,なし,なし,10/10,未取得項目は点数に混ぜず、6月再判定までに追加確認する。
2026/05/27 11:44,8306.T,三菱UFJ FG,PER,なし,9/10,未取得項目は点数に混ぜず、6月再判定までに追加確認する。
2026/05/27 11:44,7735.T,SCREEN HD,なし,なし,10/10,未取得項目は点数に混ぜず、6月再判定までに追加確認する。
2026/05/27 11:44,7173.T,東京きらぼしFG,なし,決算後反応34.5点,10/10,未取得項目は点数に混ぜず、6月再判定までに追加確認する。
