updated_at,ticker,company_name,metric_group,official_field_jp,score_area,score_field,priority,candidate_values_from_pdf,confirmed_period,confirmed_current_value,confirmed_previous_value,confirmed_unit,confirmed_change_pct,confirmed_score_input_value,formula_to_use,confirmation_status,reviewer_note,source_url
2026/05/19 17:08,2802.T,味の素,sales,売上高/売上収益,成長力,sales_growth_pct,高,"03 / -5250 / -8111 / 1 / 2026 / 3 / 1,583,719 / 3.5 / 181,163 / 13.7",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:08,2802.T,味の素,eps,EPS/1株利益,成長力・株主価値,eps_growth_pct,高,2030 / 3 / 50％,,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:08,2802.T,味の素,dividend,年間配当,株主還元,dividend_yield_pct,中,"2026 / 3 / 239,351 / 84,229 / 225,603 / 106,693 / 2025 / 209,898 / 77,382 / 137,684 / 164,776 / 1 / 2 / 40.00",,,,,,,confirmed_score_input_value = annual_dividend / reference_price * 100,未確認,,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:08,2802.T,味の素,buyback,自社株買い,株主還元,buyback_amount_million_yen,中,"1株 / 1,723,000 / 8.8 / 197,000 / 8.7 / 120,000 / 10.9 / 126.16 / 2026 / 3 / 977,735,616株 / 2025 / 1,005,637,616株 / 19,290,839株",,,,,,,confirmed_score_input_value = confirmed_current_value,未確認,,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:08,2802.T,味の素,forecast,会社予想/通期見通し,決算期待値,forecast_revision_or_growth,高,"31,899 / 30.1 / 346.29 / 2025 / 3 / 1,112,861 / 360,605 / 32.4 / 362.64 / 2026 / 331,899百万円 / 360,605百万円 / 2027 / 4",,,,,,,confirmed_score_input_value = confirmed_current_value,未確認,,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:08,2802.T,味の素,operating_profit,営業利益,成長力・利益率,operating_profit_growth_pct,高,"19,290,839株 / 2025 / 3 / 11,237,848株 / 2026 / 973,367,344株 / 1,007,203,566株 / 1 / 317,757 / 1.3 / 20,216 / 121,248 / 2.0 / 142,812",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:08,2802.T,味の素,net_income,純利益/親会社帰属利益,成長力,net_income_growth_pct,中,"9株 / 2025 / 3 / 11,237,848株 / 2026 / 973,367,344株 / 1,007,203,566株 / 1 / 317,757 / 1.3 / 20,216 / 121,248 / 2.0 / 142,812",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:08,6857.T,アドバンテスト,sales,売上高/売上収益,成長力,sales_growth_pct,高,"2026 / 7 / 31 / 6 / 2 / 26 / 1 / 3 / 1,128,610 / 44.7 / 499,120 / 118.8",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:08,6857.T,アドバンテスト,eps,EPS/1株利益,成長力・株主価値,eps_growth_pct,高,"5,353 / 132.9 / 432,230 / 189.3 / 2025 / 3 / 779,707 / 60.3 / 228,161 / 179.5 / 224,774 / 187.5 / 161,177 / 158.8",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:08,6857.T,アドバンテスト,dividend,年間配当,株主還元,dividend_yield_pct,中,03 / -3214 / -7500 / 2026 / 7 / 31 / 6 / 2 / 26 / 1,,,,,,,confirmed_score_input_value = annual_dividend / reference_price * 100,未確認,,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:08,6857.T,アドバンテスト,buyback,自社株買い,株主還元,buyback_amount_million_yen,中,2026 / 4 / 1 / 2027 / 3 / 31 / 2 / 1株 / 16,,,,,,,confirmed_score_input_value = confirmed_current_value,未確認,,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:08,6857.T,アドバンテスト,operating_profit,営業利益,成長力・利益率,operating_profit_growth_pct,高,"7 / 31 / 2026 / 6 / 2 / 26 / 1 / 3 / 1,128,610 / 44.7 / 499,120 / 118.8 / 516",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:08,6857.T,アドバンテスト,forecast,会社予想/通期見通し,決算期待値,forecast_revision_or_growth,高,61 / 1.2026 / 3 / 2025 / 4 / 1 / 2026 / 31 / 2 / 2027 / 3.2027 / 1株,,,,,,,confirmed_score_input_value = confirmed_current_value,未確認,,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:08,6857.T,アドバンテスト,net_income,純利益/親会社帰属利益,成長力,net_income_growth_pct,中,"224株 / 2025 / 3 / 32,422,231株 / 2026 / 728,634,777株 / 737,064,308株 / 1 / 988,232 / 46.8 / 405,874 / 86.7 / 425,372 / 87.4",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:08,7974.T,任天堂,net_income,純利益/親会社帰属利益,成長力,net_income_growth_pct,中,"1 / 2026 / 3 / 2025 / 4 / 12 / 31 / 1,905,883 / 99.3 / 300,393 / 21.3 / 455,842 / 39.4 / 358,863",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:08,7974.T,任天堂,sales,売上高/売上収益,成長力,sales_growth_pct,高,"1 / 2026 / 3 / 2025 / 4 / 12 / 31 / 1,905,883 / 99.3 / 300,393 / 21.3 / 455,842 / 39.4 / 358,863",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:08,7974.T,任天堂,forecast,会社予想/通期見通し,決算期待値,forecast_revision_or_growth,高,25 / 3 / 35.00 / 85.00 / 120.00 / 2026 / 42.00 / 139.00 / 181.00 / 2025 / 4 / 1 / 31 / 1株,,,,,,,confirmed_score_input_value = confirmed_current_value,未確認,,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:08,7974.T,任天堂,dividend,年間配当,株主還元,dividend_yield_pct,中,7974 / 075 / -662 / -9600 / 1 / 2026 / 3 / 2025 / 4 / 12 / 31,,,,,,,confirmed_score_input_value = annual_dividend / reference_price * 100,未確認,,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:08,7974.T,任天堂,operating_profit,営業利益,成長力・利益率,operating_profit_growth_pct,高,"1 / 2026 / 3 / 2025 / 4 / 12 / 31 / 1,905,883 / 99.3 / 300,393 / 21.3 / 455,842 / 39.4 / 358,863",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:08,7974.T,任天堂,eps,EPS/1株利益,成長力・株主価値,eps_growth_pct,高,"4 / 247,597 / 46.7 / 327,117 / 42.3 / 237,189 / 41.9 / 2026 / 3 / 398,659百万円 / 41.9％ / 2025 / 280,995百万円 / 37.3％",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:08,7974.T,任天堂,buyback,自社株買い,株主還元,buyback_amount_million_yen,中,"4 / 2026 / 3 / 1,298,690,000株 / 2025 / 134,431,085株 / 134,441,816株",,,,,,,confirmed_score_input_value = confirmed_current_value,未確認,,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:08,8035.T,東京エレクトロン,net_income,純利益/親会社帰属利益,成長力,net_income_growth_pct,中,"1 / 2026 / 3 / 2025 / 4 / 31 / 2,443,533 / 0.5 / 624,936 / 10.4 / 630,338 / 10.9 / 574,454 / 5.6",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:08,8035.T,東京エレクトロン,dividend,年間配当,株主還元,dividend_yield_pct,中,03 / -5561 / -7000 / 2026 / 6 / 23 / 2 / 22 / 1 / 3,,,,,,,confirmed_score_input_value = annual_dividend / reference_price * 100,未確認,,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:08,8035.T,東京エレクトロン,forecast,会社予想/通期見通し,決算期待値,forecast_revision_or_growth,高,8 / 2027 / 3 / 361.00 / 2026 / 2 / 4 / 1 / 5 / 14,,,,,,,confirmed_score_input_value = confirmed_current_value,未確認,,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:08,8035.T,東京エレクトロン,eps,EPS/1株利益,成長力・株主価値,eps_growth_pct,高,"2,431,568 / 32.8 / 697,319 / 52.8 / 707,727 / 544,133 / 49.5 / 2026 / 3 / 624,335百万円 / 31.1％ / 2025 / 476,095百万円 / 0.5％",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:08,8035.T,東京エレクトロン,sales,売上高/売上収益,成長力,sales_growth_pct,高,"1 / 2026 / 3 / 2025 / 4 / 31 / 2,443,533 / 0.5 / 624,936 / 10.4 / 630,338 / 10.9 / 574,454 / 5.6",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:08,8035.T,東京エレクトロン,operating_profit,営業利益,成長力・利益率,operating_profit_growth_pct,高,"1 / 2026 / 3 / 2025 / 4 / 31 / 2,443,533 / 0.5 / 624,936 / 10.4 / 630,338 / 10.9 / 574,454 / 5.6",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:08,8035.T,東京エレクトロン,buyback,自社株買い,株主還元,buyback_amount_million_yen,中,"3 / 2026 / 471,632,733 株 / 2025 / 16,783,041 株 / 13,522,282 株",,,,,,,confirmed_score_input_value = confirmed_current_value,未確認,,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:08,8058.T,三菱商事,cash_flow,FCF,財務安全性,fcf_amount_million_yen,高,"31 / 2026 / 24,151,695 / 10,250,574 / 9,440,567 / 39.1 / 2,578 / 33 / 2025 / 21,496,104 / 10,154,322 / 9,368,714 / 43.6 / 2,355",,,,,,,confirmed_score_input_value = operating_cf + investing_cf,未確認,,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:08,8058.T,三菱商事,sales,売上高/売上収益,成長力,sales_growth_pct,高,31 / 2026 / 1,,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:08,8058.T,三菱商事,dividend,年間配当,株主還元,dividend_yield_pct,中,"31 / 2026 / 1,490,041 / 448,584 / 804,684 / 1,841,464 / 2025 / 1,658,349 / 273,945 / 1,530,703 / 1,536,624 / 2",,,,,,,confirmed_score_input_value = annual_dividend / reference_price * 100,未確認,,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:08,8058.T,三菱商事,forecast,会社予想/通期見通し,決算期待値,forecast_revision_or_growth,高,"31 / 2025 / 50.00 / 100.00 / 397,714 / 42.2 / 4.4 / 2026 / 55.00 / 110.00 / 408,458 / 52.2 / 4.5 / 2027",,,,,,,confirmed_score_input_value = confirmed_current_value,未確認,,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:08,8058.T,三菱商事,buyback,自社株買い,株主還元,buyback_amount_million_yen,中,"3 / -1 / 31 / 2026 / 4,028,926,353 / 2025 / 4,022,391,153 / -2",,,,,,,confirmed_score_input_value = confirmed_current_value,未確認,,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:08,8058.T,三菱商事,roe,ROE,企業の質,roe_pct,中,2027 / 6 / 3 / 1 / 2 / 7,,,,,,,confirmed_score_input_value = confirmed_current_value,未確認,,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:08,8058.T,三菱商事,net_income,純利益/親会社帰属利益,成長力,net_income_growth_pct,中,0,,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:08,8058.T,三菱商事,eps,EPS/1株利益,成長力・株主価値,eps_growth_pct,高,"31 / 2026 / 3,795,020,642 / 2025 / 4,011,861,940 / 25 / 3 / 2",,,,,,,confirmed_change_pct = (confirmed_current_value - confirmed_previous_value) / confirmed_previous_value * 100,未確認,,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
