updated_at,ticker,company_name,metric_group,score_field,priority,confirmed_period,confirmed_current_value,confirmed_previous_value,confirmed_unit,calculated_value_for_score,validation_status,blocking_reason,score_reflection_rule,source_url
2026/05/19 17:17,2802.T,味の素,sales,sales_growth_pct,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:17,2802.T,味の素,eps,eps_growth_pct,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:17,2802.T,味の素,dividend,dividend_yield_pct,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:17,2802.T,味の素,buyback,buyback_amount_million_yen,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:17,2802.T,味の素,forecast,forecast_revision_or_growth,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:17,2802.T,味の素,operating_profit,operating_profit_growth_pct,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:17,2802.T,味の素,net_income,net_income_growth_pct,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:17,6857.T,アドバンテスト,sales,sales_growth_pct,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:17,6857.T,アドバンテスト,eps,eps_growth_pct,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:17,6857.T,アドバンテスト,dividend,dividend_yield_pct,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:17,6857.T,アドバンテスト,buyback,buyback_amount_million_yen,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:17,6857.T,アドバンテスト,operating_profit,operating_profit_growth_pct,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:17,6857.T,アドバンテスト,forecast,forecast_revision_or_growth,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:17,6857.T,アドバンテスト,net_income,net_income_growth_pct,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:17,7974.T,任天堂,net_income,net_income_growth_pct,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:17,7974.T,任天堂,sales,sales_growth_pct,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:17,7974.T,任天堂,forecast,forecast_revision_or_growth,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:17,7974.T,任天堂,dividend,dividend_yield_pct,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:17,7974.T,任天堂,operating_profit,operating_profit_growth_pct,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:17,7974.T,任天堂,eps,eps_growth_pct,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:17,7974.T,任天堂,buyback,buyback_amount_million_yen,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:17,8035.T,東京エレクトロン,net_income,net_income_growth_pct,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:17,8035.T,東京エレクトロン,dividend,dividend_yield_pct,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:17,8035.T,東京エレクトロン,forecast,forecast_revision_or_growth,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:17,8035.T,東京エレクトロン,eps,eps_growth_pct,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:17,8035.T,東京エレクトロン,sales,sales_growth_pct,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:17,8035.T,東京エレクトロン,operating_profit,operating_profit_growth_pct,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:17,8035.T,東京エレクトロン,buyback,buyback_amount_million_yen,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:17,8058.T,三菱商事,cash_flow,fcf_amount_million_yen,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:17,8058.T,三菱商事,sales,sales_growth_pct,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:17,8058.T,三菱商事,dividend,dividend_yield_pct,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:17,8058.T,三菱商事,forecast,forecast_revision_or_growth,高,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:17,8058.T,三菱商事,buyback,buyback_amount_million_yen,中,,,,,0,未入力,正式値が未入力,反映可能候補だけを、全銘柄同一ルールで正式スコア入力へ移す,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
