作成,銘柄,決算日,1日超過,5日超過,現反応点,20営業日目安,状態,次作業
2026/05/27 14:50,6146.T ディスコ,2026-04-24,4.66%,1.6%,55.6点,2026-05-28,未到達,到達日以降に20営業日反応を入力する。
2026/05/27 14:50,6762.T TDK,2026-04-28,9.03%,5.5%,63.8点,2026-06-01,未到達,到達日以降に20営業日反応を入力する。
2026/05/27 14:50,8053.T 住友商事,2026-05-01,2.61%,6.24%,59.6点,2026-06-03,未到達,到達日以降に20営業日反応を入力する。
2026/05/27 14:50,2802.T 味の素,2026-05-07,1.64%,12.07%,65.8点,2026-06-04,未到達,到達日以降に20営業日反応を入力する。
2026/05/27 14:50,7173.T 東京きらぼしFG,2026-05-08,-10.58%,-5.84%,34.5点,2026-06-05,未到達,到達日以降に20営業日反応を入力する。
2026/05/27 14:50,9984.T ソフトバンクG,2026-05-11,3.73%,-0.05%,52.9点,2026-06-08,未到達,到達日以降に20営業日反応を入力する。
2026/05/27 14:50,7011.T 三菱重工業,2026-05-12,1.62%,-0.55%,50.6点,2026-06-09,未到達,到達日以降に20営業日反応を入力する。
2026/05/27 14:50,8316.T 三井住友FG,2026-05-13,-2.05%,5.99%,55.5点,2026-06-10,未到達,到達日以降に20営業日反応を入力する。
2026/05/27 14:50,7735.T SCREEN HD,2026-05-13,9.8%,-0.49%,57.3点,2026-06-10,未到達,到達日以降に20営業日反応を入力する。
2026/05/27 14:50,8306.T 三菱UFJ FG,2026-05-15,3.22%,2.39%,55.4点,2026-06-12,未到達,到達日以降に20営業日反応を入力する。
