作成,業種,銘柄,現区分,PER,PER種別,PBR,ROE,業種内PER平均,業種内PBR平均,業種内ROE平均,判定,確認点
2026/05/27 14:57,銀行,8316.T 三井住友FG,中心確認,13.40倍,取得値,1.44倍,10.38%,13.08倍,1.31倍,10.79%,同業内おおむね中間,銀行中心候補。日銀後の銀行株全体と信用コストを確認。
2026/05/27 14:57,銀行,8306.T 三菱UFJ FG,条件付き確認,17.00倍,実績EPS補助値,1.54倍,11.34%,13.08倍,1.31倍,10.79%,PER高め,PER補助値は実績EPSベース。種別確認後に比較へ正式接続。
2026/05/27 14:57,銀行,7173.T 東京きらぼしFG,監視,8.83倍,取得値,0.96倍,10.66%,13.08倍,1.31倍,10.79%,PER低め,割安に見えるが決算後反応が弱く、回復確認が必要。
2026/05/27 14:57,半導体・電子部品,6762.T TDK,追加確認付き中心,31.22倍,取得値,3.21倍,9.81%,37.44倍,6.80倍,18.41%,同業内おおむね中間,半導体周辺・電子部品。SOX/NASDAQとAI需要を確認。
2026/05/27 14:57,半導体・電子部品,6146.T ディスコ,監視,61.44倍,実績EPS補助値,12.74倍,25.15%,37.44倍,6.80倍,18.41%,PER高め,技術優位は強いが、PER/PBRが高く、受注・利益率で説明できるか確認。
2026/05/27 14:57,半導体・電子部品,7735.T SCREEN HD,監視,19.65倍,取得値,4.44倍,20.28%,37.44倍,6.80倍,18.41%,PER低め,1日反応は強いが5日反応が弱い。20営業日反応を確認。
2026/05/27 14:57,食品・ヘルスケア,2802.T 味の素,追加確認付き中心,42.38倍,取得値,6.60倍,17.75%,42.38倍,6.60倍,17.75%,同業内おおむね中間,高PER・高PBR。利益成長と決算後反応で説明できる場合のみ維持。
2026/05/27 14:57,商社・資源,8053.T 住友商事,追加確認付き中心,13.73倍,取得値,1.87倍,12.94%,13.73倍,1.87倍,12.94%,同業内おおむね中間,資源価格、為替、株主還元が維持されるか確認。
2026/05/27 14:57,重工・防衛,7011.T 三菱重工業,監視,34.29倍,取得値,4.22倍,12.22%,34.29倍,4.22倍,12.22%,同業内おおむね中間,テーマ性よりも直近下落と200日線回復を優先確認。
2026/05/27 14:57,投資会社・AI関連,9984.T ソフトバンクG,監視,未取得,PER未補完,2.45倍,34.28%,未取得,2.45倍,34.28%,別評価,PER単独ではなく、NAV、保有資産評価、Arm、AI関連株の変動を別評価。
