作成,target,group,peer,role,per,pbr,roe,status,use
2026/05/27 15:04,8316.T 三井住友FG,銀行,8306.T 三菱UFJ FG,大手銀行比較,補助値17.00倍,1.54倍,11.34%,補助値あり,三井住友FGの割安/割高度、銀行株内の順位を見る。
2026/05/27 15:04,8316.T 三井住友FG,銀行,8411.T みずほFG,大手銀行比較,13.79倍,1.58倍,11.48%,既存100社データあり,銀行3メガ比較の基準にする。
2026/05/27 15:04,8316.T 三井住友FG,銀行,7173.T 東京きらぼしFG,地銀比較,8.83倍,0.96倍,10.66%,既存候補データあり,地銀の割安さと決算後反応の弱さを分けて見る。
2026/05/27 15:04,6762.T TDK,半導体・電子部品,6981.T 村田製作所,電子部品比較,41.64倍,4.49倍,8.83%,既存100社データあり,TDKのPER/PBRが電子部品内で高いか低いかを見る。
2026/05/27 15:04,6762.T TDK,半導体・電子部品,6971.T 京セラ,電子部品比較,27.62倍,1.17倍,4.30%,既存100社データあり,利益率と評価倍率の比較に使う。
2026/05/27 15:04,6146.T ディスコ,半導体製造装置,6857.T アドバンテスト,AI半導体検査,42.00倍,24.55倍,57.65%,既存100社データあり,高成長・高バリュエーション銘柄との比較に使う。
2026/05/27 15:04,6146.T ディスコ,半導体製造装置,6920.T レーザーテック,EUV検査,47.95倍,15.28倍,46.88%,既存100社データあり,過熱・高PER・高PBRの警戒基準に使う。
2026/05/27 15:04,7735.T SCREEN HD,半導体製造装置,8035.T 東京エレクトロン,半導体製造装置大手,未取得,10.80倍,29.56%,PER未取得,同業最大手とのPBR/ROE比較。PERは追加取得が必要。
2026/05/27 15:04,2802.T 味の素,食品・ヘルスケア,2801.T キッコーマン,食品・海外比率比較,未取得,未取得,未取得,公式値追加取得,高PERを食品内で説明できるかを見る。
2026/05/27 15:04,2802.T 味の素,食品・ヘルスケア,2503.T キリンHD,食品・飲料比較,未取得,未取得,未取得,公式値追加取得,生活必需品寄りの安定性比較に使う。
2026/05/27 15:04,2802.T 味の素,食品・ヘルスケア,2502.T アサヒGHD,食品・飲料比較,未取得,未取得,未取得,公式値追加取得,食品/飲料大型株との評価差を見る。
2026/05/27 15:04,8053.T 住友商事,商社,8058.T 三菱商事,総合商社比較,18.06倍,2.10倍,8.51%,既存100社データあり,総合商社内での割安/還元/資源感応度を見る。
2026/05/27 15:04,8053.T 住友商事,商社,8031.T 三井物産,総合商社比較,17.54倍,1.84倍,10.22%,既存100社データあり,商社内の収益性比較に使う。
2026/05/27 15:04,8053.T 住友商事,商社,8001.T 伊藤忠商事,総合商社比較,14.35倍,2.07倍,14.59%,既存100社データあり,非資源寄り・高ROE商社との比較に使う。
2026/05/27 15:04,8053.T 住友商事,商社,8002.T 丸紅,総合商社比較,15.01倍,1.99倍,13.61%,既存20社データあり,候補から落ちた商社との比較に使う。
2026/05/27 15:04,7011.T 三菱重工業,重工・防衛,7012.T 川崎重工業,重工・防衛比較,21.60倍,2.71倍,13.68%,既存100社データあり,防衛/水素テーマ内での評価差を見る。
2026/05/27 15:04,7011.T 三菱重工業,重工・防衛,7013.T IHI,重工・防衛比較,16.88倍,4.27倍,28.39%,既存100社データあり,重工内でのROE・PBR・下落率比較に使う。
2026/05/27 15:04,9984.T ソフトバンクG,投資会社・AI関連,9434.T ソフトバンク,通信子会社比較,19.25倍,4.09倍,19.32%,既存100社データあり,投資会社本体ではなく、事業会社部分の比較参考にする。
2026/05/27 15:04,9984.T ソフトバンクG,投資会社・AI関連,4755.T 楽天グループ,投資/通信/EC比較,未取得,未取得,未取得,公式値追加取得,PERではなく、財務リスクと投資先評価の比較対象にする。
