作成,銘柄,会社名,初期区分,質的テーマ,基礎点,確認項目
2026/05/27 15:39,8316.T,三井住友FG,中心確認,銀行・金利上昇,60,銀行株全体、利ざや、信用コスト
2026/05/27 15:39,6762.T,TDK,中心確認,電子部品・AIサーバー周辺,60,SOX、AIサーバー、HDD/電源周辺部材
2026/05/27 15:39,8053.T,住友商事,中心確認,商社・資源・株主還元,60,資源価格、為替、還元姿勢
2026/05/27 15:39,2802.T,味の素,条件付き中心,食品・ABF・ヘルスケア,55,高PER説明、ABF、ヘルスケア、原材料
2026/05/27 15:39,8306.T,三菱UFJ FG,補欠比較,銀行・金利上昇,48,三井住友FGとの差、銀行枠重複
2026/05/27 15:39,7173.T,東京きらぼしFG,監視,地銀・金利上昇,45,割安、出来高、地銀株反応
2026/05/27 15:39,9984.T,ソフトバンクG,別評価監視,AI投資・保有資産,43,NAV、Arm、AI関連株、過熱
2026/05/27 15:39,7735.T,SCREEN HD,監視,半導体製造装置,45,受注、利益成長、SOX耐性
2026/05/27 15:39,6146.T,ディスコ,反応検算,半導体工程・高シェア技術,43,高PER/PBR、受注、利益率、20営業日反応
2026/05/27 15:39,7011.T,三菱重工業,反応検算,防衛・重工・発電,43,200日線、60日最大下落、重工同業比較
