作成,シナリオ,銘柄,会社名,初期区分,点数,判定,CPI,日銀,FOMC,20営業日反応,同業説明,質的根拠,ベンチ根拠
2026/05/27 15:40,現在未入力,8316.T,三井住友FG,中心確認,48,入力待ち,未入力,未入力,未入力,未到来,要確認,要確認,要確認
2026/05/27 15:40,現在未入力,6762.T,TDK,中心確認,48,入力待ち,未入力,未入力,未入力,未到来,要確認,要確認,要確認
2026/05/27 15:40,現在未入力,8053.T,住友商事,中心確認,48,入力待ち,未入力,未入力,未入力,未到来,要確認,要確認,要確認
2026/05/27 15:40,現在未入力,2802.T,味の素,条件付き中心,43,入力待ち,未入力,未入力,未入力,未到来,要確認,要確認,要確認
2026/05/27 15:40,現在未入力,8306.T,三菱UFJ FG,補欠比較,36,入力待ち,未入力,未入力,未入力,未到来,要確認,要確認,要確認
2026/05/27 15:40,現在未入力,7173.T,東京きらぼしFG,監視,33,入力待ち,未入力,未入力,未入力,未到来,要確認,要確認,要確認
2026/05/27 15:40,現在未入力,9984.T,ソフトバンクG,別評価監視,31,入力待ち,未入力,未入力,未入力,未到来,要確認,要確認,要確認
2026/05/27 15:40,現在未入力,7735.T,SCREEN HD,監視,33,入力待ち,未入力,未入力,未入力,未到来,要確認,要確認,要確認
2026/05/27 15:40,現在未入力,6146.T,ディスコ,反応検算,31,入力待ち,未入力,未入力,未入力,未到来,要確認,要確認,要確認
2026/05/27 15:40,現在未入力,7011.T,三菱重工業,反応検算,31,入力待ち,未入力,未入力,未入力,未到来,要確認,要確認,要確認
2026/05/27 15:40,標準通過,8316.T,三井住友FG,中心確認,68,保留,注意,良好,注意,中立,要確認,要確認,要確認
2026/05/27 15:40,標準通過,6762.T,TDK,中心確認,68,保留,注意,良好,注意,中立,要確認,要確認,要確認
2026/05/27 15:40,標準通過,8053.T,住友商事,中心確認,68,保留,注意,良好,注意,中立,要確認,要確認,要確認
2026/05/27 15:40,標準通過,2802.T,味の素,条件付き中心,63,保留,注意,良好,注意,中立,要確認,要確認,要確認
2026/05/27 15:40,標準通過,8306.T,三菱UFJ FG,補欠比較,56,保留,注意,良好,注意,中立,要確認,要確認,要確認
