順位,銘柄,現在の扱い,過去1年上昇率,利益成長率,売上成長率,ROE,決算後反応,PER倍率,継続期待スコア,判定,期待年利の見方,量的スコア内訳,質的補助内訳,減点,データ信頼度,式,確認事項
1,8316.T 三井住友FG,中心確認,65%,34%,未取得,10.4%,55.5点,0.97倍,57,条件付き継続,+7〜11%目安。+11%には追加根拠が必要,利益77.2 / 売上50 / ROE57.1 / 反応55.5,業界追い風66 / 還元65,過熱1.2 / マクロ5,88%,0.30×77.2 + 0.20×50 + 0.15×57.1 + 0.15×55.5 + 0.10×66 + 0.10×65 - 過熱1.2 - マクロ5 = 57,未取得: 売上成長
2,8306.T 三菱UFJ FG,補欠比較,53.6%,27.7%,未取得,11.3%,55.4点,1.23倍,54.5,再確認,+11%目標には追加データと条件改善が必要,利益72.2 / 売上50 / ROE60 / 反応55.4,業界追い風66 / 還元65,過熱2.6 / マクロ5,75%,0.30×72.2 + 0.20×50 + 0.15×60 + 0.15×55.4 + 0.10×66 + 0.10×65 - 過熱2.6 - マクロ5 = 54.5,未取得: 売上成長・PER
3,2802.T 味の素,条件付き中心,51.6%,75%,未取得,17.8%,65.8点,2.42倍,53,再確認,+11%目標には追加データと条件改善が必要,利益100 / 売上50 / ROE79.3 / 反応65.8,業界追い風63 / 還元58,過熱15.9 / マクロ5,88%,0.30×100 + 0.20×50 + 0.15×79.3 + 0.15×65.8 + 0.10×63 + 0.10×58 - 過熱15.9 - マクロ5 = 53,同業PER比で割高説明が必要。未取得: 売上成長
4,7173.T 東京きらぼしFG,監視,114.1%,45.2%,未取得,10.7%,34.5点,0.64倍,52.7,再確認,+11%目標には追加データと条件改善が必要,利益86.2 / 売上50 / ROE58 / 反応34.5,業界追い風66 / 還元65,過熱5.1 / マクロ5,88%,0.30×86.2 + 0.20×50 + 0.15×58 + 0.15×34.5 + 0.10×66 + 0.10×65 - 過熱5.1 - マクロ5 = 52.7,過去1年上昇が大きく、反落リスク確認。未取得: 売上成長
5,7011.T 三菱重工業,反応検算,18.2%,26.7%,未取得,12.2%,50.6点,1.59倍,50.3,再確認,+11%目標には追加データと条件改善が必要,利益71.4 / 売上50 / ROE62.7 / 反応50.6,業界追い風61 / 還元55,過熱4.7 / マクロ5,88%,0.30×71.4 + 0.20×50 + 0.15×62.7 + 0.15×50.6 + 0.10×61 + 0.10×55 - 過熱4.7 - マクロ5 = 50.3,同業PER比で割高説明が必要。未取得: 売上成長
6,8053.T 住友商事,中心確認,98.2%,0.9%,0.6%,12.9%,59.6点,0.91倍,49.5,再確認,+11%目標には追加データと条件改善が必要,利益50.7 / 売上50.7 / ROE64.8 / 反応59.6,業界追い風64 / 還元70,過熱3.9 / マクロ4,100%,0.30×50.7 + 0.20×50.7 + 0.15×64.8 + 0.15×59.6 + 0.10×64 + 0.10×70 - 過熱3.9 - マクロ4 = 49.5,利益成長が弱く、来期見通し確認
7,6762.T TDK,中心確認,135.7%,21.5%,未取得,9.8%,63.8点,0.9倍,47.6,再確認,+11%目標には追加データと条件改善が必要,利益67.2 / 売上50 / ROE55.4 / 反応63.8,業界追い風70 / 還元55,過熱6.9 / マクロ6,88%,0.30×67.2 + 0.20×50 + 0.15×55.4 + 0.15×63.8 + 0.10×70 + 0.10×55 - 過熱6.9 - マクロ6 = 47.6,過去1年上昇が大きく、反落リスク確認。未取得: 売上成長
8,9984.T ソフトバンクG,別評価監視,285.2%,259.9%,未取得,34.3%,52.9点,未取得,45.4,再確認,+11%目標には追加データと条件改善が必要,利益100 / 売上50 / ROE100 / 反応52.9,業界追い風70 / 還元55,過熱22 / マクロ8,63%,0.30×100 + 0.20×50 + 0.15×100 + 0.15×52.9 + 0.10×70 + 0.10×55 - 過熱22 - マクロ8 = 45.4,過去1年上昇が大きく、反落リスク確認。未取得: 売上成長・PER
9,7735.T SCREEN HD,監視,117.5%,-9.7%,-3.1%,20.3%,57.3点,0.47倍,44.7,見送り,+11%目標には不足,利益42.2 / 売上46.6 / ROE86.8 / 反応57.3,業界追い風70 / 還元55,過熱5.4 / マクロ6,100%,0.30×42.2 + 0.20×46.6 + 0.15×86.8 + 0.15×57.3 + 0.10×70 + 0.10×55 - 過熱5.4 - マクロ6 = 44.7,過去1年上昇が大きく、反落リスク確認。利益成長が弱く、来期見通し確認
10,6146.T ディスコ,反応検算,103.5%,10.9%,未取得,25.1%,55.6点,1.46倍,38.8,見送り,+11%目標には不足,利益58.7 / 売上50 / ROE100 / 反応55.6,業界追い風70 / 還元55,過熱18.7 / マクロ6,75%,0.30×58.7 + 0.20×50 + 0.15×100 + 0.15×55.6 + 0.10×70 + 0.10×55 - 過熱18.7 - マクロ6 = 38.8,過去1年上昇が大きく、反落リスク確認。同業PER比で割高説明が必要。未取得: 売上成長・PER
