順位,コード,銘柄,長期安定性スコア,判定,データ年数,5年CAGR,10年CAGR,5年S&P差,5年日経差,5年年率ボラ,5年最大下落率,月次勝率,S&P相関,S&Pベータ,リターン点,安定性点,継続性点,確認事項
1,8316.T,三井住友FG,83.6,長期安定候補,10,39.8,22.7,27.5,22.6,22.2,-29.4,71.7,0.14,0.2,98,67.2,83.7,長期推移を継続確認
2,7173.T,東京きらぼしFG,82,長期安定候補,10,58.5,19.2,46.1,41.2,27.3,-28.9,68.3,-0.16,-0.28,100,58.9,85.6,長期推移を継続確認
3,8306.T,三菱UFJ FG,81.6,長期安定候補,10,41.3,23,29,24.1,23.8,-31.8,66.7,0.13,0.19,100,59.3,83.3,長期推移を継続確認
4,8053.T,住友商事,81.5,長期安定候補,10,41.2,25.5,28.8,23.9,23.1,-35.8,66.7,0.24,0.35,100,57,86,長期推移を継続確認
5,7011.T,三菱重工業,78.1,長期安定候補,10,65.9,27.4,53.5,48.6,36.5,-35.8,66.7,0.12,0.28,100,40.9,95.1,値動きが大きい
6,2802.T,味の素,71.2,長期安定候補,10,34.3,16.2,21.9,17.1,31.8,-25.6,65,0.23,0.46,88.6,53.4,68.2,長期推移を継続確認
7,6146.T,ディスコ,60.9,条件付き安定,10,45,36.9,32.7,27.8,48,-65.2,61.7,0.45,1.37,100,0,83.5,大きな下落経験あり / 値動きが大きい
8,6762.T,TDK,59.6,条件付き安定,10,34.7,26.4,22.4,17.5,40.9,-46.3,53.3,0.41,1.06,89.3,16.6,72.4,大きな下落経験あり / 値動きが大きい
9,7735.T,SCREEN HD,53.3,要確認,10,36.9,25.7,24.6,19.7,48.7,-59.1,55,0.53,1.62,93.1,0,64.4,大きな下落経験あり / 値動きが大きい
10,9984.T,ソフトバンクG,45.9,要確認,10,27.9,25.4,15.5,10.6,55.2,-50.8,48.3,0.46,1.62,77.7,0,59.4,大きな下落経験あり / 値動きが大きい / 上昇月の比率が低い
