順位,コード,銘柄,長期安定性スコア,判定,データ年数,5年CAGR,10年CAGR,5年S&P差,5年日経差,5年年率ボラ,5年最大下落率,月次勝率,S&P相関,S&Pベータ,リターン点,安定性点,継続性点,確認事項
1,8316.T,三井住友FG,83.6,長期安定候補,10,39.9,22.7,27.5,22.6,22.2,-29.4,71.7,0.14,0.2,98,67.2,83.7,長期推移を継続確認
2,8306.T,三菱UFJ FG,81.6,長期安定候補,10,41.3,23,29,24,23.8,-31.8,66.7,0.13,0.19,100,59.3,83.2,長期推移を継続確認
3,8053.T,住友商事,81.5,長期安定候補,10,41.2,25.6,28.9,23.9,23.1,-35.8,66.7,0.24,0.35,100,57,86,長期推移を継続確認
4,8411.T,みずほFG,79.5,長期安定候補,10,38.3,20.1,26,21,23,-33.4,71.7,0.2,0.29,95.4,62.9,77.3,長期推移を継続確認
5,8002.T,丸紅,79.1,長期安定候補,10,45.2,31,32.8,27.9,28.6,-37.3,61.7,0.21,0.38,100,45.1,93.1,長期推移を継続確認
6,8725.T,MS&AD,78.5,長期安定候補,10,36.3,20.1,23.9,19,20.5,-32.6,68.3,0.09,0.11,91.9,63.9,77.6,長期推移を継続確認
7,8058.T,三菱商事,78.2,長期安定候補,10,42.5,27.5,30.2,25.2,29.6,-33.7,61.7,0.14,0.26,100,46.8,87.3,長期推移を継続確認
8,7011.T,三菱重工,78.1,長期安定候補,10,65.9,27.4,53.5,48.6,36.5,-35.8,66.7,0.12,0.28,100,40.9,95.1,値動きが大きい
9,8766.T,東京海上HD,76.2,長期安定候補,10,37.8,23.4,25.4,20.5,21.8,-38.7,61.7,-0.12,-0.17,94.5,52.3,80.6,長期推移を継続確認
10,1605.T,INPEX,75.8,長期安定候補,10,43.3,19.1,30.9,26,30.7,-32.9,65,-0.03,-0.06,100,48.8,74.9,長期推移を継続確認
11,8031.T,三井物産,75.6,長期安定候補,10,38.5,27.8,26.2,21.2,25,-41.7,61.7,0.17,0.28,95.8,45.9,85.1,長期推移を継続確認
12,1812.T,鹿島,75.1,長期安定候補,10,35.4,18.4,23,18.1,25.2,-29,65,0.03,0.05,90.4,58.5,73.8,長期推移を継続確認
13,6501.T,日立製作所,73.8,長期安定候補,10,36.5,28.5,24.1,19.2,28.8,-38.7,63.3,0.42,0.77,92.3,45.2,84.5,長期推移を継続確認
14,8001.T,伊藤忠商事,72.7,長期安定候補,10,27.2,25.4,14.8,9.9,21.1,-27.9,61.7,0.31,0.41,76.4,61.6,82.4,長期推移を継続確認
15,1802.T,大林組,72.4,長期安定候補,10,34.3,15,21.9,17,26.9,-26.8,63.3,0.1,0.17,88.5,57,68.2,長期推移を継続確認
16,6701.T,NEC,71.6,長期安定候補,10,34,25.2,21.6,16.7,28.9,-39.5,68.3,0.24,0.44,88,48.4,77.9,長期推移を継続確認
17,5802.T,住友電工,71.4,長期安定候補,10,52.3,26.2,40,35,40.3,-41.4,65,0.32,0.81,100,30.6,82.8,値動きが大きい
18,2802.T,味の素,71.2,長期安定候補,10,34.3,16.2,22,17,31.8,-25.6,65,0.23,0.46,88.6,53.4,68.2,長期推移を継続確認
19,6503.T,三菱電機,70.3,長期安定候補,10,33.3,20,20.9,16,27.9,-34,63.3,0.3,0.54,86.8,50,72.2,長期推移を継続確認
20,1801.T,大成建設,68.7,条件付き安定,10,33.8,16.8,21.5,16.5,29.7,-33.7,63.3,-0.01,-0.02,87.7,48.1,67,長期推移を継続確認
21,5020.T,ENEOS HD,68.3,条件付き安定,10,27.9,15.9,15.6,10.6,21.7,-29.9,60,0.12,0.17,77.7,58.1,67.7,長期推移を継続確認
22,8750.T,第一生命HD,67.7,条件付き安定,10,27.4,20.4,15.1,10.1,27.6,-29.1,63.3,-0.02,-0.03,76.8,54.3,71.7,長期推移を継続確認
23,7013.T,IHI,65.7,条件付き安定,10,51,23.2,38.6,33.7,44,-43.1,58.3,0.16,0.46,100,19.4,75.5,値動きが大きい
24,9434.T,ソフトバンク,65.5,条件付き安定,7.4,14.3,,1.9,-3,11.2,-14.5,68.3,0.02,0.01,54.5,89.7,49.1,10年データは不足
25,6857.T,アドバンテスト,65,条件付き安定,10,63.2,58.5,50.8,45.9,64.6,-51.4,55,0.46,1.87,100,0,100,大きな下落経験あり / 値動きが大きい
26,5803.T,フジクラ,65,条件付き安定,10,135,51.5,122.6,117.6,56,-50.7,58.3,0.27,0.95,100,0,100,大きな下落経験あり / 値動きが大きい
27,5801.T,古河電工,64.7,条件付き安定,10,82.7,38.2,70.4,65.4,70.7,-52.1,65,0.28,1.25,100,0,98.7,大きな下落経験あり / 値動きが大きい
