種別,コード,名称,状態,件数,開始日,終了日,取得元
候補銘柄,7203.T,トヨタ自動車,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6758.T,ソニーグループ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8306.T,三菱UFJ FG,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8316.T,三井住友FG,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8411.T,みずほFG,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8766.T,東京海上HD,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8750.T,第一生命HD,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8725.T,MS&AD,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,9432.T,NTT,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,9433.T,KDDI,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,9984.T,ソフトバンクG,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,9434.T,ソフトバンク,取得済み,1811,2018-12-19,2026-05-28,Yahoo Finance chart API
候補銘柄,9983.T,ファーストリテイリング,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6098.T,リクルートHD,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,7974.T,任天堂,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6861.T,キーエンス,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6501.T,日立製作所,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6503.T,三菱電機,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,7011.T,三菱重工,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,7012.T,川崎重工業,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,7013.T,IHI,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8035.T,東京エレクトロン,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6857.T,アドバンテスト,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6920.T,レーザーテック,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6146.T,ディスコ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6723.T,ルネサス,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6526.T,ソシオネクスト,取得済み,886,2022-10-12,2026-05-28,Yahoo Finance chart API
候補銘柄,7735.T,SCREEN HD,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6981.T,村田製作所,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6762.T,TDK,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6971.T,京セラ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6594.T,ニデック,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6954.T,ファナック,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6273.T,SMC,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6645.T,オムロン,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,5803.T,フジクラ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,5802.T,住友電工,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,5801.T,古河電工,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6701.T,NEC,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6702.T,富士通,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6367.T,ダイキン工業,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6301.T,コマツ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6326.T,クボタ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6902.T,デンソー,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6201.T,豊田自動織機,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,7267.T,ホンダ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,7269.T,スズキ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,7270.T,SUBARU,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,7202.T,いすゞ自動車,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,5108.T,ブリヂストン,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8001.T,伊藤忠商事,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8031.T,三井物産,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8058.T,三菱商事,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8053.T,住友商事,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8002.T,丸紅,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,1605.T,INPEX,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,5020.T,ENEOS HD,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,5019.T,出光興産,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4063.T,信越化学工業,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4188.T,三菱ケミカルG,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,3402.T,東レ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
