ticker,銘柄,現在段階,事前スコア,データ準備度,未反映項目,再計算後の扱い,注意
8316.T,三井住友FG,確認後候補化可能,82.9,92,公式値照合 / 同業中央値比較,公式値照合後にA候補として再確認,追加確認へ
8766.T,東京海上HD,確認後候補化可能,78.3,92,公式値照合 / 同業中央値比較,公式値照合後にA候補として再確認,追加確認へ
8306.T,三菱UFJ FG,補完後再計算,64.6,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,不足項目入力後にスコアを再計算,重要項目の補完が先
7011.T,三菱重工,補完後再計算,62.6,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,不足項目入力後にスコアを再計算,重要項目の補完が先
8058.T,三菱商事,補完後再計算,62.4,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,不足項目入力後にスコアを再計算,重要項目の補完が先
6501.T,日立製作所,補完後再計算,59.6,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,不足項目入力後にスコアを再計算,重要項目の補完が先
8031.T,三井物産,補完後再計算,60.1,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,不足項目入力後にスコアを再計算,重要項目の補完が先
5802.T,住友電工,補完後再計算,58.3,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,不足項目入力後にスコアを再計算,重要項目の補完が先
5801.T,古河電工,仮説検算後比較,58,80,過熱・最大下落確認 / 同業中央値比較,不足項目入力後にスコアを再計算,追加確認へ
8001.T,伊藤忠商事,補完後再計算,58.5,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,不足項目入力後にスコアを再計算,重要項目の補完が先
