ticker,銘柄,現在入力済み重み,現在表示できる点,判定,不足,理由
8316.T,三井住友FG,30,24.9,判定保留,公式値照合 / 同業中央値比較,現時点では長期・事前評価以外の入力が不足しているため、最終スコアは出さない。
8766.T,東京海上HD,30,23.5,判定保留,公式値照合 / 同業中央値比較,現時点では長期・事前評価以外の入力が不足しているため、最終スコアは出さない。
8306.T,三菱UFJ FG,30,19.4,判定保留,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,現時点では長期・事前評価以外の入力が不足しているため、最終スコアは出さない。
7011.T,三菱重工,30,18.8,判定保留,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,現時点では長期・事前評価以外の入力が不足しているため、最終スコアは出さない。
8058.T,三菱商事,30,18.7,判定保留,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,現時点では長期・事前評価以外の入力が不足しているため、最終スコアは出さない。
6501.T,日立製作所,30,17.9,判定保留,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,現時点では長期・事前評価以外の入力が不足しているため、最終スコアは出さない。
8031.T,三井物産,30,18,判定保留,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,現時点では長期・事前評価以外の入力が不足しているため、最終スコアは出さない。
5802.T,住友電工,30,17.5,判定保留,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,現時点では長期・事前評価以外の入力が不足しているため、最終スコアは出さない。
5801.T,古河電工,30,17.4,判定保留,過熱・最大下落確認 / 同業中央値比較,現時点では長期・事前評価以外の入力が不足しているため、最終スコアは出さない。
8001.T,伊藤忠商事,30,17.6,判定保留,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,現時点では長期・事前評価以外の入力が不足しているため、最終スコアは出さない。
