symbol,名称,開始日,最終日,データ件数,開始値,最新値,20日騰落率%,60日騰落率%,120日騰落率%,1年騰落率%,1年最大下落%,年率変動%,取得元,日経平均との差%,S&P500差%,過熱判定,価格確認点,価格面の扱い
8031.T,三井物産,2025-05-28,2026-05-28,244,2975,5323,-7.97,-6.74,28.79,78.92,-20.06,32.3,https://query1.finance.yahoo.com/v8/finance/chart/8031.T?range=1y&interval=1d,7.41,51.21,通常範囲,75.6,価格面は強い
8058.T,三菱商事,2025-05-28,2026-05-28,244,2913,5034,1.7,-2.46,36.64,72.81,-17.63,31.92,https://query1.finance.yahoo.com/v8/finance/chart/8058.T?range=1y&interval=1d,1.3,45.1,通常範囲,74.6,価格面は強い
8316.T,三井住友FG,2025-05-28,2026-05-28,244,3626,5876,9.89,-0.24,27.08,62.05,-19.31,32.17,https://query1.finance.yahoo.com/v8/finance/chart/8316.T?range=1y&interval=1d,-9.46,34.34,通常範囲,71.2,価格面は強い
8306.T,三菱UFJ FG,2025-05-28,2026-05-28,244,1963,2983,8.26,1.98,21.9,51.96,-16.87,30.87,https://query1.finance.yahoo.com/v8/finance/chart/8306.T?range=1y&interval=1d,-19.55,24.25,通常範囲,69.2,価格面は中立
8001.T,伊藤忠商事,2025-05-28,2026-05-28,244,1504,1928,-0.62,-13.27,3.79,28.19,-15.64,26,https://query1.finance.yahoo.com/v8/finance/chart/8001.T?range=1y&interval=1d,-43.32,0.48,通常範囲,64,価格面は中立
6501.T,日立製作所,2025-05-28,2026-05-28,244,3969,5173,-1.07,0.49,6.59,30.34,-23.27,40.47,https://query1.finance.yahoo.com/v8/finance/chart/6501.T?range=1y&interval=1d,-41.17,2.63,通常範囲,59.8,価格面は中立
8766.T,東京海上HD,2025-05-28,2026-05-28,244,5969,7193,0.24,10.99,29.51,20.51,-19.45,34.43,https://query1.finance.yahoo.com/v8/finance/chart/8766.T?range=1y&interval=1d,-51,-7.2,通常範囲,59.2,価格面は中立
5802.T,住友電工,2025-05-28,2026-05-28,244,2889.5,11985,19.67,17.04,98.07,314.78,-22.87,59.25,https://query1.finance.yahoo.com/v8/finance/chart/5802.T?range=1y&interval=1d,243.27,287.07,過熱・データ確認,55,過熱確認を優先
5801.T,古河電工,2025-05-28,2026-05-28,244,6673,52050,21.19,85.86,464.84,680.01,-19.48,77.32,https://query1.finance.yahoo.com/v8/finance/chart/5801.T?range=1y&interval=1d,608.5,652.3,過熱・データ確認,55,過熱確認を優先
7011.T,三菱重工,2025-05-28,2026-05-28,244,3266,3806,-19.67,-22.34,-3.18,16.53,-26.74,42.14,https://query1.finance.yahoo.com/v8/finance/chart/7011.T?range=1y&interval=1d,-54.98,-11.18,通常範囲,54.8,価格面は要注意
