再計算順位,コード,銘柄,旧10社,再選定点,最終扱い,5年CAGR,10年CAGR,直近1年騰落率,60日騰落率,5年S&P差,直近1年S&P差,5年最大下落率,直近1年最大下落率,月次勝率,取得項目数,除外理由,確認事項
1,5801.T,古河電工,,84.5,監視,82.7,38.2,684.6,87,70.4,657.1,-52.1,-19.5,65,8,,急騰後の反動確認が必要
2,5802.T,住友電工,仮候補,83.7,監視,52.3,26.2,323.3,18,40,295.8,-41.4,-22,65,8,,急騰後の反動確認が必要
3,8053.T,住友商事,仮候補,82.4,再選定候補,41.2,25.6,99.8,11.9,28.9,72.3,-35.8,-18.8,66.7,8,,主要指標で通過
4,8002.T,丸紅,仮候補,81.9,再選定候補,45.2,31,87.2,-11.5,32.8,59.7,-37.3,-18.3,61.7,8,,主要指標で通過
5,8058.T,三菱商事,仮候補,80.6,再選定候補,42.5,27.5,77.3,-1.4,30.2,49.8,-33.7,-16.8,61.7,8,,主要指標で通過
6,8316.T,三井住友FG,,80.1,再選定候補,39.9,22.7,66.8,0.8,27.5,39.3,-29.4,-19.3,71.7,8,,主要指標で通過
7,8306.T,三菱UFJ FG,仮候補,78.7,再選定候補,41.3,23,57.1,3.9,29,29.6,-31.8,-16.9,66.7,8,,主要指標で通過
8,1605.T,INPEX,仮候補,78.4,再選定候補,43.3,19.1,100.9,0.2,30.9,73.4,-32.9,-25.3,65,8,,主要指標で通過
9,6503.T,三菱電機,,77.8,再選定候補,33.3,20,128.8,12.3,20.9,101.3,-34,-16.3,63.3,8,,主要指標で通過
10,8031.T,三井物産,仮候補,76.1,再選定候補,38.5,27.8,83.4,-5.8,26.2,55.8,-41.7,-19.3,61.7,8,,主要指標で通過
11,8411.T,みずほFG,,75.9,再選定候補,38.3,20.1,82.1,2.3,26,54.6,-33.4,-24.6,71.7,8,,主要指標で通過
12,8725.T,MS&AD,,75.4,再選定候補,36.3,20.1,34.7,1,23.9,7.2,-32.6,-12,68.3,8,,主要指標で通過
13,5803.T,フジクラ,仮候補,74.1,除外,135,51.5,367.4,10.1,122.6,339.9,-50.7,-45.3,58.3,8,直近1年の下落率が大きい / 急騰後の反動確認が必要,
14,5020.T,ENEOS HD,,73.5,再選定候補,27.9,15.9,96.7,-9.7,15.6,69.2,-29.9,-16.2,60,8,,主要指標で通過
15,6857.T,アドバンテスト,仮候補,73.1,監視,63.2,58.5,264.3,-6.2,50.8,236.8,-51.4,-28.9,55,8,,急騰後の反動確認が必要
16,6146.T,ディスコ,,72.3,除外,45.1,37,99.5,-15.6,32.7,72,-65.2,-24.7,61.7,8,直近60日が弱い / 5年最大下落率が大きい,
17,8750.T,第一生命HD,,72.2,再選定候補,27.4,20.4,55.7,5.1,15.1,28.1,-29.1,-15.7,63.3,8,,主要指標で通過
18,8001.T,伊藤忠商事,,71,再選定候補,27.2,25.4,31.2,-12.2,14.8,3.7,-27.9,-14.7,61.7,8,,主要指標で通過
19,1812.T,鹿島,,70.4,再選定候補,35.4,18.4,65.8,-14.9,23,38.3,-29,-27.9,65,8,,主要指標で通過
20,7011.T,三菱重工,,70.2,除外,65.9,27.4,17.2,-22.2,53.5,-10.4,-35.8,-26.6,66.7,8,直近1年でS&P500に劣後 / 直近60日が弱い,
21,9983.T,ファーストリテイリング,,70.1,再選定候補,22.4,24.3,67.4,15.4,10,39.9,-37.9,-12.2,58.3,8,,主要指標で通過
22,6981.T,村田製作所,,70,監視,26.9,21.8,313.2,110.8,14.6,285.6,-49.8,-18.5,58.3,8,,急騰後の反動確認が必要
23,6501.T,日立製作所,仮候補,69.8,再選定候補,36.5,28.5,31.9,1.1,24.1,4.4,-38.7,-22.8,63.3,8,,主要指標で通過
