再選定順位,コード,銘柄,再選定点,旧10社,5年CAGR,10年CAGR,直近1年騰落率,60日騰落率,5年S&P差,直近1年S&P差,5年最大下落率,直近1年最大下落率,月次勝率,確認事項
1,8053.T,住友商事,82.4,仮候補,41.2,25.6,99.8,11.9,28.9,72.3,-35.8,-18.8,66.7,主要指標で通過
2,8002.T,丸紅,81.9,仮候補,45.2,31,87.2,-11.5,32.8,59.7,-37.3,-18.3,61.7,主要指標で通過
3,8058.T,三菱商事,80.6,仮候補,42.5,27.5,77.3,-1.4,30.2,49.8,-33.7,-16.8,61.7,主要指標で通過
4,8316.T,三井住友FG,80.1,,39.9,22.7,66.8,0.8,27.5,39.3,-29.4,-19.3,71.7,主要指標で通過
5,8306.T,三菱UFJ FG,78.7,仮候補,41.3,23,57.1,3.9,29,29.6,-31.8,-16.9,66.7,主要指標で通過
6,1605.T,INPEX,78.4,仮候補,43.3,19.1,100.9,0.2,30.9,73.4,-32.9,-25.3,65,主要指標で通過
7,6503.T,三菱電機,77.8,,33.3,20,128.8,12.3,20.9,101.3,-34,-16.3,63.3,主要指標で通過
8,8031.T,三井物産,76.1,仮候補,38.5,27.8,83.4,-5.8,26.2,55.8,-41.7,-19.3,61.7,主要指標で通過
9,8411.T,みずほFG,75.9,,38.3,20.1,82.1,2.3,26,54.6,-33.4,-24.6,71.7,主要指標で通過
10,8725.T,MS&AD,75.4,,36.3,20.1,34.7,1,23.9,7.2,-32.6,-12,68.3,主要指標で通過
