統合順位,統合10社順位,コード,銘柄,旧候補,統合扱い,4項目合計,総合スコア100点換算,既存選定スコア,長期安定性,S&P比較,下落耐性,5年CAGR,10年CAGR,直近1年,60日,5年S&P差,直近1年S&P差,5年最大下落,直近1年最大下落,理由
1,1,8316.T,三井住友FG,旧候補,候補,307.7,76.9,69,83.6,78.3,76.8,39.9,22.7,66.8,0.8,27.5,39.3,-29.4,-19.3,旧候補にも残り、追加指標でも候補圏を維持。
2,2,8306.T,三菱UFJ FG,旧候補,候補,299.6,74.9,64,81.6,76.3,77.8,41.3,23,57.1,3.9,29,29.6,-31.8,-16.9,旧候補にも残り、追加指標でも候補圏を維持。
3,3,8725.T,MS&AD,,候補,291.5,72.9,60,78.5,67.2,85.9,36.3,20.1,34.7,1,23.9,7.2,-32.6,-12,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
4,,5802.T,住友電工,旧候補,監視,285.4,71.4,64,71.4,97,53,52.3,26.2,323.3,18,40,295.8,-41.4,-22,総合点は高いが、急騰後反動または下落幅の確認が必要。
5,4,8411.T,みずほFG,,候補,284.9,71.2,66,79.5,80.8,58.6,38.3,20.1,82.1,2.3,26,54.6,-33.4,-24.6,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
6,5,6503.T,三菱電機,,候補,283.4,70.8,58,70.3,81.3,73.7,33.3,20,128.8,12.3,20.9,101.3,-34,-16.3,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
7,,8766.T,東京海上HD,旧候補,除外,281.5,70.4,74,76.2,65.7,65.7,37.8,23.4,24.4,12.6,25.4,-3.2,-38.7,-18.1,除外条件: 直近1年でS&P500に劣後
8,6,8750.T,第一生命HD,,候補,279.7,69.9,63,67.7,64.6,84.3,27.4,20.4,55.7,5.1,15.1,28.1,-29.1,-15.7,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
9,,5801.T,古河電工,旧候補,監視,279.7,69.9,68,64.7,99.5,47.5,82.7,38.2,684.6,87,70.4,657.1,-52.1,-19.5,総合点は高いが、急騰後反動または下落幅の確認が必要。
10,7,8058.T,三菱商事,旧候補,候補,277.8,69.4,43,78.2,82.3,74.2,42.5,27.5,77.3,-1.4,30.2,49.8,-33.7,-16.8,旧候補にも残り、追加指標でも候補圏を維持。
11,8,9983.T,ファーストリテイリング,,候補,262.6,65.7,61,59.2,66.7,75.8,22.4,24.3,67.4,15.4,10,39.9,-37.9,-12.2,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
12,9,7012.T,川崎重工業,,候補,261.9,65.5,69,63.6,80.8,48.5,45.3,18.7,59.2,-11.6,32.9,31.7,-42.6,-23.1,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
13,10,6971.T,京セラ,,候補,260.5,65.1,55,57.5,69.7,78.3,16.4,11.4,92.3,20.3,4,64.8,-32.9,-16,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
14,,8001.T,伊藤忠商事,旧候補,候補,259.7,64.9,40,72.7,59.1,87.9,27.2,25.4,31.2,-12.2,14.8,3.7,-27.9,-14.7,旧候補にも残り、追加指標でも候補圏を維持。
15,,9434.T,ソフトバンク,,除外,257.4,64.3,55,65.5,39.9,97,14.3,,1.5,5.4,1.9,-26,-14.5,-14.1,除外条件: 直近1年でS&P500に劣後
16,,8031.T,三井物産,旧候補,候補,256.5,64.1,42,75.6,82.3,56.6,38.5,27.8,83.4,-5.8,26.2,55.8,-41.7,-19.3,旧候補にも残り、追加指標でも候補圏を維持。
17,,8053.T,住友商事,旧候補,候補,250,62.5,15,81.5,86.9,66.7,41.2,25.6,99.8,11.9,28.9,72.3,-35.8,-18.8,旧候補にも残り、追加指標でも候補圏を維持。
18,,6501.T,日立製作所,旧候補,候補,249.5,62.4,53,73.8,67.2,55.6,36.5,28.5,31.9,1.1,24.1,4.4,-38.7,-22.8,旧候補にも残り、追加指標でも候補圏を維持。
19,,5803.T,フジクラ,旧候補,除外,248.7,62.2,68,65,99.5,16.2,135,51.5,367.4,10.1,122.6,339.9,-50.7,-45.3,除外条件: 直近1年の下落率が大きい / 急騰後の反動確認が必要 / 直近1年の最大下落率が大きい
20,,7011.T,三菱重工,旧候補,除外,248.3,62.1,50,78.1,70.2,50,65.9,27.4,17.2,-22.2,53.5,-10.4,-35.8,-26.6,除外条件: 直近1年でS&P500に劣後 / 直近60日が弱い / 直近60日が弱い
21,,6857.T,アドバンテスト,旧候補,監視,246.7,61.7,60,65,96,25.8,63.2,58.5,264.3,-6.2,50.8,236.8,-51.4,-28.9,総合点は高いが、急騰後反動または下落幅の確認が必要。
22,,8002.T,丸紅,旧候補,候補,245.6,61.4,12,79.1,87.4,67.2,45.2,31,87.2,-11.5,32.8,59.7,-37.3,-18.3,旧候補にも残り、追加指標でも候補圏を維持。
23,,9433.T,KDDI,,除外,244,61,46,59.6,40.4,98,10.9,8.9,11.8,3,-1.5,-15.8,-16.8,-12.1,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
24,,6762.T,TDK,旧候補,監視,242.9,60.7,66,59.7,84.8,32.3,34.9,26.5,146.4,57.7,22.6,118.9,-46.3,-28.2,総合点は高いが、急騰後反動または下落幅の確認が必要。
25,,6981.T,村田製作所,,監視,240.8,60.2,58,49,80.8,53,26.9,21.8,313.2,110.8,14.6,285.6,-49.8,-18.5,総合点は高いが、急騰後反動または下落幅の確認が必要。
26,,7735.T,SCREEN HD,旧候補,監視,238.7,59.7,66,53.5,85.4,33.8,37.1,25.7,113.5,-6,24.8,86,-59.1,-23.8,総合点は高いが、急騰後反動または下落幅の確認が必要。
27,,6146.T,ディスコ,旧候補,除外,238.6,59.6,60,60.9,88.4,29.3,45.1,37,99.5,-15.6,32.7,72,-65.2,-24.7,除外条件: 直近60日が弱い / 5年最大下落率が大きい / 直近60日が弱い / 過去5年の最大下落率が大きい
28,,1605.T,INPEX,旧候補,候補,237.8,59.4,15,75.8,88.9,58.1,43.3,19.1,100.9,0.2,30.9,73.4,-32.9,-25.3,旧候補にも残り、追加指標でも候補圏を維持。
29,,5020.T,ENEOS HD,,候補,237.4,59.3,12,68.3,76.3,80.8,27.9,15.9,96.7,-9.7,15.6,69.2,-29.9,-16.2,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
30,,2802.T,味の素,旧候補,候補,225.6,56.4,19,71.2,67.2,68.2,34.3,16.2,45.9,6.1,22,18.4,-25.6,-25.6,旧候補にも残り、追加指標でも候補圏を維持。
31,,6301.T,コマツ,,候補,223.2,55.8,40,56.9,61.1,65.2,18.6,17,51.8,-13.5,6.3,24.3,-31.4,-23.7,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
32,,9432.T,NTT,,除外,222.6,55.6,40,54.3,30.8,97.5,8.2,7.9,0.1,0.4,-4.2,-27.4,-23.7,-7.7,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
33,,5108.T,ブリヂストン,,除外,220.3,55.1,37,54,40.4,88.9,10.4,9.9,13.7,-9.5,-1.9,-13.8,-26.4,-15.4,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
34,,1812.T,鹿島,,候補,217.4,54.4,10,75.1,74.2,58.1,35.4,18.4,65.8,-14.9,23,38.3,-29,-27.9,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
35,,8035.T,東京エレクトロン,,監視,217.3,54.3,60,52.8,80.8,23.7,29.5,38.2,130.3,16.6,17.1,102.7,-55.8,-28.8,総合点は高いが、急騰後反動または下落幅の確認が必要。
36,,5019.T,出光興産,,候補,214.4,53.6,12,64.5,64.6,73.2,24.9,15.3,57.8,-5.3,12.5,30.3,-29.7,-21.3,旧候補外だが、既存スコアと追加指標の合算で候補圏に浮上。
37,,1802.T,大林組,,除外,211.7,52.9,6,72.4,71.2,62.1,34.3,15,58.7,-19.6,21.9,31.1,-26.8,-26.8,除外条件: 直近60日が弱い
38,,4502.T,武田薬品,,除外,209.8,52.5,9,57.4,48,95.5,11.3,5,26.2,-9.1,-1.1,-1.3,-19.1,-14.1,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
39,,6954.T,ファナック,,除外,209.2,52.3,52,42.6,66.2,48.5,10.9,11.6,109.7,15,-1.5,82.1,-39.4,-24.7,除外条件: 5年でS&P500に劣後
